Code,Name in ACS table,Name in Database
S0102_C01_037E,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,edu_total_pop_above_25_w_bach_degree
S0102_C01_037M,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,edu_total_pop_above_25_w_bach_degree_MA
S0102_C01_066E,Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over,emp_pop_a16
S0102_C01_066M,Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over,emp_pop_a16_MA
S0102_C01_067E,Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,emp_labor_force
S0102_C01_067M,Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,emp_labor_force_MA
S0102_C01_068E,Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,emp_civilian_labor_force
S0102_C01_068M,Estimate!!Total!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,emp_civilian_labor_force_MA
S0501_C01_026E,Estimate!!Total!!Total population!!Average household size,household_size
S0501_C01_026M,Estimate!!Total!!Total population!!Average household size,household_size_MA
S0501_C01_029E,Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married,pop_never_married
S0501_C01_029M,Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married,pop_never_married_MA
S0501_C01_030E,"Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",pop_married
S0501_C01_030M,"Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",pop_married_MA
S0501_C01_031E,Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated,pop_divorced_separated
S0501_C01_031M,Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated,pop_divorced_separated_MA
S0501_C01_032E,Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Widowed,pop_widowed
S0501_C01_032M,Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Widowed,pop_widowed_MA
S0501_C01_061E,"Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations",emp_occupation_mgmt_biz_science_arts
S0501_C01_061M,"Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations",emp_occupation_mgmt_biz_science_arts_MA
S0501_C01_062E,Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Service occupations,emp_occupation_service
S0501_C01_062M,Estimate!!Total!!Civilian employed population 16 years and over!!OCCUPATION!!Service occupations,emp_occupation_service_MA
S0501_C01_066E,"Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",emp_agriculture_forestry_fishing_hunting_mining
S0501_C01_066M,"Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",emp_agriculture_forestry_fishing_hunting_mining_MA
S0501_C01_067E,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Construction,emp_construction
S0501_C01_067M,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Construction,emp_construction_MA
S0501_C01_068E,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Manufacturing,emp_manufacturing
S0501_C01_068M,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Manufacturing,emp_manufacturing_MA
S0501_C01_070E,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Retail trade,emp_retail
S0501_C01_070M,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Retail trade,emp_retail_MA
S0501_C01_072E,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Information,emp_info
S0501_C01_072M,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Information,emp_info_MA
S0501_C01_073E,"Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing",emp_finanace_insurance_realestate_rental
S0501_C01_073M,"Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing",emp_finanace_insurance_realestate_rental_MA
