CityId,City,Year,num_of_cases_total,num_of_case_gender_Male,num_of_case_gender_Female,num_of_case_gender_Unknown,num_of_case_race_Black or African American,num_of_case_race_White,num_of_case_race_Asian,num_of_case_race_Unknown,num_of_case_race_Native American,num_of_case_group_Adult,num_of_case_group_Juvenile,num_of_case_level_Unknown,num_of_case_level_Felony,num_of_case_level_Gross Misdemeanor,num_of_case_level_Misdemeanor,num_of_case_level_Juvenile Petty Offense,num_of_case_level_Petty Misdemeanor,num_of_case_level_Juvenile Traffic Offense
c5306616,Bloomington,2015,1436,904,523,9,748,494,28,102,64,686,750,181,549,25,220,440,20,1
c5306616,Bloomington,2016,1514,1032,477,5,703,610,36,98,67,753,761,189,629,39,251,374,3,29
c5306616,Bloomington,2017,1515,1016,496,3,726,542,29,156,62,771,744,155,677,35,313,307,5,23
c5306616,Bloomington,2018,1479,945,530,4,677,536,29,157,80,854,625,195,697,35,239,291,5,17
c5306616,Bloomington,2019,1622,1036,583,3,804,528,32,175,83,951,671,209,802,41,250,296,6,18
c5307948,Brooklyn Center,2015,592,418,171,3,408,116,31,30,7,372,220,111,292,28,77,75,6,3
c5307948,Brooklyn Center,2016,559,440,118,1,400,123,16,14,6,367,192,111,307,10,65,60,2,4
c5307948,Brooklyn Center,2017,653,462,184,7,429,149,19,48,8,445,208,127,344,23,88,63,3,5
c5307948,Brooklyn Center,2018,776,575,194,7,527,166,23,38,22,509,267,141,415,16,119,74,4,7
c5307948,Brooklyn Center,2019,813,588,220,5,575,165,22,40,11,511,302,152,418,28,127,78,6,4
c5307966,Brooklyn Park,2015,1114,886,228,,793,215,38,57,11,574,540,205,465,36,166,228,11,3
c5307966,Brooklyn Park,2016,1069,847,218,4,734,216,52,51,16,590,479,213,482,57,158,140,4,15
c5307966,Brooklyn Park,2017,1016,804,210,2,669,216,45,76,10,640,376,201,508,50,128,109,1,19
c5307966,Brooklyn Park,2018,1003,780,219,4,697,204,32,60,10,649,354,218,505,35,138,88,5,14
c5307966,Brooklyn Park,2019,1197,907,286,4,881,173,49,78,16,687,510,265,506,39,177,191,5,14
c5310846,Champlin,2015,164,123,41,,53,84,7,19,1,95,69,45,57,5,18,35,4,
c5310846,Champlin,2016,201,170,31,,56,112,5,28,,84,117,28,71,16,34,46,,6
c5310846,Champlin,2017,231,168,63,,66,136,8,19,2,103,128,30,88,8,61,28,1,15
c5310846,Champlin,2018,217,156,61,,62,122,7,20,6,121,96,55,82,7,28,32,1,12
c5310846,Champlin,2019,269,214,55,,86,155,2,21,5,158,111,66,102,12,46,31,2,10
c5313168,Corcoran,2015,19,13,6,,1,12,,5,1,14,5,7,7,,3,,,2
c5313168,Corcoran,2016,15,11,4,,,14,,1,,7,8,,9,2,2,2,,
c5313168,Corcoran,2017,30,22,8,,3,19,3,5,,24,6,3,22,1,,3,,1
c5313168,Corcoran,2018,36,28,8,,3,26,2,5,,34,2,10,23,1,,,1,1
c5313168,Corcoran,2019,39,31,7,1,3,25,2,9,,32,7,17,15,,7,,,
c5314158,Crystal,2015,238,177,60,1,143,72,2,18,3,136,102,40,101,7,36,45,8,1
c5314158,Crystal,2016,249,182,67,,158,63,6,13,9,152,97,62,98,4,42,41,,2
c5314158,Crystal,2017,284,205,77,2,163,87,1,29,4,154,130,42,119,11,64,41,2,5
c5314158,Crystal,2018,248,184,63,1,141,79,7,16,5,162,86,49,118,10,38,31,,2
c5314158,Crystal,2019,264,197,65,2,156,76,6,20,6,167,97,55,126,16,38,24,1,4
c5315022,Dayton,2015,19,14,5,,4,12,,3,,13,6,7,6,1,2,2,1,
c5315022,Dayton,2016,33,27,6,,2,22,,8,1,13,20,6,8,,1,13,1,4
c5315022,Dayton,2017,36,31,4,1,2,27,1,6,,15,21,4,13,1,7,6,,5
c5315022,Dayton,2018,31,23,8,,2,20,,9,,17,14,9,11,1,6,3,,1
c5315022,Dayton,2019,30,27,3,,4,24,,2,,25,5,10,15,3,1,,1,
c5315148,Deephaven,2015,17,12,5,,,16,,,1,12,5,7,5,,1,2,2,
c5315148,Deephaven,2016,11,8,3,,2,8,,1,,7,4,3,4,,,3,1,
c5315148,Deephaven,2017,9,7,2,,,8,,1,,2,7,,3,1,3,2,,
c5315148,Deephaven,2018,35,23,12,,3,19,1,12,,6,29,1,7,,22,4,,1
c5315148,Deephaven,2019,17,13,4,,,8,,9,,7,10,3,4,2,3,3,1,1
c5318116,Eden Prairie,2015,339,246,89,4,103,196,10,29,1,217,122,83,147,18,35,47,7,2
c5318116,Eden Prairie,2016,360,265,93,2,113,188,20,28,11,241,119,80,183,11,31,45,1,9
c5318116,Eden Prairie,2017,394,287,103,4,131,181,19,47,16,261,133,75,189,14,56,48,3,9
c5318116,Eden Prairie,2018,410,284,126,,155,185,11,53,6,213,197,89,150,15,53,87,4,12
c5318116,Eden Prairie,2019,378,257,120,1,115,205,11,39,8,295,83,106,196,9,39,22,2,4
c5318188,Edina,2015,367,252,111,4,165,155,8,36,3,210,157,62,163,14,34,73,15,6
c5318188,Edina,2016,456,324,128,4,189,212,13,31,11,253,203,67,215,15,41,106,1,11
c5318188,Edina,2017,587,441,136,10,305,217,8,35,22,309,278,65,277,25,97,106,1,16
c5318188,Edina,2018,495,334,156,5,248,193,11,35,8,306,189,72,267,9,60,71,2,14
c5318188,Edina,2019,566,400,159,7,261,219,10,52,24,405,161,133,316,14,37,50,2,14
c5320078,Excelsior,2015,36,25,11,,13,17,1,4,1,26,10,12,18,,3,1,2,
c5320078,Excelsior,2016,38,26,12,,2,30,2,4,,25,13,5,20,2,3,3,,5
c5320078,Excelsior,2017,31,23,8,,1,24,2,4,,17,14,5,12,1,6,5,,2
c5320078,Excelsior,2018,28,21,6,1,5,18,1,4,,19,9,10,8,1,5,3,,1
c5320078,Excelsior,2019,22,13,9,,1,14,,7,,18,4,8,10,,3,,,1
c5324308,Golden Valley,2015,207,166,40,1,110,74,8,13,2,145,62,48,114,7,16,12,7,3
c5324308,Golden Valley,2016,155,130,25,,73,70,6,2,4,122,33,34,99,4,12,2,,4
c5324308,Golden Valley,2017,205,159,46,,84,96,6,11,8,167,38,51,116,9,16,9,1,3
c5324308,Golden Valley,2018,210,158,51,1,87,85,12,19,7,158,52,39,124,8,24,8,2,5
c5324308,Golden Valley,2019,232,180,52,,126,74,5,20,7,174,58,41,148,3,27,10,1,2
c5325622,Greenfield,2015,16,12,4,,,12,,4,,2,14,2,,,,10,4,
c5325622,Greenfield,2016,9,8,1,,,9,,,,5,4,2,4,,,3,,
c5325622,Greenfield,2017,13,10,3,,1,9,,3,,5,8,2,3,,7,,,1
c5325622,Greenfield,2018,17,15,2,,2,15,,,,13,4,4,12,,,,,1
c5325622,Greenfield,2019,9,8,1,,2,5,,2,,7,2,3,4,,,1,,1
c5330140,Hopkins,2015,265,221,42,2,132,97,5,18,13,198,67,115,103,8,26,11,1,1
c5330140,Hopkins,2016,285,222,63,,136,123,9,13,4,182,103,95,100,10,48,23,1,8
c5330140,Hopkins,2017,272,201,71,,152,98,1,19,2,161,111,65,107,6,57,33,1,3
c5330140,Hopkins,2018,201,159,41,1,106,73,2,15,5,147,54,56,100,5,18,17,,5
c5330140,Hopkins,2019,201,165,35,1,107,69,5,17,3,142,59,80,69,3,24,23,1,1
c5330842,Independence,2015,11,5,5,1,,9,,2,,7,4,3,4,,1,1,1,1
c5330842,Independence,2016,21,15,5,1,1,13,1,6,,10,11,2,10,2,,3,1,3
c5330842,Independence,2017,32,23,8,1,1,22,1,8,,15,17,5,11,,2,5,,9
c5330842,Independence,2018,21,17,3,1,1,11,,8,1,15,6,4,10,,2,2,1,2
c5330842,Independence,2019,12,7,4,1,,9,,2,1,7,5,2,5,,2,2,,1
c5338006,Long Lake,2015,8,4,4,,,5,2,1,,7,1,2,5,1,,,,
c5338006,Long Lake,2016,10,7,3,,,5,,5,,4,6,,4,,,5,,1
c5338006,Long Lake,2017,3,2,1,,,1,,2,,2,1,,2,,,,,1
c5338006,Long Lake,2018,16,10,6,,2,11,,3,,7,9,3,7,,,4,,2
c5338006,Long Lake,2019,14,14,,,4,10,,,,14,,5,9,,,,,
c5340166,Maple Grove,2015,458,331,126,1,205,213,13,25,2,227,231,93,156,20,68,99,19,3
c5340166,Maple Grove,2016,501,353,144,4,214,230,14,30,13,240,261,73,185,16,93,122,2,10
c5340166,Maple Grove,2017,620,421,196,3,250,304,9,40,17,374,246,93,304,14,103,96,2,8
c5340166,Maple Grove,2018,602,420,182,,283,252,17,37,13,321,281,111,250,31,102,100,1,7
c5340166,Maple Grove,2019,547,368,179,,245,241,14,36,11,319,228,95,253,33,72,74,5,15
c5341480,Medina,2015,32,26,6,,5,19,,6,2,16,16,5,17,1,4,2,2,1
c5341480,Medina,2016,37,24,12,1,5,23,1,8,,23,14,8,17,,6,4,,2
c5341480,Medina,2017,34,19,13,2,5,18,1,10,,23,11,9,11,2,4,5,2,1
c5341480,Medina,2018,51,39,12,,9,32,,9,1,40,11,13,26,1,2,6,1,2
c5341480,Medina,2019,71,56,14,1,9,42,1,19,,49,22,21,30,3,7,8,,2
c5343000,Minneapolis,2015,6065,4969,1074,22,4107,1235,79,247,397,4485,1580,1228,3773,147,510,362,28,17
c5343000,Minneapolis,2016,5926,4830,1071,25,3833,1352,80,260,401,4273,1653,1103,3630,188,659,296,11,39
c5343000,Minneapolis,2017,6331,5098,1196,37,4115,1321,90,365,440,4660,1671,1240,3923,184,615,305,12,52
c5343000,Minneapolis,2018,5978,4814,1109,55,3800,1258,86,399,435,4578,1400,1289,3725,118,575,217,12,42
c5343000,Minneapolis,2019,5902,4867,1005,30,3813,1230,64,367,428,4567,1335,1462,3574,134,473,213,11,35
c5343252,Minnetonka,2015,487,330,155,2,200,243,16,25,3,227,260,42,213,24,82,94,27,5
c5343252,Minnetonka,2016,493,342,151,,241,216,9,22,5,253,240,57,218,38,92,75,3,10
c5343252,Minnetonka,2017,551,346,202,3,221,235,12,67,16,278,273,51,264,17,113,94,1,11
c5343252,Minnetonka,2018,502,313,188,1,208,225,7,43,19,276,226,51,266,20,103,55,4,3
c5343252,Minnetonka,2019,467,332,132,3,219,186,6,38,18,331,136,68,284,22,46,27,7,13
c5343270,Minnetonka Beach,2015,7,4,3,,1,3,1,2,,7,,2,5,,,,,
c5343270,Minnetonka Beach,2016,2,1,1,,,2,,,,1,1,,1,,,1,,
c5343270,Minnetonka Beach,2017,6,5,1,,,3,,3,,1,5,1,,,2,1,,2
c5343270,Minnetonka Beach,2018,5,4,1,,1,4,,,,5,,,5,,,,,
c5343270,Minnetonka Beach,2019,7,6,1,,2,1,,4,,3,4,,2,,5,,,
c5343306,Minnetrista,2015,52,44,8,,2,37,,13,,27,25,11,17,2,9,8,5,
c5343306,Minnetrista,2016,35,27,8,,2,22,,11,,12,23,5,11,4,4,8,1,2
c5343306,Minnetrista,2017,50,37,13,,7,20,,23,,21,29,13,16,2,7,5,1,6
c5343306,Minnetrista,2018,43,30,13,,9,23,,11,,20,23,6,16,2,8,8,1,2
c5343306,Minnetrista,2019,40,21,19,,2,26,,11,1,17,23,9,12,6,6,4,,3
c5344476,Mound,2015,40,30,10,,3,32,,5,,34,6,14,22,,2,1,1,
c5344476,Mound,2016,39,33,6,,5,30,,4,,28,11,4,23,3,3,3,1,2
c5344476,Mound,2017,66,43,23,,8,43,,14,1,29,37,12,20,2,19,8,2,3
c5344476,Mound,2018,96,61,34,1,28,61,,6,1,33,63,7,33,6,28,21,1,
c5344476,Mound,2019,61,39,22,,17,34,,10,,26,35,8,29,7,11,5,,1
c5345628,New Hope,2015,238,191,47,,159,64,2,11,2,89,149,36,62,17,61,50,9,3
c5345628,New Hope,2016,252,171,80,1,181,54,6,6,5,83,169,17,86,23,75,47,1,3
c5345628,New Hope,2017,241,179,61,1,157,62,2,14,6,99,142,38,74,10,65,48,4,2
c5345628,New Hope,2018,213,136,75,2,131,55,6,16,5,112,101,40,80,14,43,30,2,4
c5345628,New Hope,2019,238,163,73,2,153,56,9,14,6,90,148,35,66,14,58,55,2,8
c5348580,Orono,2015,37,23,13,1,1,28,1,7,,25,12,10,18,3,3,,,3
c5348580,Orono,2016,35,21,14,,1,28,1,5,,22,13,7,17,,4,1,,6
c5348580,Orono,2017,56,43,13,,7,29,,20,,18,38,5,14,1,20,9,2,5
c5348580,Orono,2018,28,19,9,,4,17,1,5,1,18,10,6,9,2,5,2,2,2
