X,Y,OBJECTID,ProviderId,ProviderName,ServiceName,CreateDate,ModifyDate,ProviderType,ProviderWebSite,LocationName,AddressLine1,AddressLine2,City,State,County,MailAddressLine1,MailCity,MailState,MailZipCode,EmailAddress,PhoneNumber,PhoneNumberExt,Features,AreaServed,LocationId,ZipCode,MailAddressLine12,Additional_Notes
466268.6263,4973373.205,1,13101030,Intercongregation Communities Association - ICA,Food Shelf,4/2/2002,1/6/2016,Non-profit,http://www.icafoodshelf.org/home.html,ICA at K-Tel,11588 K Tel Dr,,Minnetonka,MN,Hennepin,12990 Saint Davids Rd,Minnetonka,MN,55305-4117,ica@icafoodshelf.org,9529380729,,"Family, Free / no cost to eligible clients, Older adults, People with low income",Hennepin,3,55343-8855,,
479719.9449,4978495.722,2,13103915,Pillsbury United Communities,Food Shelf - multiple locations in Minneapolis,9/30/2009,2/10/2016,Non-Profit,http://www.puc-mn.org,Pillsbury United Communities - Waite House,2323 11th Avenue S,,Minneapolis,MN,Hennepin,2323 11th Avenue S,Minneapolis,MN,55412-2006,dunlapl@puc-mn.org,6127211681,,,Hennepin,17,55404-3803,,
458410.2732,5004085.068,3,13101230,Christians Reaching Out in Social Service (CROSS),Food Shelf - Supplemental,8/16/2001,12/28/2015,Faith Community,http://crossservices.org,*Main Site (Christians Reaching Out in Social Service (CROSS)),12915 Weinand Cir,,Rogers,MN,Hennepin,PO Box 574,Rogers,MN,55374-0574,info@crossservices.org,7634251050,,"Accessible main entrance (zero step approach), Accessible public restroom, Designated disability parking, Free / no cost to eligible clients, People with low income, Russian",Hennepin,1,55374-4599,,
480381.6571,4980009.82,4,13103838,Lovepower Church,Food and Clothing,9/4/2009,4/16/2015,Faith Community,http://www.lovepowerministries.org,*Main Site (Lovepower Church),1407 Washington Ave S,,Minneapolis,MN,Hennepin,521 79th Ave NE,Minneapolis,MN,55432-2734,,7635602059,,"Accessible main entrance (zero step approach), Accessible public restroom, Cafeteria/dining area, Easily operated door handles (levers or loops), Free parking, Provider is near a bus or light rail line, Resource library, Shared kitchen","Anoka, Hennepin, Ramsey",1,55454-1000,,
464961.4111,4976483.571,5,13101030,Intercongregation Communities Association - ICA,Food Shelf,4/2/2002,1/6/2016,Non-profit,http://www.icafoodshelf.org/contact_us.html,*Main Site (ICA at Saint Davids),12990 Saint Davids Rd,,Minnetonka,MN,Hennepin,12990 Saint Davids Rd,Minnetonka,MN,55305-4117,ica@icafoodshelf.org,9529380729,,"Accessible main entrance (zero step approach), Accessible public restroom, Chinese, Family, Free / no cost to eligible clients, Korean, Older adults, People with low income",Hennepin,1,55305-4117,,
463362.5449,4967936.42,6,13101098,People Reaching Out to Other People (PROP),Food Shelf,6/25/2001,10/21/2015,Non-Profit,http://propfood.org/get-help/food-program/,*Main Site (People Reaching Out to Other People (PROP)),14700 Martin Dr,,Eden Prairie,MN,Hennepin,14700 Martin Dr,Eden Prairie,MN,55344-2010,prop@propfood.org,9529379120,,"36 inches of clearance for all hallways, Accessible elevator, Accessible main entrance (zero step approach), Accessible public restroom, Designated disability parking, Ramped or beveled door thresholds, Somali, Spanish","Carver, Hennepin",1,55344-2010,,
475698.1443,4982112.905,7,13100915,NorthPoint Health and Wellness Center,Food Shelf - Supplemental,10/28/2005,4/11/2016,Non-Profit,http://www.northpointhealth.org/community-food-shelf,NorthPoint Human Services Building,1315 Penn Ave N,,Minneapolis,MN,Hennepin,1315 Penn Ave N,Minneapolis,MN,55411-3047,,6127679500,,Free / no cost to eligible clients,Hennepin,2,55411-3047,,
460381.4908,4982694.392,8,13101304,Interfaith Outreach & Community Partners (IOCP),Food Shelf,3/28/2002,10/26/2015,Non-profit,http://iocp.org/programs/food-shelf,*Main Site (Interfaith Outreach & Community Partners (IOCP)),1605 County Road 101 N,,Plymouth,MN,Hennepin,1605 County Road 101 N,Plymouth,MN,55447-2708,lvettel@iocp.org,7634897500,,"Accessible public restroom, Designated disability parking",Hennepin,1,55447-2708,,
477241.3148,4982674.188,9,13848,Masjid An-Nur,Food Shelf - Al-Maa'uun,12/19/2014,3/2/2016,Non-profit,http://masjidannur.org,*Main Site (Masjid An-Nur),1729 Lyndale Ave N,,Minneapolis,MN,Hennepin,1729 Lyndale Ave N,Minneapolis,MN,55411-3349,info@masjidannur.org,6125211749,,Arabic,Hennepin,1,55411-3349,,
479543.9622,4983399.489,10,12571,Grace Lutheran of NE Minneapolis,Food Shelf - Little Kitchen,9/5/2013,2/11/2016,Faith Community,http://gracenempls.org/community-services/little-kitchen-food-shelf/,*Main Site (Grace Lutheran of NE Minneapolis),1500 6th St NE,,Minneapolis,MN,Hennepin,1500 6th St NE,Minneapolis,MN,55413-1319,jennifer@necommunity.net,6127882444,,,"Hennepin, Ramsey",1,55413-1319,,
