StateAbbr,TractFIPS,hl_ACCESS2_CrudePrev,hl_ACCESS2_Crude95CI,hl_ARTHRITIS_CrudePrev,hl_ARTHRITIS_Crude95CI,hl_BINGE_CrudePrev,hl_BINGE_Crude95CI,hl_BPHIGH_CrudePrev,hl_BPHIGH_Crude95CI,hl_BPMED_CrudePrev,hl_BPMED_Crude95CI,hl_CANCER_CrudePrev,hl_CANCER_Crude95CI,hl_CASTHMA_CrudePrev,hl_CASTHMA_Crude95CI,hl_CHD_CrudePrev,hl_CHD_Crude95CI,hl_CHECKUP_CrudePrev,hl_CHECKUP_Crude95CI,hl_CHOLSCREEN_CrudePrev,hl_CHOLSCREEN_Crude95CI,hl_COLON_SCREEN_CrudePrev,hl_COLON_SCREEN_Crude95CI,hl_COPD_CrudePrev,hl_COPD_Crude95CI,hl_COREM_CrudePrev,hl_COREM_Crude95CI,hl_COREW_CrudePrev,hl_COREW_Crude95CI,hl_CSMOKING_CrudePrev,hl_CSMOKING_Crude95CI,hl_DENTAL_CrudePrev,hl_DENTAL_Crude95CI,hl_DIABETES_CrudePrev,hl_DIABETES_Crude95CI,hl_HIGHCHOL_CrudePrev,hl_HIGHCHOL_Crude95CI,hl_KIDNEY_CrudePrev,hl_KIDNEY_Crude95CI,hl_LPA_CrudePrev,hl_LPA_Crude95CI,hl_MAMMOUSE_CrudePrev,hl_MAMMOUSE_Crude95CI,hl_MHLTH_CrudePrev,hl_MHLTH_Crude95CI,hl_OBESITY_CrudePrev,hl_OBESITY_Crude95CI,hl_PAPTEST_CrudePrev,hl_PAPTEST_Crude95CI,hl_PHLTH_CrudePrev,hl_PHLTH_Crude95CI,hl_SLEEP_CrudePrev,hl_SLEEP_Crude95CI,hl_STROKE_CrudePrev,hl_STROKE_Crude95CI,hl_TEETHLOST_CrudePrev,hl_TEETHLOST_Crude95CI,Geolocation
MN,27053025100,12.6,"(10.8, 14.6)",15.2,"(14.4, 16.1)",23.9,"(23.4, 24.4)",22.2,"(21.3, 23.0)",69.6,"(68.5, 70.6)",5.4,"( 5.2,  5.5)",7.7,"( 7.3,  8.1)",4.1,"( 3.7,  4.6)",67.2,"(66.6, 67.7)",76.5,"(74.9, 78.1)",68.3,"(64.9, 71.5)",3.9,"( 3.3,  4.5)",38.2,"(32.3, 43.5)",39.6,"(34.8, 44.1)",15.2,"(13.0, 17.5)",72.4,"(69.2, 75.6)",6.4,"( 5.9,  6.9)",26.0,"(25.3, 26.6)",2.3,"( 2.2,  2.4)",22.2,"(20.3, 24.2)",79.8,"(76.7, 82.4)",10.3,"( 9.3, 11.3)",25.4,"(24.4, 26.5)",83.0,"(81.1, 84.9)",8.5,"( 7.6,  9.5)",30.1,"(28.8, 31.2)",2.2,"( 2.0,  2.5)",9.8,"( 6.0, 14.4)","(44.84767160570, -93.2271249777)"
MN,27053025201,17.4,"(15.9, 19.1)",16.2,"(15.6, 16.7)",21.5,"(21.1, 21.8)",24.6,"(24.0, 25.1)",69.2,"(68.6, 69.9)",5.0,"( 4.9,  5.1)",8.4,"( 8.1,  8.7)",4.6,"( 4.3,  4.9)",67.6,"(67.2, 68.0)",75.0,"(74.0, 76.1)",62.6,"(60.3, 65.1)",4.8,"( 4.3,  5.2)",34.0,"(29.9, 37.9)",35.0,"(31.6, 38.3)",19.0,"(17.6, 20.5)",64.9,"(62.8, 67.0)",7.9,"( 7.6,  8.2)",27.0,"(26.6, 27.4)",2.6,"( 2.5,  2.8)",27.3,"(25.9, 28.7)",79.4,"(77.3, 81.2)",12.1,"(11.4, 12.8)",28.7,"(28.1, 29.3)",82.4,"(81.1, 83.6)",10.6,"( 9.9, 11.3)",32.8,"(32.2, 33.6)",2.7,"( 2.5,  2.9)",13.5,"(10.1, 17.2)","(44.85487298080, -93.2577262443)"
MN,27053025205,12.0,"(10.6, 13.4)",18.8,"(18.1, 19.5)",21.8,"(21.5, 22.2)",25.6,"(24.9, 26.3)",73.8,"(73.0, 74.5)",6.9,"( 6.6,  7.1)",7.7,"( 7.4,  8.0)",5.3,"( 4.9,  5.7)",69.6,"(69.1, 70.0)",80.0,"(79.0, 80.9)",66.8,"(64.3, 69.4)",4.7,"( 4.2,  5.2)",36.6,"(32.5, 40.8)",37.5,"(33.8, 40.9)",15.3,"(13.6, 16.9)",70.2,"(67.9, 72.4)",7.5,"( 7.1,  7.9)",29.5,"(29.0, 30.1)",2.7,"( 2.5,  2.8)",23.2,"(21.7, 24.7)",78.9,"(76.5, 81.0)",9.9,"( 9.3, 10.6)",25.2,"(24.5, 25.9)",82.2,"(80.7, 83.7)",9.5,"( 8.8, 10.3)",30.1,"(29.3, 30.9)",2.7,"( 2.5,  3.0)",11.6,"( 8.3, 15.4)","(44.83873129520, -93.2592606789)"
MN,27053025301,8.2,"( 7.1,  9.5)",22.9,"(21.8, 24.0)",19.1,"(18.8, 19.5)",29.7,"(28.6, 30.9)",79.2,"(78.4, 80.1)",9.5,"( 9.2,  9.7)",7.1,"( 6.8,  7.4)",6.5,"( 5.9,  7.2)",73.8,"(73.4, 74.2)",85.3,"(84.4, 86.1)",73.7,"(71.3, 75.6)",4.9,"( 4.2,  5.6)",42.0,"(37.7, 46.3)",40.8,"(36.8, 44.6)",11.7,"(10.2, 13.2)",79.6,"(77.5, 81.5)",8.2,"( 7.6,  8.8)",33.4,"(32.7, 34.1)",3.1,"( 2.9,  3.3)",21.4,"(19.5, 23.4)",80.4,"(78.3, 82.3)",8.1,"( 7.4,  8.7)",23.1,"(22.2, 23.9)",83.3,"(81.5, 85.1)",9.2,"( 8.3, 10.3)",26.0,"(25.1, 26.9)",3.2,"( 2.8,  3.6)",7.3,"( 4.9, 10.8)","(44.81796080600, -93.2611304718)"
MN,27053025302,12.3,"(10.4, 14.4)",20.5,"(19.4, 21.7)",20.1,"(19.6, 20.6)",27.9,"(26.8, 28.9)",75.6,"(74.7, 76.6)",7.3,"( 7.0,  7.6)",7.9,"( 7.5,  8.4)",6.1,"( 5.5,  6.8)",70.4,"(69.8, 70.9)",79.6,"(78.1, 80.9)",67.3,"(64.0, 70.4)",5.4,"( 4.5,  6.4)",37.2,"(31.5, 42.5)",36.4,"(31.7, 41.1)",16.4,"(14.1, 18.7)",70.8,"(67.7, 73.8)",8.5,"( 7.9,  9.2)",31.1,"(30.3, 31.8)",3.0,"( 2.8,  3.3)",25.4,"(23.1, 27.8)",79.2,"(76.5, 81.7)",10.5,"( 9.6, 11.5)",26.0,"(25.0, 27.0)",82.4,"(80.3, 84.3)",10.6,"( 9.5, 11.9)",29.9,"(28.8, 31.0)",3.2,"( 2.8,  3.7)",11.5,"( 7.2, 17.1)","(44.82075635070, -93.2785564913)"
MN,27053025401,13.7,"(11.8, 15.8)",18.8,"(17.8, 19.8)",21.7,"(21.1, 22.2)",25.8,"(24.9, 26.8)",73.5,"(72.5, 74.5)",6.7,"( 6.4,  7.0)",7.8,"( 7.3,  8.3)",5.5,"( 5.0,  6.2)",68.9,"(68.3, 69.4)",78.4,"(76.9, 79.7)",67.0,"(63.2, 70.3)",5.0,"( 4.2,  5.8)",37.5,"(31.6, 43.3)",36.8,"(31.6, 41.7)",16.4,"(14.1, 18.6)",70.4,"(67.3, 73.5)",7.9,"( 7.3,  8.5)",29.6,"(28.7, 30.3)",2.8,"( 2.6,  3.0)",24.8,"(22.8, 26.8)",79.0,"(75.7, 81.6)",10.5,"( 9.6, 11.5)",25.7,"(24.7, 26.5)",81.7,"(79.7, 83.8)",10.1,"( 9.1, 11.2)",30.0,"(28.9, 31.1)",2.9,"( 2.5,  3.3)",11.8,"( 7.2, 17.8)","(44.85131278480, -93.2758376884)"
MN,27053025403,13.7,"(11.5, 15.9)",19.6,"(18.5, 20.7)",20.6,"(20.1, 21.1)",26.9,"(25.8, 27.9)",74.7,"(73.7, 75.8)",6.9,"( 6.6,  7.3)",8.0,"( 7.6,  8.5)",6.0,"( 5.3,  6.7)",69.2,"(68.7, 69.9)",77.3,"(75.8, 78.8)",68.3,"(65.0, 71.4)",5.3,"( 4.5,  6.3)",37.8,"(31.5, 43.8)",36.9,"(31.3, 42.0)",16.4,"(14.1, 18.7)",71.6,"(68.5, 74.6)",8.2,"( 7.5,  8.8)",29.8,"(29.0, 30.6)",3.1,"( 2.8,  3.3)",25.6,"(23.3, 27.8)",79.4,"(76.5, 82.1)",11.0,"( 9.9, 12.0)",26.2,"(25.2, 27.1)",82.5,"(80.0, 84.4)",10.6,"( 9.4, 11.9)",29.3,"(28.1, 30.5)",3.2,"( 2.8,  3.7)",11.0,"( 6.5, 17.5)","(44.83330625580, -93.2765757655)"
MN,27053025601,9.4,"( 7.8, 11.3)",21.1,"(19.8, 22.3)",19.6,"(19.1, 20.0)",28.4,"(27.1, 29.6)",78.3,"(77.2, 79.2)",8.2,"( 7.9,  8.7)",7.3,"( 6.9,  7.7)",6.2,"( 5.5,  6.9)",71.6,"(71.1, 72.2)",82.3,"(80.9, 83.6)",71.3,"(68.3, 74.0)",4.8,"( 3.9,  5.7)",39.1,"(34.3, 43.7)",39.9,"(35.5, 44.0)",12.7,"(10.4, 15.0)",76.4,"(73.5, 79.3)",8.6,"( 7.8,  9.3)",32.3,"(31.5, 33.2)",3.1,"( 2.9,  3.3)",22.3,"(19.9, 24.6)",79.9,"(77.0, 82.4)",8.9,"( 7.9, 10.0)",24.3,"(23.0, 25.4)",83.8,"(81.4, 86.1)",9.4,"( 8.2, 10.6)",26.9,"(25.6, 28.1)",3.1,"( 2.7,  3.5)",8.1,"( 5.0, 12.4)","(44.84735353790, -93.3032810375)"
MN,27053025603,8.3,"( 6.7, 10.2)",20.2,"(18.8, 21.6)",20.7,"(20.2, 21.1)",26.6,"(25.2, 27.9)",77.1,"(76.0, 78.2)",8.1,"( 7.7,  8.4)",7.2,"( 6.8,  7.7)",5.6,"( 4.9,  6.3)",71.4,"(70.7, 71.9)",83.2,"(81.8, 84.5)",72.5,"(69.0, 75.3)",4.4,"( 3.6,  5.4)",41.3,"(35.8, 47.1)",41.8,"(36.7, 46.4)",12.0,"( 9.6, 14.4)",78.3,"(75.2, 81.3)",7.5,"( 6.8,  8.3)",31.4,"(30.6, 32.3)",2.8,"( 2.5,  3.0)",20.3,"(17.9, 22.8)",80.1,"(77.0, 82.8)",8.5,"( 7.4,  9.5)",23.4,"(22.1, 24.7)",83.6,"(81.0, 86.0)",8.6,"( 7.5, 10.0)",26.5,"(25.1, 27.8)",2.7,"( 2.4,  3.2)",7.7,"( 4.5, 12.2)","(44.85147178890, -93.3188198253)"
MN,27053025605,9.5,"( 7.8, 11.5)",19.3,"(18.1, 20.5)",21.1,"(20.6, 21.6)",25.8,"(24.7, 27.1)",76.2,"(75.2, 77.3)",7.8,"( 7.5,  8.2)",7.3,"( 6.9,  7.8)",5.5,"( 4.8,  6.2)",70.6,"(70.1, 71.1)",81.2,"(79.7, 82.6)",74.0,"(70.9, 76.6)",4.3,"( 3.6,  5.2)",42.3,"(36.1, 47.6)",42.7,"(38.0, 47.1)",12.4,"(10.2, 14.8)",78.3,"(75.3, 81.1)",7.3,"( 6.6,  8.0)",30.2,"(29.4, 31.0)",2.7,"( 2.5,  3.0)",20.9,"(18.7, 23.2)",79.0,"(75.9, 81.6)",8.8,"( 7.8,  9.8)",23.4,"(22.3, 24.5)",83.9,"(81.7, 85.9)",8.5,"( 7.5,  9.7)",26.7,"(25.4, 28.0)",2.7,"( 2.4,  3.1)",7.3,"( 4.2, 11.3)","(44.85105548480, -93.3386314085)"
MN,27053025701,7.9,"( 6.3,  9.5)",19.8,"(18.5, 21.2)",20.6,"(20.1, 21.1)",25.8,"(24.5, 27.2)",76.9,"(75.8, 78.0)",8.2,"( 7.8,  8.4)",7.3,"( 6.9,  7.8)",5.2,"( 4.5,  5.8)",72.0,"(71.5, 72.6)",83.7,"(82.4, 84.8)",73.2,"(69.8, 76.3)",4.1,"( 3.3,  5.0)",41.8,"(36.2, 47.0)",42.7,"(37.6, 47.4)",11.0,"( 8.8, 13.5)",79.4,"(76.3, 82.4)",7.0,"( 6.3,  7.8)",30.7,"(29.8, 31.6)",2.6,"( 2.4,  2.9)",19.2,"(16.9, 21.7)",80.4,"(77.1, 82.9)",8.1,"( 7.1,  9.3)",22.5,"(21.3, 23.8)",84.1,"(81.4, 86.2)",8.1,"( 7.0,  9.4)",26.3,"(24.9, 27.5)",2.6,"( 2.2,  3.0)",7.0,"( 4.1, 11.0)","(44.82563131570, -93.3410350090)"
MN,27053025702,9.3,"( 7.6, 11.1)",23.0,"(21.5, 24.5)",18.4,"(18.0, 18.8)",30.1,"(28.6, 31.6)",79.3,"(78.2, 80.4)",9.1,"( 8.7,  9.4)",7.4,"( 7.0,  7.9)",6.8,"( 5.9,  7.7)",73.0,"(72.4, 73.5)",83.4,"(82.1, 84.6)",71.1,"(67.8, 74.2)",5.3,"( 4.3,  6.3)",40.3,"(34.1, 46.2)",38.3,"(32.6, 43.3)",12.8,"(10.4, 15.2)",76.3,"(73.1, 79.6)",8.7,"( 7.8,  9.6)",33.1,"(32.2, 34.0)",3.3,"( 3.0,  3.6)",23.3,"(20.6, 26.0)",80.0,"(76.7, 82.7)",9.0,"( 7.9, 10.0)",24.7,"(23.3, 26.0)",83.5,"(80.9, 85.8)",10.0,"( 8.7, 11.4)",26.8,"(25.4, 28.1)",3.4,"( 2.9,  4.0)",9.1,"( 4.8, 14.7)","(44.82869675630, -93.3158951025)"
