X,Y,OBJECTID,NAME,ADDRESS,CITY,ZIP,PHONE,WEB_SITE,SERV_TYPE,NOTES,SOURCE,SUB_SERV_TYPE
479487.452499999664724,4980471.192299999297,1,People Serving People,614 3rd St S,Minneapolis,55415,612-332-4500,http://peopleservingpeople.org/,Shelter,Families with children under the age of 18. Guests are screened and referred by Hennepin County.  accepts ex-offenders reentering general population from a correctional facility.,MinnesotaHelp,Family
478151.243200000375509,4977680.885299999267,2,Simpson Emergency Shelter,2740 1st Ave S,Minneapolis,55408,612-874-8683,http://www.simpsonhousing.org/,Shelter,"The overnight shelter is for 44 men and 22 women, 28 day stay (with potential expansion to 90 days) for single sober adult men and women; limited number of nightly stay beds.",MinnesotaHelp,Adult
475539.067800000309944,4983779.8035,3,St. Anne's Place,2634 Russell Ave N,Minneapolis,55411,612-521-2128,http://www.ascensionplace.org/,Shelter,Emergency shelter for women-led families who are homeless,MinnesotaHelp,Family
477825.305700000375509,4980930.406099999323,4,Mary's Place,401 7th St N,Minneapolis,55405,612-338-4640,http://sharingandcaringhands.org/,Shelter,For families with children ,MinnesotaHelp,Family
478616.6447,4978585.297199999914,5,St. Stephen's Emergency Shelter,2211 Clinton Ave S,Minneapolis,55404,612-874-9292,http://ststephensmpls.org/programs/emergency-shelter,Shelter,"Nightly shelter to 45 sober, adult men",MinnesotaHelp,Adult
477942.564199999906,4980566.3289,6,Salvation Army - Harbor Light,1010 Currie Ave N,Minneapolis,55403,612-767-3100,http://salvationarmynorth.org/community/harbor-light/,Shelter,Emergency shelter for single men and women,MinnesotaHelp,Adult
479326.578499999828637,4978560.824799999595,7,Our Savior's Shelter,2219 Chicago Ave S,Minneapolis,55404,612-872-4193,http://oscs-mn.org/,Shelter,28 day stay (with potential expansion to 90 days) for single ans sober adult men and women. ,MinnesotaHelp,Adult
470556.689600000157952,4993351.00019999966,8,Avenues for Homeless Youth,7210 76th Ave N,Brooklyn Park,55428,612-522-1690,http://avenuesforyouth.org/brooklyn-avenues/,Shelter,Homeless youth ages 16 to 21 from the northwestern suburbs of the Twin Cities,MinnesotaHelp,Youth
476853.267699999734759,4982753.55739999935,9,Families Moving Forward,1808 Emerson Ave N,Minneapolis,55411,612-529-2185,http://www.beaconinterfaith.org/,Shelter,No night-time shelter at site. Daytime shelter and will process clients to local congregations.,Web,Family
479615.231499999761581,4973928.333799999207,10,Hope Street Shelter,1121 46th Street E,Minneapolis,55407,612-204-8211,https://www.cctwincities.org/locations/hope-street-shelter/,Shelter,For 16 - 20-year-olds. Families are contacted if possible. ,MinnesotaHelp,Youth
478674.022099999710917,4980102.1399,11,Exodus Residence - Catholic Charities,819 2nd Ave S,Minneapolis,55402,612-204-8330,http://www.cctwincities.org/Exodus,Supportive Housing,"Priority is given to homeless individuals from Hennepin Health and North Memorial, those who are 55-years-old or older and those experiencing acute/chronic medical issues.",Web,Adult
476808.944299999624491,4978619.174799999222,12,The Bridge for Youth Minneapolis,1111 22nd St W,Minneapolis,55405,612-377-8800,http://www.bridgeforyouth.org,Shelter,"Overnight stay only, For 10 - 17-year-olds who may be reunified with family, For 16 - 18-year-olds who are unable to be reunified with family",Web,Youth
476159.5959,4981673.310399999842,13,Avenues for Homeless Youth,1708 Oak Park Avenue North,Minneapolis,55411,612-522-1690,http://avenuesforyouth.org,Shelter,Homeless youth ages 16 to 21 ,MinnesotaHelp,Youth
479582.000099999830127,4973924.0733,14,St. Joseph's Home for Children ,1121 46th Street E,Minneapolis,55407,612-204-8250,https://www.cctwincities.org/locations/st-josephs-home-for-children-emergency-shelter/,Shelter,"Emergency shelter placement and basic needs for children from birth to 17-years-old,needs referral",MinnesotaHelp,Youth
477494.528,4980642.546,15,Catholic Charities Higher Ground,165 Glenwood Dr,Minneapolis,55405,612-204-8552,http://www.cctwincities.org/highergroundshelter,Shelter,Emergency homeless shelter and Pay-for-Stay facility.  Hours 4pm-9am.,MinnesotaHelp,Adult
479069.062,4979997.52099999972,16,House of Charity,510 South 8th Street,Minneapolis,55404,612-594-2002,http://www.houseofcharity.org/,Referral Shelter,"Individuals wishing to enter House of Charity of Housing must be referred by a case manager, outreach worker, or other professional.",Web,Adult
479461.708399999886751,4979902.283399999142,17,First Covenant Church Salvation Army,810 7th Street S,Minneapolis,55415,612-332-8093,http://www.1stcov.org/shelter/,Shelter,"Shelter for 50 men and women. Open from November to April, 6PM-7AM",Web,Adult
477420.452399999834597,4980623.8889,19,Evergreen Residence,177 Glenwood Avenue N,Minneapolis,55405,612-204-8432,https://www.cctwincities.org/locations/evergreen-residence/,Shelter,"Shelter with 88 units of single room occupancy, permanent housing for independent, single adults, recreational activities, with access to Narcotics Anonymous meetings. ",Web,Adult
477449.292000000365078,4980641.086799999699,20,Glenwood Residence,173 Glenwood Avenue N,Minneapolis,55405,612-2048405,https://www.cctwincities.org/locations/glenwood-residence/,Shelter,"Shelter with 80 units of permanent housing to late-stage, chronic alcoholics, health care screenings, case management with structured goal planning and three meals. ",Web,Adult
