tractID,mean,standard_error
t1030101,78.4,2.2115
t1030102,78.4,1.3848
t1030200,80.6,1.7469
t1030300,85.4,1.7918
t1030402,84.9,2.7085
t1030403,81.8,2.9544
t1030404,79.2,2.0834
t1030502,79.6,1.3923
t1030503,81.7,1.5086
t1030504,83.4,2.6338
t1031500,74.7,1.0052
t1070100,88.2,2.457
t1070100,81.5,1.0374
t1070200,81.6,1.36
t1070200,84.6,1.5755
t1070300,81.4,1.2003
t1070400,81.8,1.0418
t1070501,82.1,2.0908
t1070503,84.4,3.3595
t1070504,83.3,3.8254
t1070601,78.5,1.493
t1070602,78.4,1.1064
t1070700,78.1,0.829
t1070800,84.9,2.5243
t1070901,79.8,2.3218
t1070902,78.4,1.4867
t1100100,79.3,1.039
t1100203,81,1.6806
t1100204,79.8,1.1873
t1100300,82.8,1.785
t1100400,77.7,1.0067
t1100500,84.6,1.6641
t1100701,78.3,1.1273
t1100702,78.2,1.0477
t1100703,82.7,1.7306
t1100801,82.9,2.5989
t1100802,83.6,2.4421
t1100900,82.3,1.5647
t1101000,85.7,1.9887
t1101100,78.7,0.6274
t1101200,81.2,1.3605
t1101300,80.9,1.1639
t1201001,81.3,1.2461
t1201002,81.3,1.4987
t1450100,86.7,2.5167
t1450200,80.5,1.3051
t1450500,84.2,2.3153
t1450600,79.6,1.1513
t1450701,75.5,1.0593
t1450702,85.6,3.974
t1450800,80.9,1.2345
t1450900,79.4,0.9287
t1451000,83.2,1.4824
t1480100,81.1,2.0132
t1480100,78.5,1.5795
t1480200,81.7,1.4978
t1480300,80.2,1.6187
t1480400,81.6,1.824
t1480500,85.4,2.268
t1480600,79.6,1.1384
t1480700,81,1.3091
t1480801,77.7,1.6887
t1480802,74.7,1.4443
t1480900,76.2,0.834
t1481000,88.4,2.5241
t1770100,80.4,1.4039
t1770200,78.1,1.9277
t1770300,77.6,0.9574
t1770400,81.9,2.1547
t1790100,77,2.1756
t1790100,78.9,1.3913
t1790100,82.2,1.4471
t1790200,76,0.7589
t1790200,82.9,2.0934
t1790200,79.5,1.9223
t1790300,80.6,1.3933
t1790300,83,1.8232
t1790300,84.2,1.7196
t1790400,85.8,3.4666
t1790400,80.9,1.2869
t1790500,81.4,2.8245
t1790500,80,0.9455
t1790500,78.7,1.2504
t1790501,76.4,0.5839
t1790502,82.5,1.5108
t1790600,77.2,1.3916
t1900100,86.3,3.6
t1900200,79.2,1.2026
t1900300,78.7,1.2269
t1940000,75.5,2.2522
t1940001,78.3,1.6377
t1940002,71.7,1.8892
t1950100,78.4,0.5601
t1950200,79.4,1.6718
t1950300,76.9,1.3829
t1960100,85.6,2.4474
t1960100,85.4,2.3083
t1960102,82.4,2.1106
t1960103,79.4,0.5895
t1960200,80.9,2.1843
t1960200,79.4,1.1876
t1960300,80.2,1.2074
t1960300,89.2,3.6875
t1960301,78.7,0.8757
t1960302,82.7,2.6681
t1960400,85.1,2.661
t1960400,80.7,1.2444
t1960500,79.1,1.2388
t1960600,77.4,1.2834
t1960600,80.9,1.1193
t1960700,78.1,1.1059
t1960700,81.6,2.1077
t1960800,81.3,1.5239
t1960801,81.1,1.2709
t1960802,83.1,1.6896
t1960900,78.8,1.0265
t1961000,73.3,1.1386
t1961100,81.2,1.3217
t1961200,80.1,1.2017
t1961300,80.3,1.1107
t1961400,84.8,3.2569
t1961500,80.6,1.0088
t1961600,83.4,2.013
t1961700,84.1,1.9968
t1970100,85,2.9419
t1970200,78.9,1.2566
t1970300,85.9,2.4145
t1970400,80,1.2659
t3000101,79.7,2.5571
t3000102,73.3,1.3373
t3000300,80.3,1.8116
t3000601,77.7,1.8112
t3000603,78.7,1.3188
t3001100,77.1,2.1728
t3001700,77.2,2.7382
t3002400,77.9,3.3794
