X,Y,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_NAME,LIC_TYPE,HOSP_BEDS,BASS_BEDS,PSY_HOSP_BEDS,NH_BEDS,BCH_BEDS,HOSP18_BEDS,PSY18_BEDS,SNF_BEDS,SNFNF_BEDS,NF1_BEDS,NF2_BEDS
467832.0672,4975376.715,AUGUSTANA CHAPEL VIEW CARE CTR,615 MINNETONKA MILLS ROAD,HOPKINS,MN,55343,HENNEPIN,NONPROFIT CORPORATION,0,0,0,108,0,0,0,0,108,0,0
473968.4228,4970264.831,AURORA ON FRANCE,6500 FRANCE AVENUE SOUTH,EDINA,MN,55435,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,63,0,0,0,0,63,0,0
481544.4289,4984287.508,BETHANY RESIDENCE AND REHAB CT,2309 HAYES STREET NE,MINNEAPOLIS,MN,55418,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,50,0,0,0,0,50,0,0
436944.1903,4965836.515,AUBURN HOME IN WACONIA,594 CHERRY DRIVE,WACONIA,MN,55387,CARVER,NONPROFIT CORPORATION,0,0,0,37,0,0,0,0,37,0,0
470392.6731,4981326.863,BROOKVIEW A VILLA CENTER,7505 COUNTRY CLUB DRIVE,GOLDEN VALLEY,MN,55427,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,104,0,0,0,0,104,0,0
465710.5271,4966643.056,CASTLE RIDGE CARE CENTER,625 PRAIRIE CENTER DRIVE,EDEN PRAIRIE,MN,55344,HENNEPIN,NONPROFIT CORPORATION,0,0,0,60,0,0,0,0,60,0,0
483369.929,4953724.782,AUGUSTANA HEALTH CC OF APPLE,14650 GARRETT AVENUE,APPLE VALLEY,MN,55124,DAKOTA,NONPROFIT CORPORATION,0,0,0,178,0,0,0,0,178,0,0
479113.1209,4982585.426,CATHOLIC ELDERCARE ON MAIN,817 MAIN STREET NE,MINNEAPOLIS,MN,55413,HENNEPIN,NONPROFIT CORPORATION,0,0,0,174,0,0,0,0,174,0,0
472401.9183,4984770.222,CENTENNIAL GARDENS,3245 VERA CRUZ AVENUE NORTH,CRYSTAL,MN,55422,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,130,0,0,0,0,130,0,0
387848.0673,5034817.904,ASSUMPTION HOME,715 1ST STREET NORTH,COLD SPRING,MN,56320,STEARNS,CHURCH RELATED,0,0,0,76,0,0,0,0,76,0,0
412506.0071,5013256.979,ANNANDALE CARE CENTER,500 PARK STREET EAST,ANNANDALE,MN,55302,WRIGHT,NONPROFIT CORPORATION,0,0,0,60,0,0,0,0,60,0,0
483789.3086,4990641.979,BEACON HAVEN,1200 LONG LAKE ROAD,NEW BRIGHTON,MN,55112,RAMSEY,NONPROFIT CORPORATION,0,0,0,6,0,0,0,0,0,0,0
452599.5062,4959666.963,AUBURN MANOR,501 OAK STREET NORTH,CHASKA,MN,55318,CARVER,NONPROFIT CORPORATION,0,0,0,61,0,0,0,0,61,0,0
569638.0142,5179679.998,BAYSHORE RESIDENCE & REHAB CTR,1601 ST. LOUIS AVENUE,DULUTH,MN,55802,SAINT LOUIS,LIMITED LIABILITY COMPANY,0,0,0,139,0,0,0,0,139,0,0
569624.6678,5179671.381,BAYSHORE HEALTH CENTER RULE 80,1601 ST LOUIS AVENUE,DULUTH,MN,55802,SAINT LOUIS,NONPROFIT CORPORATION,0,0,0,200,0,0,0,0,200,0,0
482442.2102,4990280.794,BENEDICTINE HLTH CTR INNSBRUCK,1101 BLACK OAK DRIVE,NEW BRIGHTON,MN,55112,RAMSEY,CHURCH RELATED,0,0,0,105,0,0,0,0,105,0,0
469831.8536,5006466.834,ANOKA REHAB & LIVING CENTER,3000 4TH AVENUE,ANOKA,MN,55303,ANOKA,NONPROFIT CORPORATION,0,0,0,120,0,0,0,0,120,0,0
343020.7509,5034777.909,BELGRADE NURSING HOME,103 SCHOOL STREET,BELGRADE,MN,56312,STEARNS,NONPROFIT CORPORATION,0,0,0,44,0,0,0,0,44,0,0
568188.4949,5184864.404,BENEDICTINE HEALTH CENTER,935 KENWOOD AVENUE,DULUTH,MN,55811,SAINT LOUIS,NONPROFIT CORPORATION,0,0,0,96,0,0,0,0,96,0,0
490712.0785,4977205.576,THE EMERALDS AT ST. PAUL LLC,420 MARSHALL AVENUE,ST. PAUL,MN,55102,RAMSEY,LIMITED LIABILITY COMPANY,0,0,0,116,0,0,0,0,116,0,0
476236.97,5003573.982,CAMILIA ROSE CARE CENTER LLC,11800 XEON BOULEVARD NW,COON RAPIDS,MN,55448,ANOKA,LIMITED LIABILITY COMPANY,0,0,0,80,0,0,0,0,80,0,0
492637.2642,4978102.725,CAPITOL VIEW TRANSITIONAL CARE,640 JACKSON STREET,ST. PAUL,MN,55101,RAMSEY,NONPROFIT CORPORATION,0,0,0,32,0,0,0,32,0,0,0
485885.8168,4974695.673,CARONDELET VILLAGE CARE CENTER,525 FAIRVIEW AVENUE SOUTH,ST. PAUL,MN,55116,RAMSEY,NONPROFIT CORPORATION,0,0,0,45,0,0,0,0,45,0,0
478988.3936,4979267.185,BENEDICTINE HEALTH CTR OF MPLS,618 EAST 17TH STREET,MINNEAPOLIS,MN,55404,HENNEPIN,NONPROFIT CORPORATION,0,0,0,95,0,0,0,0,95,0,0
493377.4791,4975213.538,CERENITY CARE CTR ON HUMBOLDT,512 HUMBOLDT AVENUE,ST. PAUL,MN,55107,RAMSEY,NONPROFIT CORPORATION,0,0,0,117,0,0,0,0,117,0,0
495696.4967,4977154.665,CERENITY MARIAN ST. PAUL LLC,200 EARL STREET,ST. PAUL,MN,55106,RAMSEY,OTHER NONPROFIT OWNERSHIP,0,0,0,90,0,0,0,0,90,0,0
417198.6589,4980214.161,BENEDICTINE LVG COMM WINSTED,551 4TH STREET NORTH,WINSTED,MN,55395,MCLEOD,NONPROFIT CORPORATION,0,0,0,65,0,0,0,0,65,0,0
438951.6779,5016622.73,CENTRACARE HEALTH MONTICELLO,1013 HART BOULEVARD #1,MONTICELLO,MN,55362,WRIGHT,OTHER NONPROFIT OWNERSHIP,39,12,0,89,0,0,0,0,89,0,0
358979.325,5059498.199,CENTRACARE HEALTH SYS MELROSE,525 MAIN STREET WEST,MELROSE,MN,56352,STEARNS,NONPROFIT CORPORATION,28,6,0,75,0,0,0,0,75,0,0
263685.3608,5009564.798,APPLETON MUNICIPAL HOSPITAL,30 SOUTH BEHL STREET,APPLETON,MN,56208,SWIFT,CITY,15,1,0,50,0,0,0,0,50,0,0
474047.5932,4982850.957,COURAGE KENNY REHAB INST TRP,3915 GOLDEN VALLEY ROAD,GOLDEN VALLEY,MN,55422,HENNEPIN,NONPROFIT CORPORATION,0,0,0,56,0,0,0,0,56,0,0
478941.1688,4978100.66,EBENEZER CARE CENTER,2545 PORTLAND AVENUE SOUTH,MINNEAPOLIS,MN,55404,HENNEPIN,NONPROFIT CORPORATION,0,0,0,34,85,0,0,0,34,0,85
498381.1397,4991999.479,CERENITY CARE CENTER WBL,1900 WEBBER STREET,WHITE BEAR LAKE,MN,55110,RAMSEY,CORPORATION,0,0,0,138,0,0,0,0,138,0,0
474782.0523,4970778.007,EDENBROOK OF EDINA,6200 XERXES AVENUE SOUTH,EDINA,MN,55423,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,85,0,0,0,0,85,0,0
510658.2342,4952976.511,AUGUSTANA CARE HASTINGS HEALTH,930 WEST 16TH STREET,HASTINGS,MN,55033,DAKOTA,NONPROFIT CORPORATION,0,0,0,80,0,0,0,0,80,0,0
481423.8787,4988416.998,CREST VIEW LUTHERAN HOME,4444 RESERVOIR BOULEVARD NE,COLUMBIA HEIGHTS,MN,55421,ANOKA,NONPROFIT CORPORATION,0,0,0,122,0,0,0,0,122,0,0
