elig_month,race2,people,name
1/1/16,Black/African American,22,t3051103
1/1/16,Black/African American,15,t3051206
1/1/16,Black/African American,13,t3051302
1/1/16,Asian/Pacific Islander,168,t3000101
1/1/16,Black/African American,224,t3000101
1/1/16,Hispanic or Latino,41,t3000101
1/1/16,Other or Unknown,28,t3000101
1/1/16,White,77,t3000101
1/1/16,American Indian or Alaskan Native,10,t3000102
1/1/16,Asian/Pacific Islander,148,t3000102
1/1/16,Black/African American,563,t3000102
1/1/16,Hispanic or Latino,46,t3000102
1/1/16,Other or Unknown,66,t3000102
1/1/16,White,228,t3000102
1/1/16,American Indian or Alaskan Native,15,t3000300
1/1/16,Black/African American,162,t3000300
1/1/16,Other or Unknown,29,t3000300
1/1/16,White,91,t3000300
1/1/16,Black/African American,111,t3000601
1/1/16,Hispanic or Latino,25,t3000601
1/1/16,Other or Unknown,20,t3000601
1/1/16,White,152,t3000601
1/1/16,Black/African American,22,t3000603
1/1/16,Hispanic or Latino,11,t3000603
1/1/16,White,55,t3000603
1/1/16,Black/African American,136,t3001100
1/1/16,Hispanic or Latino,23,t3001100
1/1/16,White,74,t3001100
1/1/16,American Indian or Alaskan Native,11,t3001700
1/1/16,Black/African American,354,t3001700
1/1/16,Hispanic or Latino,15,t3001700
1/1/16,Other or Unknown,13,t3001700
1/1/16,White,67,t3001700
1/1/16,American Indian or Alaskan Native,19,t3002200
1/1/16,Asian/Pacific Islander,135,t3002200
1/1/16,Black/African American,300,t3002200
1/1/16,Hispanic or Latino,35,t3002200
1/1/16,Other or Unknown,20,t3002200
1/1/16,White,53,t3002200
1/1/16,Black/African American,191,t3002400
1/1/16,Hispanic or Latino,11,t3002400
1/1/16,Other or Unknown,11,t3002400
1/1/16,White,90,t3002400
1/1/16,American Indian or Alaskan Native,11,t3002700
1/1/16,Asian/Pacific Islander,131,t3002700
1/1/16,Black/African American,408,t3002700
1/1/16,Hispanic or Latino,14,t3002700
1/1/16,Other or Unknown,22,t3002700
1/1/16,White,52,t3002700
1/1/16,American Indian or Alaskan Native,11,t3003200
1/1/16,Asian/Pacific Islander,61,t3003200
1/1/16,Black/African American,320,t3003200
1/1/16,Hispanic or Latino,17,t3003200
1/1/16,Other or Unknown,20,t3003200
1/1/16,White,32,t3003200
1/1/16,American Indian or Alaskan Native,22,t3003300
1/1/16,Asian/Pacific Islander,126,t3003300
1/1/16,Black/African American,523,t3003300
1/1/16,Hispanic or Latino,26,t3003300
1/1/16,Other or Unknown,41,t3003300
1/1/16,White,40,t3003300
1/1/16,Black/African American,47,t3003800
1/1/16,Hispanic or Latino,10,t3003800
1/1/16,White,31,t3003800
1/1/16,American Indian or Alaskan Native,17,t3005901
1/1/16,Asian/Pacific Islander,16,t3005901
1/1/16,Black/African American,603,t3005901
1/1/16,Hispanic or Latino,23,t3005901
1/1/16,Other or Unknown,19,t3005901
1/1/16,White,181,t3005901
1/1/16,American Indian or Alaskan Native,49,t3005902
1/1/16,Asian/Pacific Islander,15,t3005902
1/1/16,Black/African American,706,t3005902
1/1/16,Hispanic or Latino,83,t3005902
1/1/16,Other or Unknown,34,t3005902
1/1/16,White,125,t3005902
1/1/16,Black/African American,195,t3006800
1/1/16,Hispanic or Latino,29,t3006800
1/1/16,White,105,t3006800
1/1/16,Black/African American,338,t3007700
1/1/16,Hispanic or Latino,46,t3007700
1/1/16,White,35,t3007700
1/1/16,American Indian or Alaskan Native,23,t3007801
1/1/16,Asian/Pacific Islander,28,t3007801
1/1/16,Black/African American,278,t3007801
1/1/16,Hispanic or Latino,51,t3007801
1/1/16,White,45,t3007801
1/1/16,Black/African American,17,t3008100
1/1/16,White,46,t3008100
1/1/16,American Indian or Alaskan Native,21,t3008200
1/1/16,Asian/Pacific Islander,10,t3008200
1/1/16,Black/African American,590,t3008200
1/1/16,Hispanic or Latino,113,t3008200
1/1/16,White,120,t3008200
1/1/16,Asian/Pacific Islander,20,t3008300
1/1/16,Black/African American,172,t3008300
