TractNo,Year,hs_num_households_MoE,hl_disabled_MoE,hl_uninsured_MoE,hs_single_parent_households_MoE,hs_mobile_home_households_MoE,edu_no_HS_diploma_households_MoE,t_no_vehicle_households_MoE,edu_limited_english_households_MoE
t3001100,2018,36,68,34,40,9,89,36,50
t3001700,2018,77,67,81,59,9,94,61,74
t3002200,2018,54,57,137,34,10,55,34,73
t3002400,2018,59,90,96,62,9,57,57,75
t3002700,2018,57,112,167,51,9,77,63,67
t3003200,2018,53,74,79,55,9,46,23,60
t3003300,2018,64,84,136,63,9,72,54,86
t3003800,2018,120,209,314,77,12,82,172,47
t3005901,2018,109,201,72,72,9,122,133,72
t3005902,2018,102,164,172,68,9,183,94,173
t3006800,2018,113,163,174,112,9,108,165,58
t3007700,2018,190,131,206,125,9,137,136,224
t3007801,2018,43,71,132,57,9,86,59,108
t3008100,2018,91,71,40,19,9,32,80,36
t3008200,2018,177,198,250,80,9,216,190,230
t3008300,2018,56,106,150,68,9,137,55,122
t3008400,2018,39,116,189,36,9,140,50,148
t3008500,2018,101,123,466,100,15,220,83,250
t3009500,2018,55,121,195,71,9,235,48,148
t3009600,2018,59,165,145,67,18,102,77,66
t3010600,2018,52,62,32,39,9,29,12,46
t3010700,2018,60,57,63,48,30,14,13,36
t3011000,2018,55,122,145,46,9,57,68,58
t3011703,2018,54,100,38,53,9,30,27,36
t3011704,2018,62,66,42,26,9,64,26,48
t3011800,2018,32,115,152,40,28,49,42,36
t3011998,2018,75,137,96,87,36,65,86,46
t3012001,2018,127,171,147,89,71,145,60,156
t3012003,2018,92,271,231,98,12,109,106,89
t3012101,2018,40,132,208,63,9,108,111,107
t3012102,2018,34,138,82,70,9,41,47,37
t3020101,2018,62,119,31,34,9,120,13,39
t3020102,2018,80,68,81,25,39,25,67,36
t3020200,2018,171,322,322,187,28,255,166,226
t3020301,2018,49,73,143,65,9,64,29,67
t3020302,2018,48,64,82,58,9,77,48,48
t3020303,2018,94,113,80,63,9,154,43,116
t3020304,2018,62,79,334,84,9,213,59,172
t3020400,2018,97,162,174,102,12,143,48,97
t3020500,2018,79,98,271,66,9,109,38,116
t3020600,2018,65,68,68,37,10,51,37,57
t3020700,2018,74,98,104,66,9,60,62,71
t3020801,2018,50,73,48,44,9,38,42,47
t3020804,2018,53,101,221,52,9,207,86,264
t3020902,2018,65,60,59,37,9,39,22,38
t3020903,2018,74,93,74,58,9,43,18,36
t3021001,2018,106,243,134,113,12,95,84,49
t3021002,2018,47,86,38,31,9,48,51,36
t3021100,2018,55,57,44,22,9,90,33,38
t3021200,2018,73,126,70,61,9,84,70,57
t3021300,2018,119,227,159,116,9,126,156,88
t3021400,2018,76,127,62,43,25,55,15,38
t3021501,2018,75,135,140,47,9,97,78,57
t3021502,2018,84,111,155,88,9,189,97,151
t3021503,2018,96,193,122,124,12,102,92,120
t3021504,2018,72,64,61,47,9,108,17,112
t3021505,2018,89,117,104,97,9,69,39,46
t3021601,2018,92,123,79,56,9,70,20,42
t3021602,2018,132,176,257,86,69,90,124,113
t3021700,2018,84,195,77,81,12,69,48,115
t3021800,2018,57,88,9,30,9,9,63,36
t3021900,2018,103,88,56,25,9,34,31,37
t3022000,2018,55,36,15,17,9,10,21,36
t3022101,2018,99,78,41,31,9,70,36,53
t3022102,2018,31,99,46,66,9,82,55,57
t3022200,2018,50,162,81,12,9,83,30,44
t3022301,2018,68,103,28,37,9,37,70,89
t3022302,2018,88,183,284,114,9,63,103,42
t3022400,2018,71,99,64,89,9,45,92,36
t3022700,2018,78,167,208,99,9,140,75,125
t3022801,2018,39,47,10,15,9,21,21,36
t3022802,2018,67,109,104,31,9,51,96,166
t3022901,2018,158,115,92,110,9,28,102,48
t3022902,2018,53,30,27,15,23,7,8,37
t3023000,2018,130,158,63,63,9,90,122,82
t3023100,2018,34,30,23,26,9,15,9,36
t3023200,2018,171,161,82,75,12,97,129,93
t3023300,2018,164,218,144,77,24,201,164,108
t3023400,2018,181,322,340,132,12,125,86,164
t3023501,2018,73,86,42,65,32,49,53,36
t3023502,2018,119,148,74,76,12,6,61,74
t3023600,2018,57,63,36,33,9,18,17,39
t3023700,2018,81,88,9,44,41,47,37,68
t3023801,2018,70,121,58,49,44,13,21,48
t3023802,2018,53,86,95,56,9,24,19,35
t3023901,2018,45,102,36,46,9,6,23,36
t3023902,2018,34,57,8,17,27,18,11,35
t3023903,2018,76,109,25,36,9,26,28,42
t3024003,2018,114,118,237,86,18,116,100,191
t3024004,2018,154,233,128,80,9,132,154,127
t3024005,2018,100,126,15,19,9,31,93,37
t3024006,2018,28,48,27,25,9,8,29,36
t3024100,2018,74,98,41,63,9,40,52,46
t3024200,2018,63,105,59,40,9,25,45,52
t3024300,2018,109,108,211,51,9,176,107,218
t3024400,2018,57,237,294,89,9,205,143,80
t3024500,2018,53,83,24,23,9,62,15,47
t3024600,2018,79,238,293,15,48,94,92,130
t3024700,2018,71,88,95,52,45,92,43,68
t3024801,2018,50,62,121,30,9,54,43,73
t3024802,2018,76,159,201,68,9,125,79,221
t3024901,2018,35,61,22,24,9,43,14,51
t3024902,2018,33,72,145,34,6,160,24,85
t3024903,2018,36,80,215,58,9,170,15,131
t3025100,2018,93,141,156,62,9,123,75,133
t3025201,2018,77,156,295,121,12,171,108,204
t3025205,2018,84,133,103,63,9,140,42,100
t3025301,2018,75,59,69,34,9,47,51,40
