TractNo,Year,hs_num_households,hl_disabled,hl_uninsured,hs_single_parent_households,hs_mobile_home_households,edu_no_HS_diploma_households,t_no_vehicle_households,edu_limited_english_households
t3001100,2018,902,230,52,79,0,147,126,33
t3001700,2018,955,189,151,113,0,184,159,132
t3002200,2018,387,118,237,94,7,118,50,111
t3002400,2018,1230,285,231,124,0,117,82,85
t3002700,2018,892,514,309,135,0,184,153,184
t3003200,2018,595,176,211,110,0,96,46,59
t3003300,2018,676,290,213,213,0,304,121,204
t3003800,2018,2251,563,511,59,0,111,474,4
t3005901,2018,1611,1037,139,101,0,439,814,119
t3005902,2018,1024,756,581,135,0,638,384,478
t3006800,2018,2328,360,376,143,0,206,641,54
t3007700,2018,2372,247,385,159,0,256,278,293
t3007801,2018,665,176,357,138,0,361,178,334
t3008100,2018,1816,201,62,21,0,46,253,0
t3008200,2018,1957,695,684,98,0,836,808,649
t3008300,2018,601,281,237,169,0,307,99,268
t3008400,2018,784,400,661,71,0,459,145,432
t3008500,2018,1551,410,1088,269,10,977,242,801
t3009500,2018,1048,311,466,121,0,429,53,338
t3009600,2018,1388,318,217,96,12,191,94,51
t3010600,2018,1155,122,38,35,0,27,8,22
t3010700,2018,950,179,80,92,31,13,15,6
t3011000,2018,1490,293,325,81,0,125,105,71
t3011703,2018,1664,283,74,111,0,40,28,0
t3011704,2018,1247,223,53,30,0,67,35,40
t3011800,2018,2062,329,152,34,19,78,49,0
t3011998,2018,1947,605,128,112,22,90,243,20
t3012001,2018,2399,524,255,167,68,227,73,164
t3012003,2018,2078,788,333,193,0,338,204,154
t3012101,2018,1313,412,257,108,0,204,230,203
t3012102,2018,1334,348,133,97,0,83,97,6
t3020101,2018,1220,339,35,63,0,147,8,18
t3020102,2018,1040,212,74,20,54,30,136,7
t3020200,2018,2619,806,775,528,17,919,408,359
t3020301,2018,850,218,232,155,0,188,26,117
t3020302,2018,911,227,156,191,0,202,107,85
t3020303,2018,1080,397,175,144,0,419,51,227
t3020304,2018,1152,253,698,191,0,720,64,356
t3020400,2018,1871,671,429,246,0,403,119,204
t3020500,2018,1210,344,506,144,0,305,51,197
t3020600,2018,773,271,90,99,6,171,63,102
t3020700,2018,1710,423,189,164,0,93,93,74
t3020801,2018,844,252,103,78,0,84,79,47
t3020804,2018,1279,307,338,90,0,277,151,311
t3020902,2018,883,240,100,61,0,82,29,23
t3020903,2018,1257,358,113,62,0,97,23,0
t3021001,2018,2444,738,222,255,0,138,104,20
t3021002,2018,878,345,82,58,0,106,157,0
t3021100,2018,842,199,68,46,0,93,68,19
t3021200,2018,1852,444,108,86,0,205,136,59
t3021300,2018,2397,1101,386,280,0,272,501,64
t3021400,2018,1270,285,73,126,21,114,13,11
t3021501,2018,1632,696,246,94,0,280,224,73
t3021502,2018,1512,492,340,330,0,569,329,313
t3021503,2018,2002,740,141,211,0,212,304,87
t3021504,2018,1400,305,126,88,0,159,11,149
t3021505,2018,1830,374,175,200,0,120,34,40
t3021601,2018,1912,407,97,107,0,100,17,24
t3021602,2018,2578,872,345,137,47,135,390,142
t3021700,2018,2209,542,105,53,0,53,45,164
t3021800,2018,1048,345,0,35,0,0,116,0
t3021900,2018,1530,297,99,20,0,47,40,9
t3022000,2018,1078,83,19,22,0,9,34,0
t3022101,2018,1250,225,54,51,0,89,81,53
t3022102,2018,1348,311,66,84,0,140,118,60
t3022200,2018,2247,398,139,0,0,117,20,16
t3022301,2018,1067,355,21,58,0,61,156,134
t3022302,2018,1408,473,310,230,0,86,197,27
t3022400,2018,1672,292,83,266,0,80,182,0
t3022700,2018,1962,386,410,166,0,236,103,152
t3022801,2018,799,164,7,16,0,31,22,12
t3022802,2018,1932,421,159,30,0,64,329,338
t3022901,2018,2726,446,150,194,0,28,296,37
t3022902,2018,658,75,28,18,15,4,10,14
t3023000,2018,2418,481,72,104,0,124,162,102
t3023100,2018,630,79,34,56,0,13,9,0
t3023200,2018,2835,507,115,79,0,145,281,86
t3023300,2018,2760,944,289,91,15,374,436,104
t3023400,2018,2824,845,584,249,0,279,284,449
t3023501,2018,1794,377,51,108,25,65,126,0
t3023502,2018,2512,474,94,76,0,4,39,48
t3023600,2018,1337,167,39,52,0,12,15,12
t3023700,2018,1887,330,0,103,26,51,53,53
t3023801,2018,1942,411,71,110,28,8,20,0
