year,name,Filings,Evictions
2009,t3000101,23,2
2009,t3000102,40,11
2009,t3000300,22,4
2009,t3000601,20,6
2009,t3001100,21,6
2009,t3001700,27,7
2009,t3002200,37,19
2009,t3002400,39,9
2009,t3002700,60,21
2009,t3003200,21,8
2009,t3003300,31,10
2009,t3005901,45,20
2009,t3005902,40,21
2009,t3006800,31,14
2009,t3007700,47,12
2009,t3007801,27,7
2009,t3008200,52,14
2009,t3008300,24,9
2009,t3008400,27,8
2009,t3008500,44,10
2009,t3009500,34,11
2009,t3009600,21,6
2009,t3011000,15,2
2009,t3011800,13,2
2009,t3011998,10,1
2009,t3012003,61,20
2009,t3012101,47,18
2009,t3012102,34,8
2009,t3020200,82,25
2009,t3020301,13,4
2009,t3020302,13,3
2009,t3020303,36,10
2009,t3020304,42,12
2009,t3020400,67,22
2009,t3020500,29,11
2009,t3020600,12,3
2009,t3020700,25,9
2009,t3020801,14,3
2009,t3020804,37,13
2009,t3020903,11,2
2009,t3021001,40,11
2009,t3021200,16,5
2009,t3021300,43,10
2009,t3021400,18,4
2009,t3021501,46,12
2009,t3021502,32,9
2009,t3021503,33,11
2009,t3021504,17,6
2009,t3021505,68,16
2009,t3021601,15,3
2009,t3021602,17,7
2009,t3021900,16,6
2009,t3022101,16,6
2009,t3022200,18,9
2009,t3022302,42,14
2009,t3022400,36,12
2009,t3022700,27,10
2009,t3022802,12,5
2009,t3022901,20,6
2009,t3023000,37,8
2009,t3023200,71,25
2009,t3023300,52,25
2009,t3023400,41,9
2009,t3024003,14,1
2009,t3024100,19,6
2009,t3024300,25,6
2009,t3024400,50,14
2009,t3024600,15,1
2009,t3024802,31,12
2009,t3024902,19,5
2009,t3024903,47,16
2009,t3025100,31,10
2009,t3025201,38,8
2009,t3025205,22,7
2009,t3025302,14,4
2009,t3025401,11,3
2009,t3025403,17,3
2009,t3025605,12,5
2009,t3025701,11,5
2009,t3025702,19,3
2009,t3025801,21,5
2009,t3025803,14,8
2009,t3025903,24,6
2009,t3025906,24,5
2009,t3026006,32,8
2009,t3026007,18,2
2009,t3026014,11,4
2009,t3026015,13,5
2009,t3026016,16,4
2009,t3026018,14,3
2009,t3026019,55,24
2009,t3026104,23,6
2009,t3026207,19,1
2009,t3026301,23,5
2009,t3026402,43,15
2009,t3026403,14,4
2009,t3026404,11,4
2009,t3026505,13,4
2009,t3026507,30,16
2009,t3026508,23,6
2009,t3026510,15,5
2009,t3026511,45,15
2009,t3026512,39,9
2009,t3026514,52,18
2009,t3026606,17,2
2009,t3026612,11,4
2009,t3026613,15,2
2009,t3026708,11,1
2009,t3026712,10,1
2009,t3026714,23,2
2009,t3026715,15,6
2009,t3026807,36,15
2009,t3026809,167,29
2009,t3026810,104,28
2009,t3026811,42,16
2009,t3026812,22,6
2009,t3026814,35,8
2009,t3026815,35,12
2009,t3026816,80,14
2009,t3026818,51,15
2009,t3026819,168,80
2009,t3026820,40,9
2009,t3026822,13,3
2009,t3026823,12,1
2009,t3026903,22,4
2009,t3026906,26,8
2009,t3026907,13,2
2009,t3026908,13,4
2009,t3026909,14,2
2009,t3026910,31,11
2009,t3027001,15,4
2009,t3027102,17,2
2009,t3027203,16,1
2009,t3027300,14,5
2009,t3027400,11,2
2009,t3027501,21,5
2009,t3027601,22,3
2009,t3027602,23,6
2009,t3027700,11,3
2009,t3100200,63,17
2009,t3100400,61,16
2009,t3100500,15,5
2009,t3100700,32,10
2009,t3100800,75,22
2009,t3100900,125,42
2009,t3101200,16,5
2009,t3101300,28,11
2009,t3101600,112,37
2009,t3101800,43,13
2009,t3101900,41,14
2009,t3102000,43,16
2009,t3102100,76,23
2009,t3102300,64,30
2009,t3102500,53,19
2009,t3102600,31,11
2009,t3102800,72,25
2009,t3102900,27,6
2009,t3103100,22,5
2009,t3103400,60,22
2009,t3103600,15,8
2009,t3104000,21,6
2009,t3104100,42,19
2009,t3104400,15,5
