"county","year","race","Education_Index","Health_Index","Income_Index","Wellbeing_Index"
"hennepin",2012,"all",NA,5.96684914841849,4.78745831725195,NA
"hennepin",2012,"asian",NA,NA,2.89561753926615,NA
"hennepin",2012,"black",NA,NA,0,NA
"hennepin",2012,"other",NA,NA,0,NA
"hennepin",2012,"other",NA,NA,0,NA
"hennepin",2012,"white",NA,NA,6.0627628570617,NA
"hennepin",2013,"all",NA,5.96684914841849,5.07062218844979,NA
"hennepin",2013,"asian",NA,NA,3.47460175499827,NA
"hennepin",2013,"black",NA,NA,0,NA
"hennepin",2013,"other",NA,NA,0,NA
"hennepin",2013,"other",NA,NA,1.87788102891326,NA
"hennepin",2013,"white",NA,NA,6.31828823045714,NA
"hennepin",2014,"all",NA,5.96684914841849,5.34465282334431,NA
"hennepin",2014,"asian",NA,NA,4.18227097893232,NA
"hennepin",2014,"black",NA,NA,0,NA
"hennepin",2014,"other",NA,NA,0,NA
"hennepin",2014,"other",NA,NA,0,NA
"hennepin",2014,"white",NA,NA,6.64376807715461,NA
"hennepin",2015,"all",6.00595549215974,5.96684914841849,5.67258187374012,5.88179550477279
"hennepin",2015,"asian",6.16742195518725,NA,4.78535857660197,NA
"hennepin",2015,"black",4.22496856055428,NA,0,NA
"hennepin",2015,"other",2.14756515722894,NA,0,NA
"hennepin",2015,"other",NA,NA,0,NA
"hennepin",2015,"white",6.59619993085597,NA,6.92104776899711,NA
"hennepin",2016,"all",6.07168810257856,5.96684914841849,6.07670327338378,6.03841350812694
"hennepin",2016,"asian",6.35870320308403,NA,5.09158805258931,NA
"hennepin",2016,"black",4.65366271625228,NA,0,NA
"hennepin",2016,"other",2.64132015527174,NA,0.376637223346035,NA
"hennepin",2016,"other",NA,NA,2.70466113667892,NA
"hennepin",2016,"white",6.53491751716011,NA,7.36319052173246,NA
"hennepin",2017,"all",6.20959466940233,5.96684914841849,6.57309817981346,6.24984733254476
"hennepin",2017,"asian",6.3468156424581,NA,5.29350972951223,NA
"hennepin",2017,"black",4.83561086967909,NA,0.423830896814185,NA
"hennepin",2017,"other",3.11690821256039,NA,1.05610928155411,NA
"hennepin",2017,"other",NA,NA,0,NA
"hennepin",2017,"white",6.62450037172636,NA,7.91587800336755,NA
"hennepin",2018,"all",6.3120940769517,5.96684914841849,6.91795745210225,6.39896689249081
"hennepin",2018,"asian",7.38450707952891,NA,6.21297086592656,NA
"hennepin",2018,"black",4.53805568241689,NA,1.36288533725538,NA
"hennepin",2018,"other",3.08320813755795,NA,0.803620159465593,NA
"hennepin",2018,"other",NA,NA,0,NA
"hennepin",2018,"white",6.81068628072623,NA,8.22940367195386,NA
