"tractName","year","race","Education Index","Health Index","Income Index","Wellbeing Index"
"3000101",2013,"All",NA,5.70833333333333,1.16603254093556,NA
"3000101",2013,"Asian",NA,NA,0,NA
"3000101",2013,"Black/African American",NA,NA,0.287592052628061,NA
"3000101",2013,"Hispanic/Latinx",NA,NA,0,NA
"3000101",2013,"Native American",NA,NA,0,NA
"3000101",2013,"White (Non-Hispanic)",NA,NA,3.93528009786619,NA
"3000101",2018,"All",4.59524623524624,5.70833333333333,3.2608448898468,4.52147481947546
"3000101",2018,"Asian",1.45211233211233,NA,0.530275597147334,NA
"3000101",2018,"Black/African American",5.45845611178945,NA,0.704989267323344,NA
"3000101",2018,"Hispanic/Latinx",3.5667587113741,NA,0,NA
"3000101",2018,"Native American",NA,NA,0,NA
"3000101",2018,"White (Non-Hispanic)",6.79555555555556,NA,6.44460565019598,NA
"3000102",2013,"All",NA,3.04166666666667,1.56077526731926,NA
"3000102",2013,"Asian",NA,NA,0,NA
"3000102",2013,"Black/African American",NA,NA,0,NA
"3000102",2013,"Hispanic/Latinx",NA,NA,0,NA
"3000102",2013,"Native American",NA,NA,1.50127503771201,NA
"3000102",2013,"White (Non-Hispanic)",NA,NA,3.89769110192574,NA
"3000102",2018,"All",3.37322920266317,3.04166666666667,0.933825693351373,2.44957385422707
"3000102",2018,"Asian",4.34938343591405,NA,0,NA
"3000102",2018,"Black/African American",3.69694361426579,NA,0.0899517847805501,NA
"3000102",2018,"Hispanic/Latinx",0.65482726423903,NA,0,NA
"3000102",2018,"Native American",NA,NA,0,NA
"3000102",2018,"White (Non-Hispanic)",2.84,NA,3.59047791786134,NA
"3000300",2013,"All",NA,5.95833333333333,4.25826745122995,NA
"3000300",2013,"Asian",NA,NA,NA,NA
"3000300",2013,"Black/African American",NA,NA,0,NA
"3000300",2013,"Hispanic/Latinx",NA,NA,0,NA
"3000300",2013,"Native American",NA,NA,1.88579420509088,NA
"3000300",2013,"White (Non-Hispanic)",NA,NA,5.31387088177118,NA
"3000300",2018,"All",6.26826131849285,5.95833333333333,5.20126998566864,5.80928821249827
"3000300",2018,"Asian",0.897284533648171,NA,0,NA
"3000300",2018,"Black/African American",4.07996265172736,NA,2.93183806654941,NA
"3000300",2018,"Hispanic/Latinx",6.66666666666667,NA,5.68407136735219,NA
"3000300",2018,"Native American",NA,NA,NA,NA
"3000300",2018,"White (Non-Hispanic)",7.56444444444444,NA,6.41942931207849,NA
"3000601",2013,"All",NA,4.875,3.23960356284707,NA
"3000601",2013,"Asian",NA,NA,3.8893589980822,NA
