cityId,name,date,num_court_cases_total,num_court_cases_male,num_court_cases_black,num_court_cases_white,num_court_cases_asian,num_court_cases_adult,num_court_cases_juv,num_court_cases_felony,num_court_cases_gross_misdemeanor,num_court_cases_misdemeanor,num_court_cases_petty_misdemeanor
c5343306,minnetrista,2019,40,21,2.0,26,0.0,17,23.0,12.0,6.0,6.0,0.0
c5348580,orono,2019,38,29,6.0,26,0.0,30,8.0,24.0,1.0,6.0,1.0
c5325622,greenfield,2019,9,8,2.0,5,0.0,7,2.0,4.0,0.0,0.0,0.0
c5341480,medina,2019,71,56,9.0,42,1.0,49,22.0,30.0,3.0,7.0,0.0
c5330140,hopkins,2019,201,165,107.0,69,5.0,142,59.0,69.0,3.0,24.0,1.0
c5315022,dayton,2019,30,27,4.0,24,0.0,25,5.0,15.0,3.0,1.0,1.0
c5338006,long lake,2019,14,14,4.0,10,0.0,14,0.0,9.0,0.0,0.0,0.0
c5318188,edina,2019,566,400,261.0,219,10.0,405,161.0,316.0,14.0,37.0,2.0
c5354214,richfield,2019,391,305,177.0,161,8.0,266,125.0,198.0,8.0,46.0,2.0
c5330842,independence,2019,12,7,0.0,9,0.0,7,5.0,5.0,0.0,2.0,0.0
c5343000,minneapolis,2019,5902,4867,3813.0,1230,64.0,4567,1335.0,3574.0,134.0,473.0,11.0
c5355186,rogers,2019,190,137,39.0,93,3.0,128,62.0,95.0,5.0,21.0,2.0
c5314158,crystal,2019,264,197,156.0,76,6.0,167,97.0,126.0,16.0,38.0,1.0
c5344476,mound,2019,61,39,17.0,34,0.0,26,35.0,29.0,7.0,11.0,0.0
c5368818,wayzata,2019,42,32,18.0,14,0.0,32,10.0,24.0,0.0,6.0,0.0
c5306616,bloomington,2019,1622,1036,804.0,528,32.0,951,671.0,802.0,41.0,250.0,6.0
c5343252,minnetonka,2019,467,332,219.0,186,6.0,331,136.0,284.0,22.0,46.0,7.0
c5313168,corcoran,2019,39,31,3.0,25,2.0,32,7.0,15.0,0.0,7.0,0.0
c5360016,shorewood,2019,22,16,1.0,16,0.0,12,10.0,8.0,0.0,5.0,0.0
c5345628,new hope,2019,238,163,153.0,56,9.0,90,148.0,66.0,14.0,58.0,2.0
c5315148,deephaven,2019,17,13,0.0,8,0.0,7,10.0,4.0,2.0,3.0,1.0
c5307948,brooklyn center,2019,813,588,575.0,165,22.0,511,302.0,418.0,28.0,127.0,6.0
c5343270,minnetonka beach,2019,7,6,2.0,1,0.0,3,4.0,2.0,0.0,5.0,0.0
c5349012,osseo,2019,51,31,25.0,19,1.0,26,25.0,17.0,1.0,9.0,0.0
c5318116,eden prairie,2019,378,257,115.0,205,11.0,295,83.0,196.0,9.0,39.0,2.0
c5307966,brooklyn park,2019,1197,907,881.0,173,49.0,687,510.0,506.0,39.0,177.0,5.0
c5351730,plymouth,2019,538,407,223.0,237,14.0,428,110.0,300.0,12.0,54.0,6.0
c5357220,st. louis park,2019,350,271,180.0,112,7.0,264,86.0,181.0,10.0,22.0,0.0
c5310846,champlin,2019,269,214,86.0,155,2.0,158,111.0,102.0,12.0,46.0,2.0
c5354808,robbinsdale,2019,423,306,264.0,117,2.0,316,107.0,217.0,10.0,47.0,2.0
c5340166,maple grove,2019,547,368,245.0,241,14.0,319,228.0,253.0,33.0,72.0,5.0
c5324308,golden valley,2019,232,180,126.0,74,5.0,174,58.0,148.0,3.0,27.0,1.0
c5320078,excelsior,2019,22,13,1.0,14,0.0,18,4.0,10.0,0.0,3.0,0.0
c5356680,st. anthony,2019,41,30,15.0,20,1.0,33,8.0,28.0,1.0,2.0,1.0
c5343306,minnetrista,2018,43,30,9.0,23,0.0,20,23.0,16.0,2.0,8.0,1.0
c5348580,orono,2018,28,19,4.0,17,1.0,18,10.0,9.0,2.0,5.0,2.0
c5325622,greenfield,2018,17,15,2.0,15,0.0,13,4.0,12.0,0.0,0.0,0.0
c5341480,medina,2018,51,39,9.0,32,0.0,40,11.0,26.0,1.0,2.0,1.0
c5330140,hopkins,2018,201,159,106.0,73,2.0,147,54.0,100.0,5.0,18.0,0.0
c5315022,dayton,2018,31,23,2.0,20,0.0,17,14.0,11.0,1.0,6.0,0.0
c5338006,long lake,2018,16,10,2.0,11,0.0,7,9.0,7.0,0.0,0.0,0.0
