name,date,total_pop,yrs_life_lost_rate,pop_smokers_perc,pop_obese_perc,pop_drink_in_excess_perc,teen_birth_rate,uninsured_perc,overdose_rate,pop_poor_health_perc,percentile_80_income,percentile_20_income,stratification_ratio,children_in_poverty_perc,unemployed_perc,num_physicians,num_therapists,life_expectancy,free_lunch_perc,pop_under_18_perc,pop_over_65_perc,black_perc,native_indian_perc,asian_perc,hispanics_perc,white_perc,female_perc,rural_pop_perc,hdi_index
anoka,2016,341864,4836,16,30,21,17,9,11,10,121891,34351,4,11,4,196,360,NA,28,24,12,5,1,4,4,83,50,14,NA
anoka,2017,344151,4779,17,30,23,16,6,10,12,122645,34607,4,9,4,187,386,NA,36,24,12,5,1,4,4,83,50,14,NA
anoka,2018,345957,4731,15,31,23,13,4,10,10,126006,35486,4,9,4,183,440,NA,36,24,13,6,1,5,4,82,50,14,NA
anoka,2019,351373,5009,15,30,23,12,4,11,10,130673,37190,4,7,3,178,506,81,36,24,14,6,1,5,5,81,50,14,NA
beltrami,2016,45664,8848,19,29,24,51,14,12,15,85254,18225,5,25,5,42,135,NA,48,25,14,1,21,1,2,73,50,67,NA
beltrami,2017,45672,8885,21,31,22,47,10,8,15,85839,19222,4,24,5,40,138,NA,59,25,15,1,21,1,2,73,50,67,NA
beltrami,2018,46106,8874,20,32,23,39,9,8,16,85882,19143,4,25,5,42,144,NA,59,25,15,1,22,1,2,73,50,67,NA
beltrami,2019,46513,8457,20,34,23,35,9,9,16,90153,20456,4,25,5,38,157,NA,58,25,16,1,22,1,2,72,50,67,NA
benton,2016,39506,5902,18,28,23,28,9,,11,94755,21138,4,15,5,9,4,NA,28,25,14,2,0,1,2,92,50,40,NA
benton,2017,39710,5724,16,29,21,25,6,9,12,95632,20851,5,14,4,8,4,NA,36,25,14,3,0,1,2,92,50,40,NA
benton,2018,39992,5464,16,31,24,20,4,13,12,96335,22732,4,11,4,7,3,NA,36,25,15,3,1,1,2,91,50,40,NA
benton,2019,39937,5661,16,31,24,18,4,13,12,97049,22936,4,10,4,8,3,NA,34,25,14,4,1,1,2,90,50,40,NA
blue earth,2016,65385,4574,18,28,25,11,9,5,12,95663,21374,4,17,3,65,141,NA,29,20,13,3,0,2,3,89,50,27,NA
blue earth,2017,65787,4499,15,34,23,10,6,,13,95943,21260,5,14,3,64,147,NA,36,20,13,3,0,2,3,89,50,27,NA
blue earth,2018,66441,4730,16,35,26,9,4,7,13,99884,22136,5,13,3,63,163,NA,36,20,14,4,0,2,3,89,49,27,NA
blue earth,2019,66973,5565,16,34,26,8,5,7,13,104952,23194,5,12,3,58,174,NA,35,20,13,4,0,2,4,88,50,27,NA
carver,2016,97338,3431,13,24,23,9,6,4,9,151027,40418,4,6,4,88,98,NA,13,28,10,1,0,3,4,90,50,19,NA
carver,2017,98741,3408,12,23,26,8,4,6,8,156092,41001,4,5,3,86,108,NA,17,28,10,2,0,3,4,90,50,19,NA
carver,2018,100262,3470,12,22,26,6,3,6,10,163232,42302,4,4,3,83,114,NA,17,27,11,2,0,3,4,89,50,19,NA
carver,2019,102119,3572,12,24,26,6,3,6,10,172857,45132,4,4,3,83,133,NA,16,27,11,2,0,3,4,89,50,19,NA
chisago,2016,54025,4824,16,30,22,18,8,12,9,115539,32303,4,7,5,31,55,NA,19,24,14,1,1,1,2,94,48,56,NA
chisago,2017,54293,4515,15,30,23,17,6,11,10,115742,33774,3,8,4,31,57,NA,26,23,14,1,1,1,2,94,48,56,NA
chisago,2018,54748,4992,16,30,23,15,4,10,11,118153,35013,3,8,4,29,59,NA,25,23,15,1,1,1,2,94,48,56,NA
chisago,2019,55308,5153,16,30,23,14,4,10,11,122737,36975,3,7,4,27,59,NA,25,23,15,1,1,1,2,93,48,56,NA
clay,2016,61286,5937,16,28,23,14,9,12,11,99202,22268,4,15,3,16,126,NA,28,23,13,2,2,1,4,89,51,28,NA
clay,2017,62324,5655,16,28,23,13,6,18,12,100521,22872,4,13,3,18,137,NA,33,23,13,2,2,1,4,89,51,28,NA
clay,2018,62875,5889,15,28,25,11,4,18,12,103307,24108,4,13,3,16,140,NA,34,24,13,3,2,1,4,88,51,28,NA
clay,2019,63569,6085,15,29,25,11,4,16,12,108385,24810,4,13,3,15,149,NA,34,24,13,3,2,1,5,87,51,28,NA
crow wing,2016,63265,6191,17,29,22,31,10,12,12,88679,21362,4,16,6,66,131,NA,32,22,21,1,1,0,1,95,50,63,NA
crow wing,2017,63428,6141,16,29,20,30,7,13,12,91541,21995,4,15,5,62,143,NA,41,22,21,1,1,1,1,95,50,63,NA
crow wing,2018,63940,6151,17,30,23,26,5,14,12,94645,22906,4,15,5,61,156,NA,40,22,22,1,1,0,1,95,50,63,NA
crow wing,2019,64424,5806,17,29,23,24,5,13,12,97810,23480,4,13,4,64,161,NA,39,22,22,1,1,1,2,95,50,63,NA
dakota,2016,412529,4305,14,26,23,16,8,8,9,132712,35237,4,10,4,287,490,NA,21,25,12,5,1,5,7,80,51,5,NA
dakota,2017,414686,4187,12,27,21,14,6,9,10,133446,35716,4,9,3,290,532,NA,27,25,13,6,1,5,7,80,51,5,NA
dakota,2018,417486,4219,13,27,23,12,4,9,11,138762,36262,4,7,3,283,587,NA,28,25,13,6,1,5,7,79,51,5,NA
dakota,2019,421751,4400,13,27,23,11,4,10,11,144526,37504,4,7,3,275,672,NA,28,25,14,6,1,5,7,79,51,5,NA
goodhue,2016,46423,4694,17,31,22,21,9,,11,108563,23911,5,12,4,40,36,NA,,23,18,1,1,1,3,93,50,47,NA
goodhue,2017,46435,4586,15,32,21,19,7,7,13,106542,24402,4,11,4,43,43,NA,30,22,19,1,1,1,3,92,50,47,NA
goodhue,2018,46676,5172,15,31,25,17,5,,10,111409,26149,4,10,4,43,45,NA,28,22,19,1,1,1,3,92,50,47,NA
