districtId,date,name,avg_eng,avg_math,avg_read,avg_sci,avg_ACT,num_households_poverty,num_teachers,pop_total,pop_5_17
d2703180,2019,Anoka-Hennepin Public,19,20.6,20.7,21,20.5,,,,
d2705790,2019,Bloomington Public,20.1,21.8,21.7,21.4,21.4,,,,
d2706240,2019,Brooklyn Center,14.2,16,16.1,16.7,15.9,,,,
d2707200,2019,Buffalo-Hanover-Montrose Public,20.7,22.2,22.4,22.3,22,,,,
d2708190,2019,Eastern Carver County Public,22,22.6,22.6,22.7,22.6,,,,
d2710170,2019,Delano Public,21.7,24.6,23.9,23.5,23.6,,,,
d2711250,2019,Edina Public,26.6,25.2,26.9,25.8,26.3,,,,
d2711370,2019,Elk River Public,20,21.9,21.5,21.8,21.4,,,,
d2711670,2019,Minnetonka Public,26.2,25.3,26.9,26.1,26.2,,,,
d2714220,2019,Eden Prairie Public,23.7,24,24.3,24,24.1,,,,
d2714260,2019,Hopkins Public,21.6,21.7,22.9,22.1,22.2,,,,
d2721240,2019,Minneapolis Public,18.1,19.2,19.4,19.2,19.1,,,,
d2722920,2019,Westonka Public,22.9,22.9,24.3,23.2,23.4,,,,
d2725080,2019,Orono Public,24.5,25.1,24.8,25,25,,,,
d2725200,2019,Osseo Public,20,20.3,20.2,19.9,19.9,,,,
d2731750,2019,Richfield Public,19.1,18.9,19,18.7,18.7,,,,
d2731780,2019,Robbinsdale Public,18.7,19.2,19.3,18.9,18.9,,,,
d2732070,2019,Rockford Public,22.8,22.5,22.4,22.3,22.3,,,,
d2733420,2019,St. Anthony-New Brighton Public,22.3,23.2,22.6,22.9,22.9,,,,
d2733780,2019,St. Louis Park Public,21.2,22.4,21.9,21.8,21.8,,,,
d2741460,2019,Waconia Public,23,23.1,23,22.9,22.9,,,,
d2741910,2019,Watertown-Mayer Public,22.4,21.9,21.6,21.5,21.5,,,,
d2742160,2019,Wayzata Public,25.7,26,25.6,25.8,25.8,,,,
d2703180,2018,Anoka-Hennepin Public,19,20.5,20.8,20.9,20.4,2840,2252,241661,44163
d2705790,2018,Bloomington Public,20.4,21.7,22,21.4,21.5,1222,717,90483,12493
d2706240,2018,Brooklyn Center,15.1,17,16.9,17.1,16.7,345,155,9735,1661
d2707200,2018,Buffalo-Hanover-Montrose Public,19.6,21.6,21.6,21.5,21.2,312,364,34770,7240
d2708190,2018,Eastern Carver County Public,22.2,22.6,23.3,22.9,22.9,386,580,58504,11910
d2710170,2018,Delano Public,21.1,23.2,22.6,22.8,22.6,72,140,11868,2601
d2711250,2018,Edina Public,25.8,25,26.4,25.4,25.8,228,488,43211,8719
d2711370,2018,Elk River Public,20.5,22.3,22,22.1,21.8,541,807,72281,14916
d2711670,2018,Minnetonka Public,25.7,25.5,26.6,25.7,26,216,612,44239,9022
d2714220,2018,Eden Prairie Public,23.8,23.8,24.5,23.8,24.1,797,536,62957,12044
d2714260,2018,Hopkins Public,21.6,21.7,22.7,21.9,22.1,725,499,67621,9218
d2721240,2018,Minneapolis Public,17.9,19.1,19.5,19.1,19,11016,3020,418129,53501
d2722920,2018,Westonka Public,23.9,24,24.2,23.4,24.1,120,145,19520,3210
d2725080,2018,Orono Public,25.2,24.6,24.8,24.7,25,94,189,12965,2795
d2725200,2018,Osseo Public,18.9,20,20.2,19.9,19.9,2332,1203,147658,27347
d2731750,2018,Richfield Public,16.9,18.9,18.6,18.6,18.3,619,327,43507,5320
d2731780,2018,Robbinsdale Public,17.8,19.1,19.6,19.3,19.1,1848,921,108279,16069
d2732070,2018,Rockford Public,19.4,21,20.8,21.2,20.7,94,110,10414,2075
d2733420,2018,St. Anthony-New Brighton Public,22.2,22.6,23.6,22.7,22.9,93,98,10707,1288
d2733780,2018,St. Louis Park Public,21,21.3,22,21.6,21.6,466,381,47661,5612
d2741460,2018,Waconia Public,22.4,23.1,23.5,22.9,23.1,,,,
d2741910,2018,Watertown-Mayer Public,19,21.8,21.5,21.7,21.2,90,101,10729,1968
d2742160,2018,Wayzata Public,25.3,25.5,26,25.3,25.6,446,709,64404,12526
d2703180,2017,Anoka-Hennepin Public,19.3,20.7,21.3,21.4,20.8,,,,
d2705790,2017,Bloomington Public,20.8,22.4,22.5,22.2,22.1,,,,
d2706240,2017,Brooklyn Center,15.5,17.3,17.4,18.1,17.2,,,,
d2707200,2017,Buffalo-Hanover-Montrose Public,19.4,21.6,21.3,21.6,21.1,,,,
d2708190,2017,Eastern Carver County Public,22.2,22.9,23.3,23.2,23,,,,
d2710170,2017,Delano Public,22,24.4,23.2,23.9,23.5,,,,
d2711250,2017,Edina Public,26.4,25.4,26.8,25.8,26.3,,,,
d2711370,2017,Elk River Public,20.6,22.4,22.1,22,21.9,,,,
d2711670,2017,Minnetonka Public,25.6,25.1,26.2,25.6,25.7,,,,
d2714220,2017,Eden Prairie Public,23.5,23.9,24.2,23.9,24,,,,
d2714260,2017,Hopkins Public,21.6,21.7,22.5,22.1,22.1,,,,
d2721240,2017,Minneapolis Public,18,19,19.4,19.3,19.1,,,,
d2722920,2017,Westonka Public,23.2,23,24,23.3,23.5,,,,
d2725080,2017,Orono Public,25.2,24.5,25.6,24.7,25.1,,,,
d2725200,2017,Osseo Public,19.2,20.3,20.8,20.5,20.3,,,,
d2731750,2017,Richfield Public,16.4,18.3,18.4,18.4,18,,,,
d2731780,2017,Robbinsdale Public,18.3,19.1,19.8,19.8,19.4,,,,
d2732070,2017,Rockford Public,19,21.3,21.1,21.6,20.9,,,,
d2733420,2017,St. Anthony-New Brighton Public,22.5,22.6,23.4,22.6,22.9,,,,
d2733780,2017,St. Louis Park Public,20.5,21,21.9,21.7,21.4,,,,
d2741460,2017,Waconia Public,21.9,22.6,22.9,22.4,22.5,,,,
d2741910,2017,Watertown-Mayer Public,18.5,20.8,21.1,21.1,20.5,,,,
d2742160,2017,Wayzata Public,24.9,25.5,25.4,25.1,25.4,,,,
d2703180,2016,Anoka-Hennepin Public,19.3,20.6,21.1,21.2,20.7,,,,
d2705790,2016,Bloomington Public,20.2,21.9,21.7,21.6,21.5,,,,
d2706240,2016,Brooklyn Center,14.1,16.9,17.4,17.2,16.6,,,,
d2707200,2016,Buffalo-Hanover-Montrose Public,19.8,21.5,21.3,21.9,21.2,,,,
d2708190,2016,Eastern Carver County Public,22.4,22.8,23.2,23.3,23.1,,,,
d2710170,2016,Delano Public,21.5,23,22.5,23.1,22.7,,,,
d2711250,2016,Edina Public,25.8,24.9,26.3,25.4,25.7,,,,
d2711370,2016,Elk River Public,21,21.1,22.2,21.6,21.6,,,,
d2711670,2016,Minnetonka Public,25.4,24.7,25.9,25.3,25.4,,,,
d2714220,2016,Eden Prairie Public,24.4,24.3,24.5,24.3,24.5,,,,
d2714260,2016,Hopkins Public,21,21.1,22.2,21.6,21.6,,,,
d2721240,2016,Minneapolis Public,18.2,19.2,19.5,19.2,19.2,,,,
d2722920,2016,Westonka Public,22.7,23.8,23.9,23.2,23.6,,,,
d2725080,2016,Orono Public,26,25.2,25.5,25.4,25.7,,,,
d2725200,2016,Osseo Public,19.3,20.5,20.6,20.5,20.3,,,,
d2731750,2016,Richfield Public,16.9,18.7,18.5,19,18.3,,,,
d2731780,2016,Robbinsdale Public,18.6,19.3,20.5,20.3,19.8,,,,
d2732070,2016,Rockford Public,20.4,21.9,21.9,21.7,21.6,,,,
d2733420,2016,St. Anthony-New Brighton Public,22.3,22.6,23.2,23.1,23,,,,
d2733780,2016,St. Louis Park Public,21.3,21.2,22.4,21.7,21.8,,,,
d2741460,2016,Waconia Public,21,21.8,22.1,22.1,21.9,,,,
d2741910,2016,Watertown-Mayer Public,19,20.9,21,21.2,20.6,,,,
d2742160,2016,Wayzata Public,25.4,25.9,25.9,25.5,25.8,,,,
