shelfId,name,date
1,t3026103,2019
2,t3106000,2019
3,t3026909,2019
4,t3104800,2019
5,t3026101,2019
6,t3026006,2019
7,t3002700,2019
8,t3026606,2019
9,t3102900,2019
10,t3102500,2019
11,t3101900,2019
12,t3002200,2019
13,t3106000,2019
14,t3105600,2019
15,t3125600,2019
17,t3027602,2019
18,t3011703,2019
19,t3025205,2019
20,t3005901,2019
21,t3125900,2019
22,t3109900,2019
23,t3109200,2019
24,t3007801,2019
25,t3008100,2019
26,t3008500,2019
27,t3027002,2019
28,t3020804,2019
29,t3104800,2019
30,t3109900,2019
31,t3021503,2019
32,t3009600,2019
33,t3027602,2019
34,t3000102,2019
35,t3104400,2019
36,t3011998,2019
37,t3104400,2019
38,t3122600,2019
39,t3104900,2019
40,t3109400,2019
41,t3021502,2019
42,t3102500,2019
43,t3020400,2019
44,t3126200,2019
45,t3125500,2019
46,t3021900,2019
47,t3020302,2019
48,t3107400,2019
49,t3025205,2019
1,t3026103,2018
2,t3106000,2018
3,t3026909,2018
4,t3104800,2018
5,t3026101,2018
6,t3026006,2018
7,t3002700,2018
8,t3026606,2018
9,t3102900,2018
10,t3102500,2018
11,t3101900,2018
12,t3002200,2018
13,t3106000,2018
14,t3105600,2018
15,t3125600,2018
17,t3027602,2018
18,t3011703,2018
19,t3025205,2018
20,t3005901,2018
21,t3125900,2018
22,t3109900,2018
23,t3109200,2018
24,t3007801,2018
25,t3008100,2018
26,t3008500,2018
27,t3027002,2018
28,t3020804,2018
29,t3104800,2018
30,t3109900,2018
31,t3021503,2018
32,t3009600,2018
33,t3027602,2018
34,t3000102,2018
35,t3104400,2018
36,t3011998,2018
37,t3104400,2018
38,t3122600,2018
39,t3104900,2018
40,t3109400,2018
41,t3021502,2018
42,t3102500,2018
43,t3020400,2018
44,t3126200,2018
45,t3125500,2018
46,t3021900,2018
47,t3020302,2018
48,t3107400,2018
49,t3025205,2018
1,t3026103,2017
2,t3106000,2017
3,t3026909,2017
4,t3104800,2017
5,t3026101,2017
6,t3026006,2017
7,t3002700,2017
8,t3026606,2017
9,t3102900,2017
10,t3102500,2017
11,t3101900,2017
12,t3002200,2017
13,t3106000,2017
14,t3105600,2017
15,t3125600,2017
17,t3027602,2017
18,t3011703,2017
19,t3025205,2017
20,t3005901,2017
21,t3125900,2017
22,t3109900,2017
23,t3109200,2017
24,t3007801,2017
25,t3008100,2017
26,t3008500,2017
27,t3027002,2017
28,t3020804,2017
29,t3104800,2017
30,t3109900,2017
31,t3021503,2017
32,t3009600,2017
33,t3027602,2017
34,t3000102,2017
35,t3104400,2017
36,t3011998,2017
37,t3104400,2017
38,t3122600,2017
39,t3104900,2017
40,t3109400,2017
41,t3021502,2017
42,t3102500,2017
43,t3020400,2017
44,t3126200,2017
45,t3125500,2017
46,t3021900,2017
47,t3020302,2017
48,t3107400,2017
49,t3025205,2017
1,t3026103,2016
2,t3106000,2016
3,t3026909,2016
4,t3104800,2016
5,t3026101,2016
6,t3026006,2016
7,t3002700,2016
8,t3026606,2016
9,t3102900,2016
10,t3102500,2016
11,t3101900,2016
12,t3002200,2016
13,t3106000,2016
14,t3105600,2016
15,t3125600,2016
17,t3027602,2016
18,t3011703,2016
19,t3025205,2016
20,t3005901,2016
21,t3125900,2016
22,t3109900,2016
23,t3109200,2016
24,t3007801,2016
25,t3008100,2016
26,t3008500,2016
27,t3027002,2016
28,t3020804,2016
29,t3104800,2016
30,t3109900,2016
31,t3021503,2016
32,t3009600,2016
33,t3027602,2016
34,t3000102,2016
35,t3104400,2016
36,t3011998,2016
37,t3104400,2016
38,t3122600,2016
39,t3104900,2016
40,t3109400,2016
41,t3021502,2016
42,t3102500,2016
43,t3020400,2016
44,t3126200,2016
45,t3125500,2016
46,t3021900,2016
47,t3020302,2016
48,t3107400,2016
49,t3025205,2016
