neighborhoodId,name,longitude,latitude,date,total_cases,arson_perc,theft_perc,assault_perc,murder_perc,rape_perc
n270530001,kenwood,-93.31,44.96,2019,,,,,,
n270530002,seward,-93.23,44.96,2019,,,,,,
n270530003,webber - camden,-93.31,45.04,2019,,,,,,
n270530004,columbia park,-93.25,45.03,2019,,,,,,
n270530005,cooper,-93.21,44.95,2019,,,,,,
n270530006,ericsson,-93.25,44.93,2019,,,,,,
n270530007,st. anthony west,-93.26,44.99,2019,,,,,,
n270530008,morris park,-93.21,44.9,2019,,,,,,
n270530009,minnehaha,-93.22,44.91,2019,,,,,,
n270530010,armatage,-93.32,44.91,2019,,,,,,
n270530011,hawthorne,-93.29,45,2019,,,,,,
n270530012,east isles,-93.3,44.96,2019,,,,,,
n270530013,keewaydin,-93.24,44.91,2019,,,,,,
n270530014,sumner - glenwood,-93.29,44.99,2019,,,,,,
n270530015,ventura village,-93.25,44.96,2019,,,,,,
n270530016,downtown east,-93.26,44.98,2019,,,,,,
n270530017,holland,-93.26,45.01,2019,,,,,,
n270530018,hiawatha,-93.2,44.93,2019,,,,,,
n270530019,regina,-93.27,44.92,2019,,,,,,
n270530020,audubon park,-93.24,45.02,2019,,,,,,
n270530021,west calhoun,-93.32,44.94,2019,,,,,,
n270530022,mckinley,-93.29,45.02,2019,,,,,,
n270530023,midtown phillips,-93.26,44.96,2019,,,,,,
n270530024,hale,-93.25,44.91,2019,,,,,,
n270530025,lyndale,-93.28,44.94,2019,,,,,,
n270530026,howe,-93.22,44.94,2019,,,,,,
n270530027,bottineau,-93.27,45.01,2019,,,,,,
n270530028,northrop,-93.26,44.92,2019,,,,,,
n270530029,lowry hill east,-93.29,44.95,2019,,,,,,
n270530030,university of minnesota,-93.23,44.98,2019,,,,,,
n270530031,stevens square - loring heights,-93.27,44.96,2019,,,,,,
n270530032,windom,-93.28,44.9,2019,,,,,,
n270530033,linden hills,-93.31,44.93,2019,,,,,,
n270530034,north loop,-93.28,44.98,2019,,,,,,
n270530035,field,-93.27,44.91,2019,,,,,,
n270530036,mid - city industrial,-93.22,44.99,2019,,,,,,
n270530037,whittier,-93.29,44.96,2019,,,,,,
n270530038,standish,-93.25,44.93,2019,,,,,,
n270530039,cedar - isles - dean,-93.33,44.95,2019,,,,,,
n270530040,sheridan,-93.27,45.01,2019,,,,,,
n270530041,powderhorn park,-93.25,44.94,2019,,,,,,
n270530042,loring park,-93.29,44.97,2019,,,,,,
n270530043,wenonah,-93.23,44.9,2019,,,,,,
n270530044,bancroft,-93.25,44.93,2019,,,,,,
n270530045,willard - hay,-93.31,44.99,2019,,,,,,
n270530046,st. anthony east,-93.26,45,2019,,,,,,
n270530047,king field,-93.28,44.92,2019,,,,,,
n270530048,diamond lake,-93.27,44.89,2019,,,,,,
n270530049,nicollet island - east bank,-93.26,44.99,2019,,,,,,
n270530050,cleveland,-93.32,45.02,2019,,,,,,
n270530051,bryant,-93.26,44.93,2019,,,,,,
n270530052,folwell,-93.29,45.02,2019,,,,,,
n270530053,tangletown,-93.28,44.91,2019,,,,,,
n270530054,phillips west,-93.27,44.96,2019,,,,,,
n270530055,beltrami,-93.24,45,2019,,,,,,
n270530056,fulton,-93.31,44.91,2019,,,,,,
n270530057,east phillips,-93.25,44.96,2019,,,,,,
n270530058,prospect park - east river road,-93.21,44.97,2019,,,,,,
n270530059,marcy holmes,-93.25,44.99,2019,,,,,,
n270530060,longfellow,-93.22,44.95,2019,,,,,,
n270530061,carag,-93.29,44.94,2019,,,,,,
n270530062,shingle creek,-93.32,45.05,2019,,,,,,
n270530063,corcoran,-93.24,44.95,2019,,,,,,
n270530064,humboldt industrial area,-93.3,45.04,2019,,,,,,
n270530065,bryn - mawr,-93.31,44.98,2019,,,,,,
n270530066,kenny,-93.3,44.9,2019,,,,,,
n270530067,northeast park,-93.24,45,2019,,,,,,
n270530068,camden industrial,-93.28,45.02,2019,,,,,,
n270530069,waite park,-93.24,45.03,2019,,,,,,
n270530070,como,-93.22,44.99,2019,,,,,,
n270530071,victory,-93.31,45.03,2019,,,,,,
n270530072,cedar riverside,-93.24,44.97,2019,,,,,,
n270530073,east harriet,-93.29,44.94,2019,,,,,,
n270530074,ecco,-93.3,44.95,2019,,,,,,
n270530075,windom park,-93.25,45,2019,,,,,,
n270530076,lynnhurst,-93.3,44.91,2019,,,,,,
n270530077,jordan,-93.29,45,2019,,,,,,
n270530078,lowry hill,-93.29,44.96,2019,,,,,,
n270530079,harrison,-93.3,44.98,2019,,,,,,
n270530080,logan park,-93.25,45.01,2019,,,,,,
n270530081,central,-93.27,44.94,2019,,,,,,
n270530082,marshall terrace,-93.27,45.01,2019,,,,,,
n270530083,lind - bohanon,-93.29,45.05,2019,,,,,,
n270530084,downtown west,-93.27,44.97,2019,,,,,,
n270530085,near - north,-93.3,44.99,2019,,,,,,
n270530086,elliot park,-93.26,44.97,2019,,,,,,
