name,date,total_pop,median_age,male_perc,female_perc,white_perc,black_perc,asian_perc,other_perc,employed_perc,unemployed_perc,income_below_poverty_perc,income_median,income_mean,k_12_perc,college_undergrad_perc,total_pop_above_25_w_bach_degree_perc,stem_degree_perc,stem_related_degree_perc,business_degree_perc,education_degree_perc,humanities_degree_perc,healthInsured_perc,mean_travel_work,occupied_housing_units,owned_housing_units,rented_housing_units,life_expectancy,total_enrolled_SNAP,asian_SNAP_enrollment_perc,black_SNAP_enrollment_perc,other_SNAP_enrollment_perc,white_SNAP_enrollment_perc,hdi_index,num_households,single_parent_households,mobile_home_households,no_HS_diploma_households,no_vehicle_households,limited_english_households,eviction_filings,eviction_rate_perc,hl_binge_drinking_prev,hl_high_blood_pressure_prev,hl_cancer_prev,hl_asthma_prev,hl_heart_disease_prev,hl_doctor_visits_prev,hl_smoking_prev,hl_dentist_visits_prev,hl_kidney_disease_prev,hl_poor_mental_health_prev,hl_obesity_prev,hl_poor_sleep_prev,hl_stroke_prev,hs_subsidized_units,hl_VA_health_coverage,hl_public_coverage,hl_medicare_coverage,hl_private_coverage,inc_no_internet_households,inc_internet_households,hs_median_rent,acs_SNAP_household_total,acs_SNAP_household_white,acs_SNAP_household_black,acs_SNAP_household_Asian
t3000101,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3000101,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3000101,2018,3198.0,35.0,48.0,52.0,45.0,29.0,16.0,2.0,65.0,4.0,14.0,58240.0,71423.0,59.0,19.0,536.0,30.0,13.0,13.0,18.0,26.0,92.0,27.0,1065.0,886.0,179.0,80.0,4867.0,18.0,57.0,10.0,13.0,4.52,,,,,,,13.0,31.0,19.7,26.2,5.5,8.1,5.1,69.1,17.6,67.6,2.9,11.4,28.2,32.6,3.0,56.0,105.0,1097.0,370.0,1789.0,445.0,2724.0,1367.0,182.0,94.0,49.0,39.0
t3000101,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3000102,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3000102,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3000102,2018,5453.0,33.0,50.0,50.0,43.0,28.0,13.0,1.0,59.0,6.0,27.0,43021.0,53267.0,72.0,19.0,553.0,35.0,10.0,17.0,12.0,27.0,88.0,23.0,1821.0,1163.0,658.0,73.0,10551.0,16.0,53.0,9.0,20.0,2.45,,,,,,,39.0,64.0,20.2,27.3,5.4,8.7,5.2,69.0,20.2,64.9,2.9,12.6,30.6,33.8,3.2,137.0,139.0,1889.0,776.0,2608.0,1111.0,4253.0,982.0,422.0,173.0,197.0,18.0
t3000102,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3000300,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,
t3000300,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
