name1,name2,date
t3106000,t3104800,2019
t3106000,t3005901,2019
t3106000,t3125900,2019
t3106000,t3125800,2019
t3106000,t3106200,2019
t3106000,t3005902,2019
t3026101,t3026206,2019
t3026101,t3023200,2019
t3026101,t3026103,2019
t3026101,t3026302,2019
t3026101,t3023300,2019
t3026101,t3026404,2019
t3026101,t3026202,2019
t3003200,t3021700,2019
t3003200,t3102800,2019
t3003200,t3104100,2019
t3003200,t3003300,2019
t3003200,t3002700,2019
t3003200,t3021800,2019
t3027002,t3027201,2019
t3027002,t3027001,2019
t3027002,t3027101,2019
t3027002,t3027102,2019
t3027002,t3027700,2019
t3027201,t3027700,2019
t3027201,t3026606,2019
t3027201,t3027203,2019
t3027201,t3027202,2019
t3027201,t3027101,2019
t3027201,t3027300,2019
t3027201,t3027400,2019
t3027201,t3027601,2019
t3102800,t3102100,2019
t3102800,t3101300,2019
t3102800,t3103400,2019
t3102800,t3102000,2019
t3102800,t3003300,2019
t3102800,t3102900,2019
t3102800,t3002700,2019
t3103100,t3102600,2019
t3103100,t3103700,2019
t3103100,t3102500,2019
t3103100,t3103600,2019
t3103100,t3103000,2019
t3105204,t3105700,2019
t3105204,t3105600,2019
t3105204,t3105201,2019
t3105204,t3005901,2019
t3105204,t3105400,2019
t3105204,t3104400,2019
t3026404,t3026302,2019
t3026404,t3026403,2019
t3026404,t3023200,2019
t3026404,t3026402,2019
t3026404,t3026301,2019
t3111500,t3110800,2019
t3111500,t3012001,2019
t3111500,t3111600,2019
t3111500,t3012003,2019
t3111500,t3110900,2019
t3111500,t3010700,2019
t3111500,t3111400,2019
t3026907,t3026706,2019
t3026907,t3026812,2019
t3026907,t3026707,2019
t3026907,t3026910,2019
t3026907,t3026903,2019
t3026907,t3026906,2019
t3026907,t3026908,2019
t3022101,t3022102,2019
t3022101,t3022400,2019
t3022101,t3021900,2019
t3022101,t3022000,2019
t3022101,t3022700,2019
t3022102,t3022200,2019
t3022102,t3022301,2019
t3022102,t3022400,2019
t3022102,t3021900,2019
t3110400,t3108900,2019
t3110400,t3111100,2019
t3110400,t3108800,2019
t3110400,t3110500,2019
t3110400,t3108700,2019
t3110400,t3109000,2019
t3110400,t3110200,2019
t3012101,t3011704,2019
t3012101,t3011998,2019
t3012101,t3980000,2019
t3012101,t3012102,2019
t3012101,t3011800,2019
t3026818,t3026816,2019
t3026818,t3026807,2019
t3026818,t3026809,2019
t3026818,t3026819,2019
t3023902,t3025905,2019
t3023902,t3023903,2019
t3023902,t3026007,2019
t3023902,t3023700,2019
t3023902,t3023502,2019
t3023902,t3023901,2019
t3003300,t3103400,2019
t3003300,t3002700,2019
t3003300,t3104100,2019
t3022801,t3105100,2019
t3022801,t3022802,2019
t3022801,t3106500,2019
t3022801,t3022700,2019
t3022801,t3022000,2019
t3025301,t3025100,2019
t3025301,t3025302,2019
t3025301,t3025205,2019
t3025301,t3025801,2019
t3109000,t3107600,2019
t3109000,t3108900,2019
t3109000,t3110500,2019
t3023903,t3025905,2019
t3023903,t3025605,2019
t3023903,t3024006,2019
