year,month,name,ppl_enrolled_snap
2016,1,t1100100,10
2016,1,t3000101,538
2016,1,t3000102,1061
2016,1,t3000300,297
2016,1,t3000601,308
2016,1,t3000603,88
2016,1,t3001100,233
2016,1,t3001700,460
2016,1,t3002200,562
2016,1,t3002400,303
2016,1,t3002700,638
2016,1,t3003200,461
2016,1,t3003300,778
2016,1,t3003800,88
2016,1,t3005901,859
2016,1,t3005902,1012
2016,1,t3006800,329
2016,1,t3007700,419
2016,1,t3007801,425
2016,1,t3008100,63
2016,1,t3008200,854
2016,1,t3008300,343
2016,1,t3008400,426
2016,1,t3008500,540
2016,1,t3009500,364
2016,1,t3009600,279
2016,1,t3010700,10
2016,1,t3011000,164
2016,1,t3011703,23
2016,1,t3011704,79
2016,1,t3011800,132
2016,1,t3011998,152
2016,1,t3012001,118
2016,1,t3012003,547
2016,1,t3012101,525
2016,1,t3012102,153
2016,1,t3020101,32
2016,1,t3020102,71
2016,1,t3020200,1213
2016,1,t3020301,295
2016,1,t3020302,410
2016,1,t3020303,431
2016,1,t3020304,470
2016,1,t3020400,772
2016,1,t3020500,455
2016,1,t3020600,257
2016,1,t3020700,312
2016,1,t3020801,134
2016,1,t3020804,275
2016,1,t3020902,56
2016,1,t3020903,110
2016,1,t3021001,318
2016,1,t3021002,110
2016,1,t3021100,146
2016,1,t3021200,222
2016,1,t3021300,501
2016,1,t3021400,283
2016,1,t3021501,381
2016,1,t3021502,512
2016,1,t3021503,437
2016,1,t3021504,194
2016,1,t3021505,210
2016,1,t3021601,144
2016,1,t3021602,371
2016,1,t3021700,92
2016,1,t3021800,16
2016,1,t3021900,27
2016,1,t3022000,18
2016,1,t3022101,186
2016,1,t3022102,146
2016,1,t3022200,60
2016,1,t3022301,79
2016,1,t3022302,239
2016,1,t3022400,305
2016,1,t3022700,139
2016,1,t3022801,32
2016,1,t3022802,170
2016,1,t3022901,126
2016,1,t3023000,231
2016,1,t3023200,444
2016,1,t3023300,566
2016,1,t3023400,756
2016,1,t3023501,74
2016,1,t3023502,20
2016,1,t3023700,18
2016,1,t3023801,48
2016,1,t3023802,39
2016,1,t3023901,27
2016,1,t3023902,15
2016,1,t3023903,63
2016,1,t3024003,175
2016,1,t3024004,337
2016,1,t3024005,41
2016,1,t3024100,148
2016,1,t3024200,102
2016,1,t3024300,338
2016,1,t3024400,298
2016,1,t3024500,72
2016,1,t3024600,246
2016,1,t3024700,124
2016,1,t3024801,176
2016,1,t3024802,373
2016,1,t3024901,44
2016,1,t3024902,212
2016,1,t3024903,356
2016,1,t3025100,162
2016,1,t3025201,651
2016,1,t3025205,451
2016,1,t3025301,66
2016,1,t3025302,469
2016,1,t3025401,327
2016,1,t3025403,272
2016,1,t3025601,249
2016,1,t3025603,81
2016,1,t3025605,105
2016,1,t3025701,321
2016,1,t3025702,193
2016,1,t3025801,103
2016,1,t3025802,37
2016,1,t3025803,179
2016,1,t3025805,51
2016,1,t3025903,111
2016,1,t3025905,16
2016,1,t3025906,256
2016,1,t3025907,52
2016,1,t3026005,286
2016,1,t3026006,86
2016,1,t3026007,196
2016,1,t3026013,35
2016,1,t3026014,98
2016,1,t3026015,110
2016,1,t3026016,260
2016,1,t3026018,59
2016,1,t3026019,263
2016,1,t3026020,428
2016,1,t3026021,43
2016,1,t3026022,25
2016,1,t3026101,65
2016,1,t3026103,27
2016,1,t3026104,201
2016,1,t3026201,20
2016,1,t3026202,13
2016,1,t3026205,25
2016,1,t3026206,91
2016,1,t3026207,251
2016,1,t3026208,28
2016,1,t3026302,17
2016,1,t3026402,299
2016,1,t3026403,140
2016,1,t3026404,19
2016,1,t3026505,22
2016,1,t3026507,303
2016,1,t3026508,40
2016,1,t3026509,21
2016,1,t3026510,66
2016,1,t3026511,199
2016,1,t3026512,215
2016,1,t3026514,222
2016,1,t3026605,17
2016,1,t3026606,114
2016,1,t3026609,17
2016,1,t3026610,92
2016,1,t3026611,364
2016,1,t3026612,136
2016,1,t3026613,175
2016,1,t3026702,86
2016,1,t3026706,35
2016,1,t3026707,91
2016,1,t3026708,100
2016,1,t3026710,211
2016,1,t3026711,90
2016,1,t3026712,141
2016,1,t3026713,69
2016,1,t3026714,235
2016,1,t3026715,161
2016,1,t3026716,44
2016,1,t3026807,623
2016,1,t3026809,859
2016,1,t3026810,1000
2016,1,t3026811,819
2016,1,t3026812,292
2016,1,t3026814,702
2016,1,t3026815,349
2016,1,t3026816,785
2016,1,t3026818,739
2016,1,t3026819,1106
