OBJECTID,ProviderId,ProviderName,ServiceName,CreateDate,ModifyDate,ProviderType,ProviderWebSite,LocationName,AddressLine1,AddressLine2,City,State,County,MailAddressLine1,MailCity,MailState,MailZipCode,EmailAddress,PhoneNumber,PhoneNumberExt,Features,ShortDescription,Eligibility,Application,Fee,AreaServed,LocationId,ZipCode,MailAddressLine12,Additional_Notes,,POINT_X,POINT_Y
1,13101030,Intercongregation Communities Association - ICA,Food Shelf,4/2/2002,1/6/2016,Non-profit,http://www.icafoodshelf.org/home.html,ICA at K-Tel,11588 K Tel Dr,,Minnetonka,MN,Hennepin,12990 Saint Davids Rd,Minnetonka,MN,55305-4117,ica@icafoodshelf.org,9529380729,,"Family, Free / no cost to eligible clients, Older adults, People with low income",Food shelf providing food to area residents.,"Resident of Minnetonka, Hopkins, Excelsior, Deephaven, Shorewood, Greenwood, or Woodland.",Call for appointment.  Provide proof of address is needed at pick-up.,,Hennepin,3,55343-8855,,,,-93.427342,44.912995
2,13103915,Pillsbury United Communities,Food Shelf - multiple locations in Minneapolis,9/30/2009,2/10/2016,Non-Profit,http://www.puc-mn.org,Pillsbury United Communities - Waite House,2323 11th Avenue S,,Minneapolis,MN,Hennepin,2323 11th Avenue S,Minneapolis,MN,55412-2006,dunlapl@puc-mn.org,6127211681,,,Emergency food shelves and additional food distribution.,Resident of Minneapolis,"At Coyle and Waite House Food Shelves, clients must provide proof of residency (for example, a piece of recent mail), picture identification, identification for each family member and complete a brief intake interview. 

Groveland Food For Youth is a low-barrier food shelf - proof of residency and identification are not required.",No fee,Hennepin,17,55404-3803,,,,-93.257138,44.959618
3,13101230,Christians Reaching Out in Social Service (CROSS),Food Shelf - Supplemental,8/16/2001,12/28/2015,Faith Community,http://crossservices.org,*Main Site (Christians Reaching Out in Social Service (CROSS)),12915 Weinand Cir,,Rogers,MN,Hennepin,PO Box 574,Rogers,MN,55374-0574,info@crossservices.org,7634251050,,"Accessible main entrance (zero step approach), Accessible public restroom, Designated disability parking, Free / no cost to eligible clients, People with low income, Russian","Providing 10 - 15 days of food per month, for families in emergency situation.",Live in the area. Bring a current piece of mail dated within the last 30 days with your name and address.,"People seeking food assistance need to fill out the following: 
* Christians Reaching Out in Social Service (CROSS) intake form
* The Emergency Food Assistance Program (TEFAP) - United States Department of Agriculture (USDA) required information.

* Please bring in a proof of address (i.e. Utility Bill), a picture identification, and the birth dates of each member in the household.",No fee,Hennepin,1,55374-4599,,,,-93.529438,45.18903
4,13103838,Lovepower Church,Food and Clothing,9/4/2009,4/16/2015,Faith Community,http://www.lovepowerministries.org,*Main Site (Lovepower Church),1407 Washington Ave S,,Minneapolis,MN,Hennepin,521 79th Ave NE,Minneapolis,MN,55432-2734,,7635602059,,"Accessible main entrance (zero step approach), Accessible public restroom, Cafeteria/dining area, Easily operated door handles (levers or loops), Free parking, Provider is near a bus or light rail line, Resource library, Shared kitchen","Food shelf, clothing closet, and monthly meal.",,,No fee,"Anoka, Hennepin, Ramsey",1,55454-1000,,,,-93.248807,44.973266
5,13101030,Intercongregation Communities Association - ICA,Food Shelf,4/2/2002,1/6/2016,Non-profit,http://www.icafoodshelf.org/contact_us.html,*Main Site (ICA at Saint Davids),12990 Saint Davids Rd,,Minnetonka,MN,Hennepin,12990 Saint Davids Rd,Minnetonka,MN,55305-4117,ica@icafoodshelf.org,9529380729,,"Accessible main entrance (zero step approach), Accessible public restroom, Chinese, Family, Free / no cost to eligible clients, Korean, Older adults, People with low income",Food shelf providing food to area residents.,"Resident of Minnetonka, Hopkins, Excelsior, Deephaven, Shorewood, Greenwood, or Woodland.",Call for appointment.  Provide proof of address is needed at pick-up.,,Hennepin,1,55305-4117,,,,-93.444117,44.94093
6,13101098,People Reaching Out to Other People (PROP),Food Shelf,6/25/2001,10/21/2015,Non-Profit,http://propfood.org/get-help/food-program/,*Main Site (People Reaching Out to Other People (PROP)),14700 Martin Dr,,Eden Prairie,MN,Hennepin,14700 Martin Dr,Eden Prairie,MN,55344-2010,prop@propfood.org,9529379120,,"36 inches of clearance for all hallways, Accessible elevator, Accessible main entrance (zero step approach), Accessible public restroom, Designated disability parking, Ramped or beveled door thresholds, Somali, Spanish",Emergency food shelf for residents of Chanhassen and Eden Prairie.  The agency offers a holistic family stability approach to all services to support clients in reaching their highest level of self-sufficiency.,Residents of Eden Prairie and Chanhassen only; needs based,"Walk in during business hours, new clients must arrive 30 minutes before close.  Bring photo id and proof of residence.  Call agency for instructions or visit website at http://www.propfood.org",No fee,"Carver, Hennepin",1,55344-2010,,,,-93.463763,44.86391
7,13100915,NorthPoint Health and Wellness Center,Food Shelf - Supplemental,10/28/2005,4/11/2016,Non-Profit,http://www.northpointhealth.org/community-food-shelf,NorthPoint Human Services Building,1315 Penn Ave N,,Minneapolis,MN,Hennepin,1315 Penn Ave N,Minneapolis,MN,55411-3047,,6127679500,,Free / no cost to eligible clients,Food shelf provides emergency food and household supplies to those in need,"Primarily northside residents of Minneapolis.

The Food Shelf is open:
* 9:00am to 3:00pm, Monday, Tuesday and Thursday
* 11:00am to 6:00pm, Wednesday

Intake / Re-registration hours:
* 9:00am - 2:00pm, Monday, Tuesday and Thursday
* 11:00am - 4:00pm, Wednesday",Register in person at the food shelf.,No fee,Hennepin,2,55411-3047,,,,-93.308304,44.992053
8,13101304,Interfaith Outreach & Community Partners (IOCP),Food Shelf,3/28/2002,10/26/2015,Non-profit,http://iocp.org/programs/food-shelf,*Main Site (Interfaith Outreach & Community Partners (IOCP)),1605 County Road 101 N,,Plymouth,MN,Hennepin,1605 County Road 101 N,Plymouth,MN,55447-2708,lvettel@iocp.org,7634897500,,"Accessible public restroom, Designated disability parking","The food shelf is available to people living in the service area, and offers fresh and perishable items in addition to shelf stable product.
Participants are able to shop for the items they need, based on family size.","Persons who live in Hamel, Long Lake, Medicine Lake, Medina, Minnetonka Beach, Orono, Plymouth, and Wayzata.
First-time food shelf users must meet with a case manager:
Monday, Wednesday, Thursday, or Friday, 9:00am - 5:00pm. Call (763) 489-7500 to schedule an appointment.","Food shelf hours: 3:00pm - 4:30pm, Monday; 3:00pm - 4:30pm, Tuesday; 9:00am - 11:30am and 4:00pm - 7:30pm, Wednesday; 9:00am - 11:30am, Friday
Food donations are accepted 9:00am - 5:00pm, Monday - Friday. Please call (763) 489-7506 to schedule large donations.",No fee,Hennepin,1,55447-2708,,,,-93.502653,44.996597
9,13848,Masjid An-Nur,Food Shelf - Al-Maa'uun,12/19/2014,3/2/2016,Non-profit,http://masjidannur.org,*Main Site (Masjid An-Nur),1729 Lyndale Ave N,,Minneapolis,MN,Hennepin,1729 Lyndale Ave N,Minneapolis,MN,55411-3349,info@masjidannur.org,6125211749,,Arabic,Food Shelf provides food to families and individuals in need.,Anyone who is in need of food is eligible.,"Bring an ID and a piece of mail (for adults) and some form of ID (such as Social Security or Medical card, school paper, etc.) for children. Mail should show current address and be postmarked within the past 30 days. 
A short application needs to be completed on the first visit and at an annual re-certification.",,Hennepin,1,55411-3349,,,,-93.288753,44.997157
10,12571,Grace Lutheran of NE Minneapolis,Food Shelf - Little Kitchen,9/5/2013,2/11/2016,Faith Community,http://gracenempls.org/community-services/little-kitchen-food-shelf/,*Main Site (Grace Lutheran of NE Minneapolis),1500 6th St NE,,Minneapolis,MN,Hennepin,1500 6th St NE,Minneapolis,MN,55413-1319,jennifer@necommunity.net,6127882444,,,"No-boundaries, no-restrictions food shelf serving Northeast Minneapolis and beyond. Dog and cat food are also available.",No ID or proofs required; no restrictions by zip code.,"New clients are required to pre-register. Please call (612) 788-2444 from 9:00am - 11:00am, Monday - Thursday. 

Existing clients can walk in. No appointment necessary.",,"Hennepin, Ramsey",1,55413-1319,,,,-93.259569,45.003756
