OBJECTID_1,Shape,OBJECTID,Loc_name,Score,X,Y,HFID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CD,COUNTYNAME,TELEPHONE,FAX,LIC_TYPE,CAH,DEEMED,SWING,HLTH_SYS,ADMINISTRA,HOSP_BEDS,BASS_BEDS,HOSP18_BED,POINT_X,POINT_Y
1,Point,824,MANUAL, ,479384.6346,4977886.323,242,ABBOTT NORTHWESTERN HOSPITAL,800 EAST 28TH STREET,MINNEAPOLIS,MN,55407,27,HENNEPIN,612-863-4000,612-863-5667,NONPROFIT CORPORATION, ,Provider Has Deemed Status, ,ALLINA HOSP & CLINICS,MR. TOM O'CONNOR,972,44,933,-93.261365,44.954122
14,Point,837,MANUAL, ,479335.3562,4978168.441,741,CHILDRENS HOSP & CLINICS MPLS,2525 CHICAGO AVENUE SOUTH,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-813-6112,612-813-6807,NONPROFIT CORPORATION, ,Provider Has Deemed Status, ,CHILDRENS HOSP & CLINICS OF MN,DR. MARK GORELICK,279,196,279,-93.262001,44.95666
36,Point,859,MANUAL, ,474187.0488,4970370.544,201,FAIRVIEW SOUTHDALE HOSPITAL,6401 FRANCE AVENUE SOUTH,EDINA,MN,55435,27,HENNEPIN,952-924-5100,952-924-5382,NONPROFIT CORPORATION, ,Provider Has Deemed Status, ,FAIRVIEW HEALTH SERVICES,JEOFF WILL,390,45,390,-93.326874,44.886296
46,Point,869,MANUAL, ,479308.6028,4979884.09,211,HENNEPIN COUNTY MEDICAL CTR,701 PARK AVENUE,MINNEAPOLIS,MN,55415,27,HENNEPIN,612-873-3629,612-873-1985,COUNTY, ,Provider Has Deemed Status, ,INDEPENDENT,MR. ANTHONY CAMPISI,894,65,765,-93.262411,44.972104
59,Point,882,MANUAL, ,462172.9858,4997835.416,25593,MAPLE GROVE HOSPITAL,9875 HOSPITAL DRIVE,MAPLE GROVE,MN,55369,27,HENNEPIN,763-581-1000,763-581-1555,NONPROFIT CORPORATION, ,Provider Has Deemed Status, ,NORTH/FAIRVIEW HEALTH SERVICES,ANDY COCHRANE,130,50,130,-93.481067,45.132987
77,Point,900,MANUAL, ,474653.6653,4984533.673,240,NORTH MEMORIAL HEALTH,3300 OAKDALE AVENUE NORTH,ROBBINSDALE,MN,55422,27,HENNEPIN,763-520-5200,763-581-4665,NONPROFIT CORPORATION, ,Provider Has Deemed Status, ,NORTH,MR. JEFF WICKLANDER,518,42,474,-93.321677,45.013807
84,Point,907,MANUAL, ,471434.2896,4975124.601,230,PARK NICOLLET METHODIST HOSP,6500 EXCELSIOR BLVD PO BOX 650,ST LOUIS PARK,MN,55440,27,HENNEPIN,952-993-5000,952-993-5936,NONPROFIT CORPORATION, ,Provider Has Deemed Status, ,HEALTHPARTNERS,JENNIFER MYSTER,426,50,426,-93.361999,44.928987
86,Point,909,MANUAL, ,479153.5341,4978540.459,231,PHILLIPS EYE INSTITUTE,2215 PARK AVENUE SOUTH,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-775-8751,612-775-9601,NONPROFIT CORPORATION, ,Provider Has Deemed Status, ,ALLINA HOSP & CLINICS,DR. DANIEL CONRAD,20,0,20,-93.264322,44.960004
91,Point,914,MANUAL, ,473695.8251,4982148.763,158,REGENCY HOSPITAL OF MPLS LLC,1300 HIDDEN LAKES PARKWAY,GOLDEN VALLEY,MN,55422,27,HENNEPIN,763-302-8301,763-521-3805,LIMITED LIABILITY COMPANY, ,Provider Has Deemed Status, ,REGENCY,SEAN STRICKER,92,0,92,-93.333708,44.992304
111,Point,934,MANUAL, ,483354.8837,4978397.71,256,SHRINERS HOSPITAL FOR CHILDREN,2025 EAST RIVER PARKWAY,MINNEAPOLIS,MN,55414,27,HENNEPIN,612-596-6100,612-339-9634,OTHER NONPROFIT OWNERSHIP, ,Provider Has Deemed Status, ,SHRINERS,MR. CHARLES LOBECK,40,0,0,-93.211048,44.95883
127,Point,950,MANUAL, ,481304.4055,4979342.212,200,UNIVERSITY OF MN MED CTR,2450 RIVERSIDE AVENUE,MINNEAPOLIS,MN,55454,27,HENNEPIN,612-273-6000,612-273-4051,NONPROFIT CORPORATION, ,Provider Has Deemed Status, ,U OF M,MS. ELIZABETH LARSEN,1700,168,1489,-93.237081,44.967281
133,Point,956,MANUAL,100,483755.3893,4972041.615,0,VA MEDICAL CENTER,1 VETERANS DR,FORT SNELLING,MN,55111,0,HENNEPIN,612-725-2000, , , , , ,VA HEALTH CARE SYSTEM,INFORMATION NOT FOUND,0,0,0,-93.205766,44.901622
134,Point,957,MANUAL, ,481747.7779,4979762.39,0,"U OF M MED CNTR, EAST BANK",500 SE HARVARD ST,MINNEAPOLIS,MN,55455,0,HENNEPIN,612-672-7000, ,MS. CAROLYN WILSON, , , , ,SEE HFID200 UNIVERSITY OF MN MED CTR,0,0,0,-93.231474,44.971075
135,Point,958,MANUAL, ,481287.4465,4979247.67,0,UM MASONIC CHILDRENS HOSPITAL,2450 RIVERSIDE AVE,MINNEAPOLIS,MN,55455,0,HENNEPIN,612-365-1000, ,MS. CAROLYN WILSON, , , , ,SEE HFID200 UNIVERSITY OF MN MED CTR,0,0,0,-93.237292,44.96643
