,Neighborhood,Lat,Long
0,WHITTIER,44.94834704,-93.27880784
1,HOLLAND,45.00748237,-93.25621645
2,CEDAR RIVERSIDE,44.97081881,-93.24865948
3,EAST HARRIET,44.93497616,-93.29077991
4,HOWE,44.93235192,-93.2234783
5,HAWTHORNE,44.999140000000004,-93.28799000000001
6,MARCY HOLMES,44.98145779,-93.24143329
7,LORING PARK,44.97232686,-93.28618129
8,EAST PHILLIPS,44.95823569,-93.25239248
9,NICOLLET ISLAND - EAST BANK,44.98901,-93.25709
10,WENONAH,44.89934537,-93.22726809
11,CLEVELAND,45.02318532,-93.31086577
12,HAWTHORNE,45.00257764,-93.28568840000001
13,DOWNTOWN WEST,44.97919274,-93.27160758
14,KEEWAYDIN,44.90717,-93.22847
15,FOLWELL,45.01415685,-93.30824434
16,FULTON,44.91152513,-93.31631134
17,HARRISON,44.97938063,-93.30833359999998
18,WINDOM,44.90371511,-93.27617517
19,HAWTHORNE,45.00204081,-93.29105041
20,DOWNTOWN WEST,44.97802336,-93.29716994
21,DOWNTOWN WEST,44.97503415,-93.27972343
23,HIAWATHA,44.92242842,-93.21796178
24,MARCY HOLMES,44.98076705,-93.23647339
25,LONGFELLOW,44.95108135,-93.2347243
26,VENTURA VILLAGE,44.96269,-93.26765999999999
27,WINDOM PARK,45.00598,-93.23716999999999
28,LOWRY HILL,44.96092341,-93.29628670000001
29,TANGLETOWN,44.91417888,-93.28187353
30,LONGFELLOW,44.94837171,-93.23514707
31,WINDOM PARK,45.00938986,-93.24736666
32,CORCORAN,44.94043197,-93.24608689
33,MARSHALL TERRACE,45.01770235,-93.27013462
34,NEAR - NORTH,44.99083368,-93.29691588
35,KING FIELD,44.92051661,-93.28184132
36,FOLWELL,45.021350299999995,-93.30574005
37,NORTHROP,44.91880286,-93.25367287
38,LOWRY HILL EAST,44.95464369,-93.29568935
39,EAST ISLES,44.94881103,-93.29827927
40,DOWNTOWN EAST,44.97447173,-93.25115192
41,BANCROFT,44.93144119,-93.25997682
42,LYNDALE,44.94133955,-93.28050634
43,JORDAN,45.00176498,-93.30291133
44,WHITTIER,44.95463802,-93.27787759
45,ELLIOT PARK,44.96719291,-93.2563838
46,ERICSSON,44.92418473,-93.23087048
47,SEWARD,44.95646592,-93.23465717
48,DOWNTOWN WEST,44.97449942,-93.27431687
49,POWDERHORN PARK,44.93865277,-93.25875301
50,MCKINLEY,45.01759788,-93.28802850000001
51,WEBBER - CAMDEN,45.024882700000006,-93.29438581
52,DOWNTOWN WEST,44.97697269,-93.26477740000001
55,KING FIELD,44.9332106,-93.27791176
56,ELLIOT PARK,44.97120688,-93.26502641
57,FOLWELL,45.01764448,-93.29432832
58,REGINA,44.9223825,-93.27407514
59,MIDTOWN PHILLIPS,44.951946299999996,-93.25691935
60,PHILLIPS WEST,44.94835251,-93.27094948
61,WEBBER - CAMDEN,45.02489278,-93.29565034
62,CENTRAL,44.944073700000004,-93.27024820000001
63,POWDERHORN PARK,44.94836007,-93.26076768
64,WAITE PARK,45.02771948,-93.22750392
65,HUMBOLDT INDUSTRIAL AREA,45.043949100000006,-93.31496545
66,POWDERHORN PARK,44.94044957,-93.2524401
67,NEAR - NORTH,44.995259999999995,-93.28155
68,MIDTOWN PHILLIPS,44.94883970000001,-93.26267192
69,ARMATAGE,44.90062164,-93.30610978
70,CORCORAN,44.94837153,-93.24132009999998
71,EAST ISLES,44.95286437,-93.29798519
72,EAST ISLES,44.949259999999995,-93.30335
73,CARAG,44.94748264,-93.29065491
74,POWDERHORN PARK,44.94836708,-93.25314102
76,HALE,44.90617005,-93.25500968
77,NICOLLET ISLAND - EAST BANK,44.98950031,-93.25919616
78,NORTHROP,44.91970751,-93.25940859
79,VENTURA VILLAGE,44.96137613,-93.25233114
80,DOWNTOWN WEST,44.97563254,-93.27237593
81,EAST ISLES,44.94836492,-93.30019407
82,LONGFELLOW,44.94835432,-93.21719286
83,DOWNTOWN WEST,44.97642176,-93.26802708
84,PHILLIPS WEST,44.94921395,-93.26775104
85,WEST CALHOUN,44.945,-93.32337
86,VICTORY,45.03544978,-93.3069338
87,WILLARD - HAY,45.00693481,-93.31588152
88,DOWNTOWN WEST,44.98064465,-93.26722521
89,PHILLIPS WEST,44.94835234,-93.26585648
90,CORCORAN,44.94213183,-93.24229748
91,CARAG,44.9474742,-93.29829195
92,LOGAN PARK,45.00691463,-93.24825083
93,CLEVELAND,45.02409,-93.30960999999999
94,COMO,44.98782952,-93.22757323
95,SUMNER - GLENWOOD,44.98277153,-93.28953753
96,MIDTOWN PHILLIPS,44.94836,-93.25505
97,HAWTHORNE,44.99914804,-93.29181556
98,HAWTHORNE,45.00024507,-93.29182119
99,ST. ANTHONY EAST,44.99769744,-93.24988828
100,CEDAR RIVERSIDE,44.97338016,-93.24679042
102,WILLARD - HAY,44.99787774,-93.31077222
104,DOWNTOWN WEST,44.97486982,-93.27210446
105,WEBBER - CAMDEN,45.033359999999995,-93.30088
106,CENTRAL,44.94750939,-93.2677515
107,POWDERHORN PARK,44.938633200000005,-93.247363
108,DOWNTOWN WEST,44.97839171,-93.27422196
109,NEAR - NORTH,44.98698727,-93.30448964
110,EAST PHILLIPS,44.957217299999996,-93.24485196
111,DOWNTOWN WEST,44.97506308,-93.2710171
112,NICOLLET ISLAND - EAST BANK,44.986979999999996,-93.25928
113,BRYANT,44.93055,-93.26375999999999
114,HOLLAND,45.01054087,-93.26036186
115,COMO,44.98880949,-93.22027632
116,EAST PHILLIPS,44.95464322,-93.24863371
117,FOLWELL,45.02125007,-93.29308047
118,NORTHROP,44.92603707,-93.25999234
119,COMO,44.98886834,-93.21517983
120,WHITTIER,44.95462911,-93.2740634
121,WILLARD - HAY,44.99609612,-93.31590448
122,CEDAR - ISLES - DEAN,44.94841574,-93.32280644
123,VICTORY,45.02499943,-93.31218091
124,DOWNTOWN WEST,44.97641969,-93.27268029
125,VENTURA VILLAGE,44.96003386,-93.24984928
126,CLEVELAND,45.01775998,-93.31207814
127,NORTH LOOP,44.97915602,-93.28539129
128,CORCORAN,44.94565027,-93.24486273
129,DOWNTOWN WEST,44.97728,-93.27006999999999
130,PROSPECT PARK - EAST RIVER ROAD,44.96815725,-93.20813866
131,NEAR - NORTH,44.98539175,-93.30449701
132,COMO,44.9887226,-93.23076279
133,FOLWELL,45.01948583,-93.2980998
134,TANGLETOWN,44.91873473,-93.27795772
135,DOWNTOWN WEST,44.97622405,-93.26910895
136,VICTORY,45.03607398,-93.30912678
137,WINDOM,44.8949328,-93.27810550000001
139,NEAR - NORTH,44.99913516,-93.28682309
140,LYNDALE,44.93863463,-93.27791409999999
141,HAWTHORNE,45.01268765,-93.2930646
143,CEDAR RIVERSIDE,44.96589283,-93.23708765
144,DOWNTOWN WEST,44.97592,-93.27306
145,LORING PARK,44.96976154,-93.27499862
147,LINDEN HILLS,44.92062434,-93.32400351
148,PHILLIPS WEST,44.95284398,-93.26389283
149,WEST CALHOUN,44.94671265,-93.32160390000001
150,SEWARD,44.96274963,-93.2404603
151,WINDOM PARK,45.00741388,-93.24736822
152,MCKINLEY,45.02303274,-93.2893173
153,DOWNTOWN WEST,44.97643,-93.27696999999999
154,LOWRY HILL EAST,44.96180795,-93.28800649
155,HAWTHORNE,44.99913207,-93.28461789
156,DOWNTOWN WEST,44.97758226,-93.27534729999999
157,PHILLIPS WEST,44.9510054,-93.26772767
158,EAST HARRIET,44.93497506,-93.28823392
159,EAST PHILLIPS,44.95645994,-93.24596583
160,CEDAR RIVERSIDE,44.97037639,-93.24762249999999
161,ELLIOT PARK,44.97100922,-93.26611743
162,HAWTHORNE,45.00424173,-93.28646183
163,VENTURA VILLAGE,44.96454128,-93.25818703
164,MINNEHAHA,44.90810877,-93.20884123
165,ELLIOT PARK,44.96628,-93.26255
166,HAWTHORNE,45.00424728,-93.28951892
167,CLEVELAND,45.01956023,-93.30826503
168,DOWNTOWN WEST,44.97798,-93.2748
169,SEWARD,44.96305499,-93.2447022
171,DOWNTOWN WEST,44.97998625,-93.27428374
172,SHERIDAN,45.00143997,-93.26614724
173,HOLLAND,45.009879999999995,-93.25092
174,FOLWELL,45.01771707,-93.30318124
175,NEAR - NORTH,44.99580871,-93.28156575
176,PHILLIPS WEST,44.96002508,-93.26766069
177,JORDAN,45.00205892,-93.29563817
179,HAWTHORNE,44.99913768,-93.28875577
180,DOWNTOWN WEST,44.97699419,-93.26938734
181,VENTURA VILLAGE,44.96183,-93.25352
184,ELLIOT PARK,44.96799,-93.26106
186,BANCROFT,44.92958524,-93.25239079
187,WHITTIER,44.96091,-93.27783000000001
188,WEBBER - CAMDEN,45.03604976,-93.30282172
189,ECCO,44.94565921,-93.30212887
190,EAST HARRIET,44.93316285,-93.28824772
191,HOLLAND,45.01217266,-93.24823633
192,MCKINLEY,45.02211623,-93.28728740000001
193,POWDERHORN PARK,44.94135,-93.25245
195,MIDTOWN PHILLIPS,44.94836007,-93.26076768
196,PROSPECT PARK - EAST RIVER ROAD,44.97280959,-93.21658156
198,DOWNTOWN WEST,44.98045,-93.27134000000001
199,LIND - BOHANON,45.03672,-93.28883
200,AUDUBON PARK,45.02132912,-93.23967166
201,DOWNTOWN WEST,44.97996756,-93.27316614
202,DOWNTOWN WEST,44.98080828,-93.27314066
203,LONGFELLOW,44.94837563,-93.23238466
205,WILLARD - HAY,44.99241664,-93.3095045
