h.HospitalId,h.Hospital_Name,t.TractId,t.TractName,t.TractNameNumber
950,UNIVERSITY OF MN MED CTR,27053104800,1048.0,Census Tract 1048
956,VA MEDICAL CENTER,27053980000,9800.0,Census Tract 9800
957,"U OF M MED CNTR, EAST BANK",27053104900,1049.0,Census Tract 1049
958,UM MASONIC CHILDRENS HOSPITAL,27053104800,1048.0,Census Tract 1048
824,ABBOTT NORTHWESTERN HOSPITAL,27053125800,1258.0,Census Tract 1258
837,CHILDRENS HOSP & CLINICS MPLS,27053125800,1258.0,Census Tract 1258
859,FAIRVIEW SOUTHDALE HOSPITAL,27053024005,240.05,Census Tract 240.05
869,HENNEPIN COUNTY MEDICAL CTR,27053105400,1054.0,Census Tract 1054
882,MAPLE GROVE HOSPITAL,27053026708,267.08,Census Tract 267.08
900,NORTH MEMORIAL HEALTH,27053021400,214.0,Census Tract 214
907,PARK NICOLLET METHODIST HOSP,27053023000,230.0,Census Tract 230
909,PHILLIPS EYE INSTITUTE,27053126000,1260.0,Census Tract 1260
914,REGENCY HOSPITAL OF MPLS LLC,27053021700,217.0,Census Tract 217
934,SHRINERS HOSPITAL FOR CHILDREN,27053125600,1256.0,Census Tract 1256
