s.ShelterId,s.Shelter_Name,t.TractId,t.TractName,t.TractNameNumber
1,People Serving People,27053126100,1261.0,Census Tract 1261
2,Simpson Emergency Shelter,27053007801,78.01,Census Tract 78.01
3,St. Anne's Place,27053101300,1013.0,Census Tract 1013
4,Mary's Place,27053126200,1262.0,Census Tract 1262
5,St. Stephen's Emergency Shelter,27053106900,1069.0,Census Tract 1069
6,Salvation Army - Harbor Light,27053104400,1044.0,Census Tract 1044
7,Our Savior's Shelter,27053005902,59.02,Census Tract 59.02
8,Avenues for Homeless Youth,27053026818,268.18,Census Tract 268.18
9,Families Moving Forward,27053102900,1029.0,Census Tract 1029
10,Hope Street Shelter,27053011000,110.0,Census Tract 110
11,Exodus Residence - Catholic Charities,27053104400,1044.0,Census Tract 1044
12,The Bridge for Youth Minneapolis,27053106600,1066.0,Census Tract 1066
13,Avenues for Homeless Youth,27053003300,33.0,Census Tract 33
14,St. Joseph's Home for Children,27053011000,110.0,Census Tract 110
15,Catholic Charities Higher Ground,27053126200,1262.0,Census Tract 1262
16,House of Charity,27053105400,1054.0,Census Tract 1054
17,First Covenant Church Salvation Army,27053105400,1054.0,Census Tract 1054
19,Evergreen Residence,27053126200,1262.0,Census Tract 1262
20,Glenwood Residence,27053126200,1262.0,Census Tract 1262
