distrctId,edu_pop_total,edu_pop_5_17,edu_num_household_in_poverty
d2703180,"241,661","44,163","2,840"
d2705790,"90,483","12,493","1,222"
d2706240,"9,735","1,661",345
d2707200,"34,770","7,240",312
d2710170,"11,868","2,601",72
d2708190,"58,504","11,910",386
d2714220,"62,957","12,044",797
d2711250,"43,211","8,719",228
d2711370,"72,281","14,916",541
d2714260,"67,621","9,218",725
d2721240,"418,129","53,501","11,016"
d2711670,"44,239","9,022",216
d2725080,"12,965","2,795",94
d2725200,"147,658","27,347","2,332"
d2731750,"43,507","5,320",619
d2731780,"108,279","16,069","1,848"
d2732070,"10,414","2,075",94
d2733420,"10,707","1,288",93
d2733780,"47,661","5,612",466
d2741060,"5,263",745,70
d2741910,"10,729","1,968",90
d2742160,"64,404","12,526",446
d2722920,"19,520","3,210",120
