districtId,name
d2721240,t3000101
d2721240,t3000102
d2721240,t3000300
d2721240,t3000601
d2721240,t3000603
d2721240,t3001100
d2721240,t3001700
d2721240,t3002200
d2721240,t3002400
d2721240,t3002700
d2721240,t3003200
d2721240,t3003300
d2721240,t3003800
d2721240,t3005901
d2721240,t3005902
d2721240,t3006800
d2721240,t3007700
d2721240,t3007801
d2721240,t3008100
d2721240,t3008200
d2721240,t3008300
d2721240,t3008400
d2721240,t3008500
d2721240,t3009500
d2721240,t3009600
d2721240,t3010600
d2721240,t3010700
d2721240,t3011000
d2721240,t3011703
d2721240,t3011704
d2721240,t3011800
d2721240,t3011998
d2721240,t3012001
d2721240,t3012003
d2721240,t3012101
d2721240,t3012102
d2733420,t3020101
d2721240,t3020102
d2733420,t3020102
d2703180,t3020200
d2706240,t3020200
d2703180,t3020301
d2706240,t3020301
d2725200,t3020301
d2725200,t3020302
d2725200,t3020303
d2706240,t3020304
d2725200,t3020304
d2731780,t3020304
d2731780,t3020400
d2706240,t3020500
d2706240,t3020600
d2731780,t3020700
d2731780,t3020801
d2731780,t3020804
d2731780,t3020902
d2731780,t3020903
d2731780,t3021001
d2731780,t3021002
d2731780,t3021100
d2721240,t3021200
d2731780,t3021200
d2731780,t3021300
d2721240,t3021400
d2731780,t3021400
d2731780,t3021501
d2731780,t3021502
d2731780,t3021503
d2731780,t3021504
d2731780,t3021505
d2714260,t3021601
d2731780,t3021601
d2731780,t3021602
d2714260,t3021700
d2731780,t3021700
d2714260,t3021800
d2714260,t3021900
d2733780,t3021900
d2733780,t3022000
d2733780,t3022101
d2733780,t3022102
d2714260,t3022200
d2733780,t3022200
d2733780,t3022301
d2714260,t3022302
d2733780,t3022302
d2733780,t3022400
d2733780,t3022700
d2733780,t3022801
d2733780,t3022802
d2733780,t3022901
d2733780,t3022902
d2714260,t3023000
d2733780,t3023000
d2711250,t3023100
d2733780,t3023100
d2714260,t3023200
d2733780,t3023200
d2714260,t3023300
d2714260,t3023400
d2711250,t3023501
d2714260,t3023501
d2733780,t3023501
d2711250,t3023502
d2714260,t3023502
d2711250,t3023600
d2711250,t3023700
d2711250,t3023801
d2711250,t3023802
d2731750,t3023802
d2711250,t3023901
d2711250,t3023902
d2714220,t3023902
d2711250,t3023903
d2714220,t3023903
d2711250,t3024003
d2711250,t3024004
d2731750,t3024004
d2711250,t3024005
d2731750,t3024005
d2711250,t3024006
d2731750,t3024006
d2731750,t3024100
d2731750,t3024200
d2731750,t3024300
d2731750,t3024400
d2731750,t3024500
d2731750,t3024600
d2731750,t3024700
d2731750,t3024801
d2705790,t3024802
d2731750,t3024802
d2731750,t3024901
d2731750,t3024902
d2705790,t3024903
d2731750,t3024903
d2705790,t3025100
d2705790,t3025201
d2705790,t3025205
d2705790,t3025301
d2705790,t3025302
d2705790,t3025401
d2705790,t3025403
d2705790,t3025601
d2705790,t3025603
d2705790,t3025605
d2705790,t3025701
d2705790,t3025702
d2705790,t3025801
d2705790,t3025802
d2705790,t3025803
d2705790,t3025805
d2705790,t3025903
d2711250,t3025903
d2705790,t3025905
d2711250,t3025905
d2714220,t3025905
d2705790,t3025906
d2705790,t3025907
d2714220,t3026005
d2714260,t3026005
d2714220,t3026006
d2714220,t3026007
d2714260,t3026007
d2711670,t3026013
d2714220,t3026013
d2714260,t3026013
d2708190,t3026014
d2711670,t3026014
d2714220,t3026014
d2714220,t3026015
d2714220,t3026016
d2714220,t3026018
d2714220,t3026019
d2714220,t3026020
d2714220,t3026021
d2714220,t3026022
d2714260,t3026101
d2714260,t3026103
d2714260,t3026104
d2711670,t3026201
d2711670,t3026202
d2714260,t3026202
d2711670,t3026205
d2714260,t3026205
d2714260,t3026206
d2711670,t3026207
d2711670,t3026208
d2714260,t3026208
d2714260,t3026301
d2742160,t3026301
d2711670,t3026302
d2714260,t3026302
d2742160,t3026302
d2714260,t3026402
d2733780,t3026402
d2714260,t3026403
d2742160,t3026403
d2714260,t3026404
d2742160,t3026404
d2731780,t3026505
d2742160,t3026505
d2714260,t3026507
d2742160,t3026507
d2725200,t3026508
d2731780,t3026508
d2725200,t3026509
d2731780,t3026509
d2725200,t3026510
d2731780,t3026510
d2731780,t3026511
d2714260,t3026512
d2731780,t3026512
d2742160,t3026512
d2731780,t3026514
d2742160,t3026514
d2742160,t3026605
d2742160,t3026606
d2742160,t3026609
d2742160,t3026610
d2742160,t3026611
d2725200,t3026612
d2731780,t3026612
d2742160,t3026612
d2742160,t3026613
d2725200,t3026702
d2725200,t3026706
d2703180,t3026707
d2725200,t3026707
d2725200,t3026708
d2725200,t3026710
d2725200,t3026711
d2725200,t3026712
d2725200,t3026713
d2725200,t3026714
d2725200,t3026715
d2732070,t3026715
d2742160,t3026715
d2725200,t3026716
d2725200,t3026807
