name,total_pop,median_age,male_perc,female_perc,white_perc,black_perc,asian_perc,other_perc,employed_perc,unemployed_perc,income_below_poverty_perc,income_median,income_mean,k_12_perc,college_undergrad_perc,total_pop_above_25_w_bach_degree_perc,stem_degree_perc,stem_related_degree_perc,business_degree_perc,education_degree_perc,humanities_degree_perc,healthInsured_perc,households_on_SNAP_perc,mean_travel_work,occupied_housing_units,owned_housing_units,rented_housing_units
t3000101,3198,35,48,52,45,29,16,2,65,4,14,58240,71423,59,19,536,30,13,13,18,26,92,20,27,1065,886,179
t3000102,5453,33,50,50,43,28,13,1,59,6,27,43021,53267,72,19,553,35,10,17,12,27,88,23,23,1821,1163,658
t3000300,3307,38,51,50,72,13,6,2,73,3,12,71389,80228,69,19,965,24,9,17,9,40,96,5,25,1362,1127,235
t3000601,4929,36,47,53,81,9,3,0,74,3,12,72904,74905,46,20,1527,28,9,12,8,44,97,11,26,2043,1633,410
t3000603,2845,37,54,46,91,1,1,3,78,0,7,76818,93106,52,21,1072,39,7,19,10,26,97,1,24,1236,1094,142
t3001100,2101,33,51,49,74,10,1,7,77,3,17,65167,74052,62,26,644,41,2,19,8,30,98,6,24,902,505,397
t3001700,2230,30,52,48,61,25,1,8,72,4,21,45819,64834,54,27,612,44,8,10,6,33,93,23,22,955,456,499
t3002200,1515,23,38,62,20,39,25,9,53,9,46,43542,47192,79,12,60,33,7,43,12,5,84,48,27,387,124,263
t3002400,2401,32,54,46,75,18,2,1,80,2,22,48304,77729,35,38,718,39,4,6,13,38,90,11,20,1230,325,905
t3002700,2885,30,53,47,25,49,14,1,66,5,31,43250,53306,66,16,409,40,6,10,11,33,89,34,26,892,558,334
t3003200,1854,31,50,50,31,59,3,1,74,2,10,66319,73326,79,17,396,21,15,34,5,25,89,28,23,595,383,212
t3003300,2620,23,50,50,10,58,20,5,65,7,36,28000,45723,79,17,195,36,11,22,3,28,92,54,29,676,263,413
t3003800,5960,23,53,47,76,2,12,2,77,5,46,35000,47616,1,74,1325,43,12,10,10,27,91,4,22,2251,131,2120
t3005901,2953,48,53,47,56,36,3,3,40,5,43,16918,30142,39,46,522,30,5,15,14,37,95,45,22,1611,40,1571
t3005902,3368,28,54,46,32,46,0,10,62,8,50,22731,29700,73,14,293,53,3,11,4,29,83,36,24,1024,87,937
t3006800,3879,29,52,49,71,20,3,4,86,6,25,33152,50224,22,45,1331,42,6,6,4,42,90,16,21,2328,188,2140
t3007700,4307,28,54,46,64,25,5,2,86,1,8,54921,71816,41,22,1645,36,3,25,2,34,91,10,21,2372,172,2200
t3007801,1924,26,52,48,36,43,2,15,71,4,39,30821,40253,73,21,183,58,3,0,0,39,81,31,26,665,89,576
t3008100,3356,30,51,49,87,4,5,0,84,4,8,58471,74501,21,34,1588,42,2,17,3,36,98,5,23,1816,542,1274
t3008200,4118,34,48,52,55,28,3,8,69,4,25,28520,47124,73,20,997,47,1,13,1,38,83,30,28,1957,347,1610
t3008300,2027,27,57,43,33,30,1,28,67,5,27,51964,66286,62,20,276,40,4,6,11,39,88,21,21,601,224,377
t3008400,2962,31,54,46,41,29,2,24,72,5,20,51375,71262,75,16,460,32,13,16,5,33,77,18,25,784,369,415
t3008500,5126,28,50,51,45,21,1,30,75,6,25,47549,62425,77,16,997,22,9,7,14,48,79,19,24,1551,545,1006
t3009500,3028,33,54,46,48,22,1,22,69,9,23,63690,70821,57,23,736,28,6,17,10,39,85,11,23,1048,641,407
t3009600,3763,33,53,48,73,16,3,2,73,5,9,67778,78965,63,14,1301,35,8,12,8,37,94,18,23,1388,955,433
t3010600,2914,43,52,49,93,2,2,0,74,2,2,123472,199178,72,13,1602,40,8,13,8,32,99,2,23,1155,895,260
t3010700,2545,40,46,54,88,2,2,1,75,4,5,121583,184035,75,3,1220,36,6,15,8,36,97,1,25,950,745,205
t3011000,3742,37,50,50,77,9,1,2,73,2,3,77759,94388,63,12,1668,35,5,16,10,33,91,4,26,1490,1234,256
t3011703,4286,40,45,55,89,1,1,0,76,1,2,117237,134233,64,13,2151,37,4,18,11,32,98,2,22,1664,1557,107
t3011704,3219,40,48,52,89,5,1,1,80,1,2,104934,122201,75,12,1409,32,14,15,8,32,98,0,24,1247,1147,100
t3011800,4893,36,48,52,90,3,1,1,76,0,3,89554,103161,66,16,2268,30,6,13,6,45,97,6,23,2062,1896,166
t3011998,4123,41,47,53,81,10,2,0,69,5,6,64028,76639,56,20,1503,45,6,10,7,33,97,8,24,1947,1488,459
t3012001,5904,38,51,49,84,3,7,4,76,5,7,90179,105083,67,18,2437,35,8,14,8,37,96,2,24,2399,2034,365
t3012003,5759,33,51,49,61,19,4,9,67,1,18,59898,82237,73,17,1507,25,6,12,11,46,94,19,20,2078,1246,832
t3012101,3037,33,52,48,65,12,2,10,80,2,19,54792,66000,68,24,853,36,8,16,6,35,92,9,23,1313,706,607
t3012102,2805,39,48,52,78,9,3,3,75,2,4,74653,81051,64,25,961,38,9,14,5,34,95,7,25,1334,998,336
t3020101,3373,42,52,48,81,3,3,0,69,1,4,100368,113028,71,11,1161,42,11,19,7,22,99,2,20,1220,1134,86
t3020102,2236,44,47,53,96,0,2,0,65,2,2,66635,83324,51,15,791,47,9,9,12,23,97,2,19,1040,725,315
t3020200,7645,29,47,53,36,40,11,10,75,2,18,39267,53756,71,20,1017,36,16,20,11,17,90,26,24,2619,1068,1551
t3020301,2573,32,52,49,46,30,17,3,73,3,10,58750,76337,69,20,283,26,15,26,9,25,91,11,28,850,685,165
t3020302,2517,32,44,56,37,41,18,1,64,6,15,50000,56773,70,22,323,38,15,14,10,24,94,15,23,911,584,327
t3020303,3420,34,51,49,46,17,30,5,66,5,10,58750,73545,71,26,344,48,2,15,7,28,95,14,22,1080,879,201
t3020304,3881,31,46,54,36,18,28,12,71,3,17,48600,62456,79,14,517,39,7,18,13,23,82,20,27,1152,733,419
t3020400,5131,34,47,53,50,26,13,9,66,7,21,51473,62212,71,23,804,27,8,18,21,26,92,20,24,1871,963,908
t3020500,3605,35,51,49,64,16,15,2,65,5,17,59963,76171,68,16,495,19,27,20,7,28,86,15,22,1210,965,245
t3020600,2127,36,48,53,56,18,20,1,61,4,28,50366,72725,76,16,251,26,16,30,12,16,96,14,24,773,545,228
t3020700,4226,39,52,48,81,10,3,3,69,5,10,68199,80569,58,28,815,36,10,18,13,23,96,10,24,1710,1390,320
t3020801,1987,38,53,47,67,24,4,3,66,2,18,54880,67155,77,14,320,30,8,27,8,28,95,6,26,844,615,229
t3020804,3176,40,49,52,69,26,2,1,71,3,4,55712,64980,64,26,564,39,17,6,12,27,89,13,22,1279,772,507
t3020902,2243,37,51,49,92,1,4,0,73,2,8,81136,82110,80,16,664,30,10,14,17,28,96,2,24,883,789,94
t3020903,2973,40,49,51,83,1,8,5,68,1,4,72978,79608,70,20,857,32,2,33,17,17,96,5,23,1257,1130,127
t3021001,6211,36,50,50,74,21,2,0,72,4,5,63232,70928,64,29,1527,24,8,21,25,22,96,2,22,2444,1743,701
t3021002,1959,39,46,54,75,20,0,0,68,2,7,60494,76243,77,13,458,26,6,29,16,24,96,10,20,878,446,432
t3021100,1954,36,47,53,80,15,3,0,72,5,9,62206,67833,73,13,445,30,12,14,15,29,97,17,23,842,642,200
t3021200,4547,38,48,53,82,6,4,2,70,1,7,80967,89904,71,16,1584,33,6,15,15,31,98,5,24,1852,1495,357
t3021300,4648,37,49,51,71,16,2,7,60,4,10,36985,53832,66,26,927,26,10,20,7,37,92,14,23,2397,1163,1234
t3021400,3317,34,52,48,72,13,3,0,76,4,16,75694,83342,70,17,889,39,2,23,3,33,98,10,24,1270,947,323
t3021501,4270,44,44,56,72,16,3,4,51,3,7,47292,67444,64,23,854,27,13,23,14,23,94,9,23,1632,883,749
t3021502,3844,36,44,56,53,35,2,5,58,4,20,33939,58304,76,14,502,32,8,27,12,22,90,17,27,1512,426,1086
t3021503,5045,36,48,53,69,25,2,0,66,1,13,51667,66375,69,20,1136,25,15,23,16,22,97,14,24,2002,1134,868
t3021504,3524,39,49,51,78,10,6,3,71,2,7,61641,84717,73,14,995,35,9,19,14,24,96,11,21,1400,1062,338
t3021505,4398,37,49,51,71,16,4,0,70,4,7,74228,90029,63,22,1407,37,7,22,12,22,96,4,20,1830,1077,753
t3021601,4388,43,46,54,79,12,5,1,73,2,3,92663,109420,60,16,1900,31,8,22,10,28,98,4,24,1912,1554,358
t3021602,5951,42,45,55,85,9,1,0,56,3,15,64018,89562,82,10,2261,30,6,16,11,37,94,9,23,2578,1492,1086
t3021700,5252,51,46,54,90,2,4,1,64,1,10,91875,127636,70,12,2420,32,5,21,11,31,98,2,23,2209,2040,169
t3021800,2315,49,47,53,89,3,4,0,63,1,3,101146,156300,65,5,1295,40,6,24,7,23,100,0,21,1048,733,315
t3021900,3458,47,49,51,88,3,5,0,68,2,4,91250,121979,62,24,1498,33,11,17,13,27,97,2,21,1530,1150,380
t3022000,1778,34,46,54,90,1,4,0,86,2,3,75000,92448,41,23,943,36,5,21,5,34,99,1,21,1078,603,475
t3022101,2706,34,53,47,70,13,8,6,80,4,6,87565,88390,63,19,1158,36,5,25,10,24,98,7,23,1250,688,562
t3022102,2799,36,42,58,81,14,3,0,69,1,11,62566,78964,77,16,1130,36,4,20,14,27,98,11,23,1348,815,533
t3022200,4594,37,51,49,90,4,3,1,76,3,3,68309,91902,41,39,1832,32,12,27,7,22,97,6,22,2247,1424,823
t3022301,2405,50,50,50,87,7,1,0,57,1,5,72321,81912,66,15,956,33,6,19,16,27,99,8,22,1067,722,345
t3022302,3253,37,46,54,79,14,3,1,68,2,12,47846,71396,60,25,802,25,7,24,21,23,90,10,29,1408,641,767
t3022400,3808,36,50,50,77,14,5,2,73,5,17,69707,80399,73,12,1349,29,10,21,9,30,98,12,20,1672,1213,459
t3022700,4411,34,51,49,73,15,2,6,80,2,4,71250,85219,69,11,1793,36,10,18,10,26,91,2,22,1962,1067,895
t3022801,2102,45,49,51,90,0,4,0,69,3,3,124946,166052,68,10,1091,45,7,13,7,28,100,1,24,799,769,30
t3022802,3453,32,43,57,86,4,5,5,75,1,11,52368,79324,43,35,1742,50,7,14,2,27,95,10,22,1932,449,1483
t3022901,4982,38,48,52,88,4,5,2,73,3,9,75233,100798,63,16,2596,37,4,24,7,29,97,2,20,2726,1010,1716
t3022902,1644,42,51,49,94,1,0,1,74,2,3,108173,147078,79,10,847,37,6,23,7,27,98,1,24,658,610,48
t3023000,4718,32,52,48,75,15,7,1,78,3,8,70130,77138,47,28,1828,32,1,18,8,41,99,5,21,2418,982,1436
t3023100,1888,41,50,50,90,0,6,1,72,3,5,151080,216645,83,0,949,38,8,20,10,24,98,0,23,630,595,35
t3023200,6153,31,49,51,54,18,21,5,75,2,10,60341,77616,61,29,2405,54,13,10,4,19,98,8,23,2835,548,2287
t3023300,5884,35,51,49,76,19,2,0,76,2,6,53113,64454,66,23,1554,40,10,22,7,21,95,15,21,2760,1078,1682
t3023400,6263,34,49,51,59,26,3,7,61,6,17,49569,69532,74,18,1341,38,3,12,10,38,91,13,18,2824,1239,1585
t3023501,3865,44,49,51,92,1,4,0,63,2,5,71522,127210,71,11,1693,31,9,24,12,25,99,3,21,1794,1095,699
t3023502,5670,47,47,53,95,1,2,0,65,1,5,110185,180944,70,9,3169,36,9,20,12,23,98,1,21,2512,2036,476
t3023600,3796,45,49,51,95,0,3,0,64,2,2,235556,359057,81,6,2154,44,5,22,7,21,99,0,20,1337,1232,105
t3023700,4952,45,47,53,91,1,5,0,64,2,2,111167,171024,85,2,2321,36,8,21,8,27,100,0,22,1887,1724,163
t3023801,5407,39,51,49,93,2,3,0,67,2,5,128542,180251,74,10,2460,36,7,22,11,23,99,2,18,1942,1670,272
t3023802,2818,36,45,56,80,3,10,4,71,3,7,89013,125052,74,12,1288,31,10,22,11,25,97,3,22,1079,861,218
t3023901,3660,44,50,50,96,0,3,0,68,2,2,125229,145642,75,10,1732,35,7,20,13,26,99,2,22,1289,1216,73
t3023902,2087,46,51,49,84,8,5,0,55,3,3,186042,262915,80,11,1153,32,11,24,9,24,100,1,22,675,648,27
t3023903,3249,54,49,51,81,5,8,0,50,3,5,101306,164724,73,10,1850,34,10,21,16,20,99,2,20,1522,1255,267
t3024003,5134,37,46,54,62,1,27,8,66,4,6,90441,127776,70,12,2590,49,6,11,10,25,92,4,20,2125,971,1154
t3024004,4231,60,43,57,73,8,14,4,44,2,13,46937,63819,53,17,1958,38,10,13,15,24,95,4,24,2605,1131,1474
