DistrictId,District Name,ACT Dist Code,Grad Year,Student_pop,Avg Eng,Avg Math,Avg Reading,Avg Sci,Avg Comp,CRB % Eng,CRB % Math,CRB % Reading,CRB % Sci,CRB % All Four,label
d2703180,ANOKA-HENNEPIN IND SCH DIST 11,247008,2019,2854,19,20.6,20.7,21,20.5,54,40,43,37,23,district
d2703180,ANOKA-HENNEPIN IND SCH DIST 11,247008,2018,2767,19,20.5,20.8,20.9,20.4,55,39,42,38,24,district
d2703180,ANOKA-HENNEPIN IND SCH DIST 11,247008,2017,2802,19.3,20.7,21.3,21.4,20.8,57,42,46,40,27,district
d2703180,ANOKA-HENNEPIN IND SCH DIST 11,247008,2016,2758,19.3,20.6,21.1,21.2,20.7,58,41,42,38,25,district
d2703180,ANOKA-HENNEPIN IND SCH DIST 11,247008,2015,2010,21.1,22.4,22.8,22.7,22.4,72,56,57,50,36,district
d2705790,BLOOMINGTON PUB SCH DIST 271,247280,2019,746,20.1,21.8,21.7,21.4,21.4,60,48,48,43,32,district
d2705790,BLOOMINGTON PUB SCH DIST 271,247280,2018,736,20.4,21.7,22,21.4,21.5,61,48,50,45,32,district
d2705790,BLOOMINGTON PUB SCH DIST 271,247280,2017,780,20.8,22.4,22.5,22.2,22.1,67,54,55,45,36,district
d2705790,BLOOMINGTON PUB SCH DIST 271,247280,2016,702,20.2,21.9,21.7,21.6,21.5,63,52,46,40,30,district
d2705790,BLOOMINGTON PUB SCH DIST 271,247280,2015,723,20.6,22.5,22.1,22.2,22,68,56,51,51,36,district
d2706240,BROOKLYN CENTER IND SD 286,247282,2019,145,14.2,16,16.1,16.7,15.9,19,10,14,10,4,district
d2706240,BROOKLYN CENTER IND SD 286,247282,2018,137,15.1,17,16.9,17.1,16.7,26,15,16,12,9,district
d2706240,BROOKLYN CENTER IND SD 286,247282,2017,113,15.5,17.3,17.4,18.1,17.2,29,17,19,13,8,district
d2706240,BROOKLYN CENTER IND SD 286,247282,2016,129,14.1,16.9,17.4,17.2,16.6,23,14,23,13,8,district
d2706240,BROOKLYN CENTER IND SD 286,247282,2015,69,15.7,18.3,18,18.5,17.7,29,22,25,23,16,district
d2707200,BUFFALO HANOVER MONTROSE SD,247908,2019,428,20.7,22.2,22.4,22.3,22,64,55,50,46,31,district
d2707200,BUFFALO HANOVER MONTROSE SD,247908,2018,395,19.6,21.6,21.6,21.5,21.2,60,51,50,45,30,district
d2707200,BUFFALO HANOVER MONTROSE SD,247908,2017,438,19.4,21.6,21.3,21.6,21.1,59,50,45,42,27,district
d2707200,BUFFALO HANOVER MONTROSE SD,247908,2016,395,19.8,21.5,21.3,21.9,21.2,63,46,44,42,27,district
d2707200,BUFFALO HANOVER MONTROSE SD,247908,2015,277,21.8,23.5,23.6,23.6,23.3,78,66,60,64,43,district
d2710170,DELANO IND SCHOOL DISTRICT 879,247910,2019,142,21.7,24.6,23.9,23.5,23.6,78,70,67,56,42,district
d2710170,DELANO IND SCHOOL DISTRICT 879,247910,2018,187,21.1,23.2,22.6,22.8,22.6,73,62,56,52,41,district
d2710170,DELANO IND SCHOOL DISTRICT 879,247910,2017,191,22,24.4,23.2,23.9,23.5,80,71,61,59,43,district
d2710170,DELANO IND SCHOOL DISTRICT 879,247910,2016,157,21.5,23,22.5,23.1,22.7,69,58,50,54,37,district
d2710170,DELANO IND SCHOOL DISTRICT 879,247910,2015,159,22.3,24.4,24.1,23.9,23.9,82,70,64,58,43,district
d2708190,EASTERN CARVER CO SCHOOLS,247092,2019,789,22,22.6,22.6,22.7,22.6,74,59,56,52,39,district
d2708190,EASTERN CARVER CO SCHOOLS,247092,2018,762,22.2,22.6,23.3,22.9,22.9,75,58,57,54,40,district
d2708190,EASTERN CARVER CO SCHOOLS,247092,2017,797,22.2,22.9,23.3,23.2,23,76,60,62,55,42,district
d2708190,EASTERN CARVER CO SCHOOLS,247092,2016,707,22.4,22.8,23.2,23.3,23.1,78,63,59,56,42,district
d2708190,EASTERN CARVER CO SCHOOLS,247092,2015,653,23.3,23.8,24.1,23.9,23.9,84,68,65,62,48,district
d2714220,EDEN PRAIRIE IND SCH DIST 272,247284,2019,718,23.7,24,24.3,24,24.1,78,66,65,63,51,district
d2714220,EDEN PRAIRIE IND SCH DIST 272,247284,2018,714,23.8,23.8,24.5,23.8,24.1,79,63,65,61,48,district
d2714220,EDEN PRAIRIE IND SCH DIST 272,247284,2017,730,23.5,23.9,24.2,23.9,24,79,62,67,59,48,district
d2714220,EDEN PRAIRIE IND SCH DIST 272,247284,2016,683,24.4,24.3,24.5,24.3,24.5,86,67,66,63,48,district
d2714220,EDEN PRAIRIE IND SCH DIST 272,247284,2015,660,25,25.6,25.6,25.2,25.5,88,76,75,72,60,district
d2711250,EDINA PUBLIC SCHOOL DIST 273,247286,2019,646,26.6,25.2,26.9,25.8,26.3,89,72,78,74,63,district
d2711250,EDINA PUBLIC SCHOOL DIST 273,247286,2018,670,25.8,25,26.4,25.4,25.8,86,71,76,72,61,district
d2711250,EDINA PUBLIC SCHOOL DIST 273,247286,2017,612,26.4,25.4,26.8,25.8,26.3,90,76,80,75,64,district
d2711250,EDINA PUBLIC SCHOOL DIST 273,247286,2016,645,25.8,24.9,26.3,25.4,25.7,88,75,76,72,61,district
d2711250,EDINA PUBLIC SCHOOL DIST 273,247286,2015,647,26.3,25,26.7,25.7,26,91,75,77,76,63,district
d2711370,ELK RIVER IND SCHOOL DIST 728,247774,2019,881,20,21.9,21.5,21.8,21.4,65,53,46,42,29,district
d2711370,ELK RIVER IND SCHOOL DIST 728,247774,2018,943,20.5,22.3,22,22.1,21.8,68,54,52,49,32,district
d2711370,ELK RIVER IND SCHOOL DIST 728,247774,2017,865,20.6,22.4,22.1,22,21.9,71,56,52,46,34,district
d2711370,ELK RIVER IND SCHOOL DIST 728,247774,2016,879,20.7,22.4,22,22,21.9,70,57,48,45,32,district
d2711370,ELK RIVER IND SCHOOL DIST 728,247774,2015,590,22.2,23.7,23.1,23.3,23.2,81,69,57,59,41,district
d2714260,HOPKINS IND SCHOOL DIST 270,247288,2019,521,21.6,21.7,22.9,22.1,22.2,69,50,56,47,35,district
d2714260,HOPKINS IND SCHOOL DIST 270,247288,2018,476,21.6,21.7,22.7,21.9,22.1,65,50,56,50,38,district
d2714260,HOPKINS IND SCHOOL DIST 270,247288,2017,467,21.6,21.7,22.5,22.1,22.1,69,51,54,47,34,district
d2714260,HOPKINS IND SCHOOL DIST 270,247288,2016,520,21,21.1,22.2,21.6,21.6,67,46,52,43,31,district
d2714260,HOPKINS IND SCHOOL DIST 270,247288,2015,462,23.4,22.9,23.9,23.4,23.5,82,59,63,58,42,district
d2721240,MINNEAPOLIS PUBLIC SCH DIST,247310,2019,2090,18.1,19.2,19.4,19.2,19.1,42,31,35,28,22,district
d2721240,MINNEAPOLIS PUBLIC SCH DIST,247310,2018,2179,17.9,19.1,19.5,19.1,19,42,31,35,28,22,district
d2721240,MINNEAPOLIS PUBLIC SCH DIST,247310,2017,1963,18,19,19.4,19.3,19.1,44,30,34,27,21,district
d2721240,MINNEAPOLIS PUBLIC SCH DIST,247310,2016,1959,18.2,19.2,19.5,19.2,19.2,45,31,34,29,21,district
d2721240,MINNEAPOLIS PUBLIC SCH DIST,247310,2015,1777,17.8,19.2,19.4,19.3,19.1,45,31,34,28,21,district
d2711670,MINNETONKA ISD 276,247292,2019,719,26.2,25.3,26.9,26.1,26.2,93,77,82,78,65,district
d2711670,MINNETONKA ISD 276,247292,2018,779,25.7,25.5,26.6,25.7,26,88,77,79,74,61,district
d2711670,MINNETONKA ISD 276,247292,2017,656,25.6,25.1,26.2,25.6,25.7,89,74,77,73,60,district
d2711670,MINNETONKA ISD 276,247292,2016,711,25.4,24.7,25.9,25.3,25.4,90,73,75,71,60,district
d2711670,MINNETONKA ISD 276,247292,2015,676,26,25.4,26.7,26.1,26.2,93,79,79,77,65,district
d2725080,ORONO IND SCHOOL DISTRICT 278,247296,2019,224,24.7,24.5,25.1,24.8,25,81,69,68,66,53,district
d2725080,ORONO IND SCHOOL DISTRICT 278,247296,2018,240,25.2,24.6,24.8,24.7,25,87,67,71,66,54,district
d2725080,ORONO IND SCHOOL DISTRICT 278,247296,2017,237,25.2,24.5,25.6,24.7,25.1,87,73,78,73,60,district
d2725080,ORONO IND SCHOOL DISTRICT 278,247296,2016,230,26,25.2,25.5,25.4,25.7,92,76,72,72,60,district
