TractId,Total_pop,male_pop,Male_percent,Female_pop_x,Female_percent,Sex Ratio,Age: Under 5,Age: 10-14,Age: 15-19,Age: 20-24,Age: 25-34,Age: 35-44,Age: 45-54,Age: 55-59,Age: 60-64,Age: 65-74,Age: 75-84,Age: 85+,Age: Under 5_p,Age: 5-9_p,Age: 10-14_p,Age: 15-19_p,Age: 20-24_p,Age: 25-34_p,Age: 35-44_p,Age: 45-54_p,Age: 55-59_p,Age: 60-64_p,Age: 65-74_p,Age: 75-84_p,Age: 85+_p,Median Age
27053103700,4196,2101,50.1,2095,49.9,100.3,202,34,186,955,1372,363,319,176,151,214,86,36,4.8,2.4,0.8,4.4,22.8,32.7,8.7,7.6,4.2,3.6,5.1,2,0.9,28
27053104000,6414,3160,49.3,3254,50.7,97.1,266,132,307,2491,1512,584,245,288,233,159,31,7,4.1,2.5,2.1,4.8,38.8,23.6,9.1,3.8,4.5,3.6,2.5,0.5,0.1,24.6
27053104100,3627,1872,51.6,1755,48.4,106.7,414,257,130,322,796,465,356,179,89,286,60,22,11.4,6.9,7.1,3.6,8.9,21.9,12.8,9.8,4.9,2.5,7.9,1.7,0.6,30.4
27053104900,11386,5789,50.8,5597,49.2,103.4,156,78,5159,4322,819,222,238,60,63,49,84,11,1.4,1.1,0.7,45.3,38,7.2,1.9,2.1,0.5,0.6,0.4,0.7,0.1,20.1
27053001100,2101,1067,50.8,1034,49.2,103.2,136,163,57,111,593,365,292,126,68,69,16,27,6.5,3.7,7.8,2.7,5.3,28.2,17.4,13.9,6,3.2,3.3,0.8,1.3,33.2
27053002400,2401,1292,53.8,1109,46.2,116.5,129,49,54,284,810,237,244,76,133,205,53,20,5.4,4.5,2,2.2,11.8,33.7,9.9,10.2,3.2,5.5,8.5,2.2,0.8,31.8
27053003300,2620,1308,49.9,1312,50.1,99.7,260,242,275,202,435,337,234,70,64,64,21,17,9.9,15.2,9.2,10.5,7.7,16.6,12.9,8.9,2.7,2.4,2.4,0.8,0.6,22.9
27053010600,2914,1500,51.5,1414,48.5,106.1,180,201,175,107,291,449,440,242,262,260,89,35,6.2,6.3,6.9,6,3.7,10,15.4,15.1,8.3,9,8.9,3.1,1.2,42.6
27053011703,4286,1946,45.4,2340,54.6,83.2,484,198,165,78,503,831,597,317,276,375,131,29,11.3,7,4.6,3.8,1.8,11.7,19.4,13.9,7.4,6.4,8.7,3.1,0.7,39.8
27053011704,3219,1553,48.2,1666,51.8,93.2,173,229,109,91,509,551,529,209,175,170,118,72,5.4,8.8,7.1,3.4,2.8,15.8,17.1,16.4,6.5,5.4,5.3,3.7,2.2,39.6
27053012003,5759,2932,50.9,2827,49.1,103.7,284,650,249,166,1286,913,846,184,154,332,188,38,4.9,8.1,11.3,4.3,2.9,22.3,15.9,14.7,3.2,2.7,5.8,3.3,0.7,32.7
27053021503,5045,2397,47.5,2648,52.5,90.5,574,336,192,236,715,540,735,243,341,379,159,229,11.4,7.3,6.7,3.8,4.7,14.2,10.7,14.6,4.8,6.8,7.5,3.2,4.5,36
27053021602,5951,2692,45.2,3259,54.8,82.6,282,291,224,365,773,821,513,408,498,519,380,504,4.7,6.3,4.9,3.8,6.1,13,13.8,8.6,6.9,8.4,8.7,6.4,8.5,42
27053022400,3808,1887,49.6,1921,50.4,98.2,293,185,96,184,834,427,494,202,204,348,150,97,7.7,7.7,4.9,2.5,4.8,21.9,11.2,13,5.3,5.4,9.1,3.9,2.5,35.7
27053022700,4411,2234,50.6,2177,49.4,102.6,274,227,218,214,1068,711,472,191,324,243,89,67,6.2,7.1,5.1,4.9,4.9,24.2,16.1,10.7,4.3,7.3,5.5,2,1.5,33.6
27053023903,3249,1587,48.8,1662,51.2,95.5,161,156,204,70,142,277,500,176,170,636,457,114,5,5.7,4.8,6.3,2.2,4.4,8.5,15.4,5.4,5.2,19.6,14.1,3.5,54
27053024400,4007,1689,42.2,2318,57.8,72.9,136,64,140,97,659,429,254,257,249,586,567,372,3.4,4.9,1.6,3.5,2.4,16.4,10.7,6.3,6.4,6.2,14.6,14.2,9.3,55.4
27053024902,2609,1464,56.1,1145,43.9,127.9,178,204,153,104,489,404,296,142,165,176,39,37,6.8,8.5,7.8,5.9,4,18.7,15.5,11.3,5.4,6.3,6.7,1.5,1.4,34.3
27053024903,2521,1316,52.2,1205,47.8,109.2,167,208,177,111,413,404,353,88,67,162,89,5,6.6,11,8.3,7,4.4,16.4,16,14,3.5,2.7,6.4,3.5,0.2,33.7
27053025201,5326,2833,53.2,2493,46.8,113.6,435,419,378,282,959,822,515,393,236,202,154,36,8.2,9.3,7.9,7.1,5.3,18,15.4,9.7,7.4,4.4,3.8,2.9,0.7,31.5
27053025302,4261,2027,47.6,2234,52.4,90.7,336,178,201,270,579,602,430,364,336,290,293,205,7.9,4.2,4.2,4.7,6.3,13.6,14.1,10.1,8.5,7.9,6.8,6.9,4.8,40.3
27053025401,4267,2323,54.4,1944,45.6,119.5,366,296,224,294,698,547,666,276,117,294,233,77,8.6,4.2,6.9,5.2,6.9,16.4,12.8,15.6,6.5,2.7,6.9,5.5,1.8,35.8
27053025805,2679,1346,50.2,1333,49.8,101,109,139,146,113,272,200,306,247,216,344,257,229,4.1,3.8,5.2,5.4,4.2,10.2,7.5,11.4,9.2,8.1,12.8,9.6,8.5,54.1
27053026018,7420,3876,52.2,3544,47.8,109.4,419,531,412,260,706,1162,1129,592,623,742,181,33,5.6,8.5,7.2,5.6,3.5,9.5,15.7,15.2,8,8.4,10,2.4,0.4,41.5
27053026402,6281,3185,50.7,3096,49.3,102.9,345,250,81,314,1848,653,633,478,306,481,364,262,5.5,4.2,4,1.3,5,29.4,10.4,10.1,7.6,4.9,7.7,5.8,4.2,35.4
27053026404,5411,2595,48,2816,52,92.2,229,236,247,82,713,629,569,451,601,765,418,76,4.2,7.3,4.4,4.6,1.5,13.2,11.6,10.5,8.3,11.1,14.1,7.7,1.4,48.1
27053026809,5527,2473,44.7,3054,55.3,81,731,393,327,310,1041,1085,478,304,97,115,58,8,13.2,10.5,7.1,5.9,5.6,18.8,19.6,8.6,5.5,1.8,2.1,1,0.1,28.9
27053027602,5462,2900,53.1,2562,46.9,113.2,235,208,277,351,805,582,1036,551,452,386,255,86,4.3,4.4,3.8,5.1,6.4,14.7,10.7,19,10.1,8.3,7.1,4.7,1.6,46.5
27053102000,2796,1491,53.3,1305,46.7,114.3,175,239,239,237,473,468,271,145,175,124,60,4,6.3,6.7,8.5,8.5,8.5,16.9,16.7,9.7,5.2,6.3,4.4,2.1,0.1,31.6
27053103600,2273,1037,45.6,1236,54.4,83.9,51,30,17,58,436,297,385,122,229,370,177,53,2.2,2.1,1.3,0.7,2.6,19.2,13.1,16.9,5.4,10.1,16.3,7.8,2.3,50.9
27053104800,10065,4961,49.3,5104,50.7,97.2,1162,381,2024,1787,1430,823,566,240,123,318,234,166,11.5,8.1,3.8,20.1,17.8,14.2,8.2,5.6,2.4,1.2,3.2,2.3,1.6,20.9
27053108700,3840,1992,51.9,1848,48.1,107.8,243,359,113,155,674,718,401,197,251,237,118,133,6.3,6.3,9.3,2.9,4,17.6,18.7,10.4,5.1,6.5,6.2,3.1,3.5,36.6
27053105600,4467,2382,53.3,2085,46.7,114.2,182,37,35,455,1849,397,586,304,138,350,45,30,4.1,1.3,0.8,0.8,10.2,41.4,8.9,13.1,6.8,3.1,7.8,1,0.7,32.3
27053106200,4084,2265,55.5,1819,44.5,124.5,417,171,175,340,1186,481,338,183,197,218,122,24,10.2,5.7,4.2,4.3,8.3,29,11.8,8.3,4.5,4.8,5.3,3,0.6,30.8
27053108600,2998,1588,53,1410,47,112.6,299,161,162,170,726,638,254,114,138,105,21,25,10,6.2,5.4,5.4,5.7,24.2,21.3,8.5,3.8,4.6,3.5,0.7,0.8,32.8
27053109300,4138,2042,49.3,2096,50.7,97.4,68,216,120,308,1274,667,568,189,251,267,37,28,1.6,3.5,5.2,2.9,7.4,30.8,16.1,13.7,4.6,6.1,6.5,0.9,0.7,34.5
27053109800,4203,2109,50.2,2094,49.8,100.7,293,321,186,253,498,653,634,338,225,366,81,41,7,7.5,7.6,4.4,6,11.8,15.5,15.1,8,5.4,8.7,1.9,1,38.1
27053110200,3442,1725,50.1,1717,49.9,100.5,267,108,124,84,651,647,424,230,292,277,91,55,7.8,5.6,3.1,3.6,2.4,18.9,18.8,12.3,6.7,8.5,8,2.6,1.6,39.4
27053110400,3435,1687,49.1,1748,50.9,96.5,237,202,125,44,893,539,400,290,193,232,35,22,6.9,6.5,5.9,3.6,1.3,26,15.7,11.6,8.4,5.6,6.8,1,0.6,35
27053110800,4522,2097,46.4,2425,53.6,86.5,436,162,245,240,1012,726,554,345,237,250,98,52,9.6,3.6,3.6,5.4,5.3,22.4,16.1,12.3,7.6,5.2,5.5,2.2,1.1,35
27053125500,3817,1811,47.4,2006,52.6,90.3,221,230,238,203,614,489,481,218,250,205,325,110,5.8,6.1,6,6.2,5.3,16.1,12.8,12.6,5.7,6.5,5.4,8.5,2.9,37.8
