TractId,16_over_pop,16_over_percent,In labor foce,In labor foce_percent,Civilian labor force,Civilian labor force_percent,Employed_pop,Employed_percent,Unemployed_pop,Unemployed_percent,Armed Force_pop_x,Armed Force_percent,Not in Labor Force_pop,Not in Labor Force_percent,Unemployment Rate
27053103700,3838,3838,3049,79.4,3049,79.4,2866,74.7,183,4.8,0,0,789,20.6,6
27053104000,5857,5857,4614,78.8,4614,78.8,4372,74.6,242,4.1,0,0,1243,21.2,5.2
27053104100,2676,2676,1901,71,1901,71,1861,69.5,40,1.5,0,0,775,29,2.1
27053104900,11000,11000,5846,53.1,5846,53.1,5243,47.7,603,5.5,0,0,5154,46.9,10.3
27053001100,1704,1704,1357,79.6,1357,79.6,1305,76.6,52,3.1,0,0,347,20.4,3.8
27053002400,2107,2107,1731,82.2,1731,82.2,1680,79.7,51,2.4,0,0,376,17.8,2.9
27053003300,1668,1668,1203,72.1,1203,72.1,1083,64.9,120,7.2,0,0,465,27.9,10
27053010600,2285,2285,1733,75.8,1733,75.8,1692,74,41,1.8,0,0,552,24.2,2.4
27053011703,3302,3302,2547,77.1,2547,77.1,2506,75.9,41,1.2,0,0,755,22.9,1.6
27053011704,2511,2511,2039,81.2,2039,81.2,2016,80.3,23,0.9,0,0,472,18.8,1.1
27053012003,4281,4281,2938,68.6,2938,68.6,2884,67.4,54,1.3,0,0,1343,31.4,1.8
27053021503,3769,3769,2547,67.6,2547,67.6,2503,66.4,44,1.2,0,0,1222,32.4,1.7
27053021602,4951,4951,2951,59.6,2951,59.6,2784,56.2,167,3.4,0,0,2000,40.4,5.7
27053022400,3024,3024,2339,77.3,2339,77.3,2197,72.7,142,4.7,0,0,685,22.7,6.1
27053022700,3591,3591,2928,81.5,2928,81.5,2869,79.9,59,1.6,0,0,663,18.5,2
27053023903,2672,2672,1418,53.1,1406,52.6,1334,49.9,72,2.7,12,0.4,1254,46.9,5.1
27053024400,3603,3603,1959,54.4,1959,54.4,1830,50.8,129,3.6,0,0,1644,45.6,6.6
27053024902,1953,1953,1453,74.4,1453,74.4,1421,72.8,32,1.6,0,0,500,25.6,2.2
27053024903,1823,1823,1261,69.2,1261,69.2,1196,65.6,65,3.6,0,0,562,30.8,5.2
27053025201,3840,3840,3113,81.1,3113,81.1,2903,75.6,210,5.5,0,0,727,18.9,6.7
27053025302,3530,3530,2434,69,2434,69,2287,64.8,147,4.2,0,0,1096,31,6
27053025401,3418,3418,2607,76.3,2607,76.3,2500,73.1,107,3.1,0,0,811,23.7,4.1
27053025805,2270,2270,1121,49.4,1121,49.4,1074,47.3,47,2.1,0,0,1149,50.6,4.2
27053026018,5733,5733,4189,73.1,4189,73.1,4141,72.2,48,0.8,0,0,1544,26.9,1.1
27053026402,5377,5377,3958,73.6,3958,73.6,3766,70,192,3.6,0,0,1419,26.4,4.9
27053026404,4477,4477,3169,70.8,3169,70.8,3059,68.3,110,2.5,0,0,1308,29.2,3.5
27053026809,3787,3787,2948,77.8,2948,77.8,2719,71.8,229,6,0,0,839,22.2,7.8
