TractId,White_pop,White_percent,Black_pop,Black_percent,American_Indian_pop,American_Indian_percent,Asian_pop,Asian_percent,Hawaiian_pop,Hawaiian_percent,Others_pop,Others_percent,TMR_pop,TMR_percent
27053103700,3269,77.9,429,10.2,62,1.5,244,5.8,0,0.0,13,0.3,179,4.3
27053104000,4629,72.2,592,9.2,82,1.3,958,14.9,0,0.0,39,0.6,114,1.8
27053104100,1715,47.3,930,25.6,68,1.9,459,12.7,0,0.0,117,3.2,338,9.3
27053104900,7427,65.2,941,8.3,60,0.5,2398,21.1,0,0.0,119,1.0,441,3.9
27053001100,1559,74.2,203,9.7,17,0.8,24,1.1,0,0.0,148,7.0,150,7.1
27053002400,1798,74.9,426,17.7,32,1.3,48,2.0,0,0.0,11,0.5,86,3.6
27053003300,268,10.2,1512,57.7,88,3.4,513,19.6,0,0.0,127,4.8,112,4.3
27053010600,2705,92.8,58,2.0,0,0.0,54,1.9,0,0.0,6,0.2,91,3.1
27053011703,3816,89.0,53,1.2,161,3.8,34,0.8,0,0.0,0,0.0,222,5.2
27053011704,2877,89.4,164,5.1,0,0.0,44,1.4,0,0.0,19,0.6,115,3.6
27053012003,3514,61.0,1101,19.1,0,0.0,233,4.0,0,0.0,489,8.5,422,7.3
27053021503,3468,68.7,1242,24.6,9,0.2,120,2.4,0,0.0,0,0.0,206,4.1
27053021602,5069,85.2,561,9.4,82,1.4,59,1.0,0,0.0,14,0.2,166,2.8
27053022400,2921,76.7,539,14.2,0,0.0,176,4.6,0,0.0,87,2.3,85,2.2
27053022700,3215,72.9,668,15.1,0,0.0,103,2.3,0,0.0,278,6.3,147,3.3
27053023903,2628,80.9,156,4.8,8,0.2,269,8.3,0,0.0,0,0.0,188,5.8
27053024400,2924,73.0,601,15.0,20,0.5,143,3.6,0,0.0,255,6.4,64,1.6
27053024902,1820,69.8,236,9.0,4,0.2,269,10.3,0,0.0,217,8.3,63,2.4
27053024903,1554,61.6,454,18.0,11,0.4,78,3.1,0,0.0,235,9.3,189,7.5
27053025201,2599,48.8,1084,20.4,48,0.9,458,8.6,0,0.0,1005,18.9,132,2.5
27053025302,2880,67.6,690,16.2,26,0.6,261,6.1,0,0.0,168,3.9,236,5.5
27053025401,2562,60.0,596,14.0,31,0.7,450,10.5,0,0.0,461,10.8,167,3.9
27053025805,2575,96.1,12,0.4,1,0.0,19,0.7,0,0.0,0,0.0,72,2.7
27053026018,5397,72.7,1,0.0,0,0.0,1579,21.3,0,0.0,14,0.2,429,5.8
27053026402,4732,75.3,610,9.7,0,0.0,740,11.8,0,0.0,0,0.0,199,3.2
27053026404,5074,93.8,122,2.3,28,0.5,115,2.1,0,0.0,43,0.8,29,0.5
27053026809,1855,33.6,2309,41.8,230,4.2,643,11.6,0,0.0,421,7.6,69,1.2
27053027602,5146,94.2,0,0.0,19,0.3,127,2.3,0,0.0,0,0.0,170,3.1
27053102000,1041,37.2,1093,39.1,20,0.7,481,17.2,0,0.0,19,0.7,142,5.1
