TractId,Mean travel time to work (minutes),Percentage of people income in P12M is below poverty level_x,With health insurance coverage_pop,With health insurance coverage_percent
27053103700,19.3,25.4,3973,94.7
27053104000,22.6,43.1,6031,94
27053104100,21.7,19.8,3283,93.1
27053104900,19,66.5,11015,97.6
27053001100,23.7,17.4,2049,97.5
27053002400,19.8,22.3,2170,90.4
27053003300,29.1,35.6,2400,91.8
27053010600,22.7,1.8,2876,98.7
27053011703,22.2,2.4,4212,98.3
27053011704,23.8,2.2,3166,98.4
27053012003,20.2,18.3,5426,94.2
27053021503,24.1,12.5,4904,97.2
27053021602,22.8,14.8,5356,93.9
27053022400,20.2,16.8,3606,97.8
27053022700,21.6,4.4,4001,90.7
27053023903,20.4,5.2,3208,99.1
27053024400,23.5,14.2,3683,91.9
27053024902,20.3,15.7,2322,89
27053024903,22.4,23.5,2124,84.3
27053025201,23.4,15.1,4543,85.3
27053025302,22.6,13.1,3991,93.7
27053025401,22.1,4.8,3902,91.4
27053025805,23.9,6.7,2369,96.1
27053026018,27.6,1.5,7339,98.9
27053026402,22.8,6.3,6027,96
27053026404,23.4,3.1,5327,98.7
27053026809,26.8,19.3,4533,82
27053027602,29.2,3.9,5280,96.7
27053102000,25.9,19.1,2567,92.1
27053103600,20.8,5.4,2185,96.1
27053104800,20,46.2,9370,93.9
27053108700,23.2,12,3473,95.1
27053105600,23.7,13.2,4233,95.3
27053106200,21.1,42.6,3805,93.2
27053108600,24.2,24.2,2554,85.2
27053109300,23.4,12.7,3761,91
27053109800,22.4,8.8,4186,99.6
27053110200,23,2.8,3329,97.4
27053110400,21.7,22.6,3246,94.5
27053110800,23.3,3.2,4390,97.1
27053125500,21,13.9,3716,97.7
27053104400,18.9,34.8,1958,91.1
27053106700,23.2,8.2,4323,95.2
27053106900,23,31.3,2380,93.8
27053109100,24.8,5.7,4613,94.9
27053026711,24.6,3.7,2898,93
27053026712,22.8,4.3,3313,98.3
27053026910,28.1,4.8,5049,92
27053100500,24.5,11.8,1870,93.3
27053101600,35.8,27.9,2353,91.9
27053102500,22.8,21.7,2770,91.4
27053000300,25.4,12,3179,96.1
27053000601,26.2,12.3,4677,96.9
27053002200,26.9,46,1278,84.4
27053002700,25.6,30.6,2569,89.3
27053020101,20,3.5,3338,99
27053021100,22.8,8.5,1886,96.5
27053023501,21.1,5,3814,98.7
27053020804,22.1,4.3,2833,89.3
27053023000,21.2,8,4646,98.5
27053025205,23.5,9.5,4558,94.6
27053025906,26.1,3,5658,89.8
27053026814,25.3,3.2,6189,90.2
27053027203,30,5,3629,98.6
27053027400,22.1,4,4196,98.7
27053101200,23.2,5.9,4502,97.7
27053024901,20.4,3.7,1044,96.6
27053026708,27.4,8.1,5607,95.5
27053026815,26.6,4.3,5358,95.7
27053101900,22.7,22.6,2475,95.8
27053026811,25.7,8.2,5427,90.1
27053105700,26.4,42.8,2437,89.3
27053106500,22.4,1.9,3958,96.5
27053109400,22.7,26.3,1837,84.9
27053100900,31.6,33.2,4321,86.4
27053107400,21.3,25.2,1827,92.8
27053026505,24.6,3,3483,97.6
27053000603,23.5,6.7,2748,96.6
27053026819,26.9,30.6,4424,88.1
27053100200,25.4,19.3,3258,90.7
27053003800,21.6,46.2,5430,91.4
27053008300,20.7,27.3,1790,88.3
27053011800,23.1,3.2,4741,96.9
27053012101,22.7,18.9,2780,91.5
27053020500,22.1,16.9,3099,86
27053020801,26.3,18.4,1884,94.8
27053020903,22.6,3.8,2860,96.2
27053021002,19.9,6.8,1877,95.8
27053021502,26.8,20.2,3186,90.4
27053022302,28.5,12.2,2747,89.9
27053022901,19.9,8.7,4780,97
27053023300,21.3,5.5,5595,95.1
27053023502,20.7,5,5576,98.3
27053023600,19.7,2.3,3757,99
27053023802,21.6,7.4,2729,96.8
27053024500,23.1,3.7,2212,97.5
27053024600,21.9,6.4,3451,86.6
27053000102,22.7,27.1,4744,88
27053007700,21.4,7.8,3922,91.1
27053021300,23.1,10.2,4262,91.7
27053021700,22.7,9.7,5109,98
27053022101,22.6,5.7,2652,98
27053022301,21.8,4.6,2219,99.1
27053025301,19.1,5.2,2548,96.4
27053024004,24.3,13.1,4002,95
27053024200,20.7,4.7,2885,96.5
27053024300,18.7,7.8,4477,92.7
27053020302,23,14.9,2274,93.6
27053020902,24.1,8.4,2143,95.5
27053024100,22.2,3.3,3251,98
27053026101,20,12.1,3301,99.5
27053025801,24.5,4.7,2991,97.3
27053025803,22.9,7.2,2965,94
27053026005,23.1,12.8,3901,96.9
27053026006,20.7,11,2891,98.7
27053026007,21.4,8.2,4593,95.2
27053026014,25.9,2,5129,99.7
27053026202,23,2.1,2780,98.3
27053026206,23.6,4.9,3432,99.4
27053026208,23.3,1.9,2985,99.8
27053026508,26,7.1,4710,99.5
27053026610,24.8,2.1,4159,97.8
27053026702,20.8,5.8,2569,97.4
27053026716,26.9,0.5,8092,97.1
27053025701,19.1,3.6,6788,95.8
27053025702,20.6,6.2,4313,96.1
27053025903,20.7,4.3,5689,97.8
27053025905,21.3,0.6,3400,98.8
27053026015,23.9,5.3,5315,99.3
27053026016,23.4,1.3,6907,98.1
27053026509,25.4,2.3,4434,98.2
27053026810,26.2,14.9,4344,79.1
27053026816,28,7.4,6199,95.2
27053026818,24.1,19,4643,94.2
27053026820,27.9,1.7,11599,97.2
27053026907,25.5,7.4,5541,97.6
27053027001,29.4,5.6,3336,94.5
27053027503,25.1,3.4,4238,98.6
27053000101,27.1,13.9,2934,91.7
27053011998,24.2,5.8,3995,96.9
27053012001,23.7,7,5635,95.7
27053012102,24.9,4.4,2672,95.3
27053020200,23.7,17.9,6870,89.9
27053020301,28.4,10.1,2336,91
27053021504,20.5,7.1,3398,96.4
27053022102,22.8,10.8,2673,97.6
27053024005,23.5,5,2114,99.6
27053024006,19.3,1.1,2080,98.7
27053026019,20.5,11,5755,95
27053026020,22.4,13.4,4985,98.9
27053026104,21.9,3,4197,99.1
27053026021,25,2.1,4062,98.3
27053026022,22.8,0.9,6840,94.6
27053026103,19.4,1.1,2747,99
27053026612,24.5,2.6,10425,98
27053026613,26.8,2.5,9105,94.2
27053026822,24.6,3.5,4481,98
27053026823,24.4,9,3787,89.2
27053105201,20.1,12.1,2788,94.6
27053105204,21.3,28.7,2470,91.7
27053125600,22.5,18.7,3391,92.2
27053125700,24.4,31.4,3456,93.6
27053125800,22,22.2,4327,84.4
27053125900,25.9,33.6,4193,86.1
27053126000,26.4,47.3,4602,86.3
27053126100,21,20.3,6519,94.4
27053126200,21.1,14.8,6007,97.5
27053980000,35.9,24.7,182,71.4
27053111600,21.9,6.8,3239,98.6
27053003200,23.2,10.4,1643,88.6
27053006800,20.7,25.1,3488,90.3
27053008400,25.3,20,2239,77.2
27053020304,27.3,17.2,3178,82
27053008500,23.6,25.1,4038,78.8
27053011000,25.5,3.1,3384,91.2
27053020102,18.9,2.1,2162,96.7
27053022000,20.8,3,1759,98.9
27053023100,22.6,5.2,1854,98.2
27053024802,21.4,10.1,2242,84.1
27053025403,18.3,15.5,3768,88.2
27053025605,19,6.9,3339,95.8
27053025802,25.2,1.7,2279,99
27053026207,24.7,7.3,3770,98.4
27053026713,23.2,1.9,4285,96.8
27053026714,29.1,7.7,9975,98.9
27053026715,25.8,1.4,15578,97.3
27053026807,23.2,10.8,5317,93.3
27053026903,31.6,7.5,4226,96
27053026908,26,6.7,6065,96.7
27053026909,28.2,2,13159,98.6
27053027102,28,2.4,5497,95.2
27053101800,23.5,22.1,3243,80.2
27053102100,31.5,33.8,2528,91.9
27053102300,17.9,34.6,1350,92.3
27053102900,18.7,37.9,1321,93.3
27053109700,25.7,7,2231,89
27053109900,23.7,6,3612,96.1
27053103100,20.8,24.8,1972,93.8
