Tract_id,Geography,Occupied housing units (Total),Owner-occupied housing units,Renter-occupied housing units,Occupied housing units by Race (White),Owner-occupied housing units by Race (White),Renter-occupied housing units (White),Occupied housing units (African American),Owner-occupied housing units (African American),Renter-occupied housing units (African American),Occupied housing units (American Indian and Alaska Native),Owner-occupied housing units (American Indian and Alaska Native),Renter-occupied housing units (American Indian and Alaska Native),Occupied housing units (Asian),Owner-occupied housing units (Asian),Renter-occupied housing units (Asian),Occupied housing units (Native Hawaiian and Other Pacific Islander),Owner-occupied housing units (Native Hawaiian and Other Pacific Islander),Renter-occupied housing units (Native Hawaiian and Other Pacific Islander),Occupied housing units (Other race),Owner-occupied housing units (Other race),Percent owner-occupied housing units (Other race),Renter-occupied housing units (Other race),Occupied housing units (Two or more races),Owner-occupied housing units (Two or more races),Renter-occupied housing units (Two or more races),Occupied housing units (Hispanic or Latino origin),Owner-occupied housing units (Hispanic or Latino origin),Renter-occupied housing units (Hispanic or Latino origin),"Occupied housing units (White alone, not Hispanic or Latino)","Owner-occupied housing units (White alone, not Hispanic or Latino)","Renter-occupied housing units (White alone, not Hispanic or Latino)",Occupied housing units (Under 35 years),Owner-occupied housing units (Under 35 years),Renter-occupied housing units (Under 35 years),Occupied housing units (35 to 44 years),Owner-occupied housing units (35 to 44 years),Renter-occupied housing units (35 to 44 years),Occupied housing units (45 to 54 years),Owner-occupied housing units (45 to 54 years),Renter-occupied housing units (45 to 54 years),Occupied housing units (55 to 64 years),Owner-occupied housing units (55 to 64 years),Renter-occupied housing units (55 to 64 years),Occupied housing units (65 to 74 years),Owner-occupied housing units (65 to 74 years),Renter-occupied housing units (65 to 74 years),Occupied housing units (75 to 84 years),Owner-occupied housing units (75 to 84 years),Renter-occupied housing units (75 to 84 years),Occupied housing units (85 years and over),Owner-occupied housing units (85 years and over),Renter-occupied housing units (85 years and over),Occupied housing units - Educational Attainment (Less than high school graduate),Owner-occupied housing units - Educational Attainment (Less than high school graduate),Renter-occupied housing units - Educational Attainment (Less than high school graduate),Occupied housing units - Educational Attainment (High school graduate (includes equivalency)),Owner-occupied housing units - Educational Attainment (High school graduate (includes equivalency)),Renter-occupied housing units - Educational Attainment (High school graduate (includes equivalency)),Occupied housing units - Educational Attainment (Some college or associate's degree),Owner-occupied housing units - Educational Attainment (Some college or associate's degree),Renter-occupied housing units - Educational Attainment (Some college or associate's degree),Occupied housing units - Educational Attainment (Bachelor's degree or higher),Owner-occupied housing units - Educational Attainment (Bachelor's degree or higher),Renter-occupied housing units - Educational Attainment (Bachelor's degree or higher),Occupied housing units (Moved in 2017 or later),Owner-occupied housing units (Moved in 2017 or later),Renter-occupied housing units (Moved in 2017 or later),Occupied housing units (Moved in 2015 to 2016),Owner-occupied housing units (Moved in 2015 to 2016),Renter-occupied housing units (Moved in 2015 to 2016),Occupied housing units (Moved in 2010 to 2014),Owner-occupied housing units (Moved in 2010 to 2014),Renter-occupied housing units (Moved in 2010 to 2014),Occupied housing units (Moved in 2000 to 2009),Owner-occupied housing units (Moved in 2000 to 2009),,,,
27053000101,"Census Tract 1.01, Hennepin County, Minnesota",1065,886,179,622,584,38,270,168,102,11,11,0,99,99,0,0,0,0,24,24,2.7,0,39,0,39,65,65,0,581,543,38,104,66,38,314,239,75,268,229,39,178,151,27,109,109,0,68,68,0,24,24,0,89,62,27,258,197,61,392,301,91,326,326,0,17,11,6,38,28,10,305,164,141,286,276,,,,
27053000102,"Census Tract 1.02, Hennepin County, Minnesota",1821,1163,658,1067,764,303,480,199,281,8,8,0,149,121,28,0,0,0,13,7,0.6,6,104,64,40,79,42,37,1014,742,272,446,259,187,409,274,135,369,201,168,299,203,96,166,129,37,98,72,26,34,25,9,181,118,63,524,332,192,784,482,302,332,231,101,47,11,36,187,120,67,714,274,440,433,331,,,,
27053000300,"Census Tract 3, Hennepin County, Minnesota",1362,1127,235,1081,969,112,175,81,94,7,7,0,22,22,0,0,0,0,23,23,2,0,54,25,29,35,17,18,1046,952,94,329,202,127,288,241,47,319,295,24,238,210,28,114,105,9,52,52,0,22,22,0,102,80,22,258,165,93,389,362,27,613,520,93,52,25,27,156,130,26,361,225,136,330,293,,,,
27053000601,"Census Tract 6.01, Hennepin County, Minnesota",2043,1633,410,1722,1482,240,95,19,76,48,0,48,93,50,43,0,0,0,0,0,0,0,85,82,3,105,46,59,1665,1436,229,532,306,226,443,379,64,367,331,36,440,381,59,153,128,25,49,49,0,59,59,0,79,45,34,389,308,81,568,372,196,1007,908,99,58,41,17,202,127,75,652,355,297,429,416,,,,
27053000603,"Census Tract 6.03, Hennepin County, Minnesota",1236,1094,142,1182,1040,142,0,0,0,18,18,0,0,0,0,0,0,0,19,19,1.7,0,17,17,0,50,26,24,1151,1033,118,313,209,104,244,230,14,210,186,24,250,250,0,96,96,0,61,61,0,62,62,0,35,11,24,179,179,0,335,278,57,687,626,61,9,9,0,195,102,93,257,208,49,283,283,,,,
27053001100,"Census Tract 11, Hennepin County, Minnesota",902,505,397,769,439,330,73,6,67,0,0,0,10,10,0,0,0,0,36,36,7.1,0,14,14,0,38,28,10,753,433,320,316,100,216,217,133,84,168,119,49,119,79,40,58,53,5,8,8,0,16,13,3,75,35,40,109,53,56,265,132,133,453,285,168,70,10,60,158,62,96,234,70,164,220,161,,,,Occupied housing units (Total)
27053001700,"Census Tract 17, Hennepin County, Minnesota",955,456,499,673,374,299,212,47,165,6,6,0,7,3,4,0,0,0,46,22,4.8,24,11,4,7,58,35,23,652,361,291,471,110,361,182,149,33,119,54,65,95,67,28,51,39,12,20,20,0,17,17,0,135,36,99,167,80,87,270,169,101,383,171,212,33,5,28,241,55,186,347,141,206,174,99,,,,Owner-occupied housing units
27053002200,"Census Tract 22, Hennepin County, Minnesota",387,124,263,104,75,29,174,20,154,19,2,17,66,27,39,0,0,0,24,0,0,24,0,0,0,43,19,24,85,56,29,124,21,103,69,25,44,80,21,59,69,27,42,40,25,15,5,5,0,0,0,0,61,18,43,138,32,106,153,45,108,35,29,6,38,0,38,64,18,46,151,34,117,61,34,,,,Renter-occupied housing units
27053002400,"Census Tract 24, Hennepin County, Minnesota",1230,325,905,1003,311,692,148,14,134,32,0,32,15,0,15,0,0,0,0,0,0,0,32,0,32,62,16,46,973,295,678,525,79,446,164,40,124,149,84,65,180,50,130,139,48,91,53,14,39,20,10,10,83,24,59,202,94,108,432,90,342,513,117,396,58,8,50,207,10,197,613,94,519,168,65,,,,Occupied housing units by Race (White)
27053002700,"Census Tract 27, Hennepin County, Minnesota",892,558,334,301,245,56,392,194,198,32,16,16,98,74,24,0,0,0,5,0,0,5,64,29,35,50,25,25,281,230,51,239,103,136,216,171,45,146,65,81,100,63,37,68,51,17,107,89,18,16,16,0,90,37,53,222,105,117,330,192,138,250,224,26,29,4,25,148,65,83,406,188,218,97,89,,,,Owner-occupied housing units by Race (White)
