name,income_median,income_mean,,,,
3000101,58240,71423,,,,
3000102,43021,53267,,,,
3000300,71389,80228,,,,
3000601,72904,74905,,,,
3000603,76818,93106,,,,
3001100,65167,74052,,,,
3001700,45819,64834,,,,
3002200,43542,47192,,,,
3002400,48304,77729,,,,
3002700,43250,53306,,,,
3003200,66319,73326,,,,
3003300,28000,45723,,,,
3003800,35000,47616,,,,
3005901,16918,30142,,,,
3005902,22731,29700,,,,
3006800,33152,50224,,,,
3007700,54921,71816,,,,
3007801,30821,40253,,,,
3008100,58471,74501,,,,
3008200,28520,47124,,,,
3008300,51964,66286,,,,
3008400,51375,71262,,,,
3008500,47549,62425,,,,
3009500,63690,70821,,,,
3009600,67778,78965,,,,
3010600,123472,199178,,,,
3010700,121583,184035,,,,
3011000,77759,94388,,,,
3011703,117237,134233,,,,
3011704,104934,122201,,,,
3011800,89554,103161,,,,
3011998,64028,76639,,,,
3012001,90179,105083,,,,
3012003,59898,82237,,,,
3012101,54792,66000,,,,
3012102,74653,81051,,,,
3020101,100368,113028,,,,
3020102,66635,83324,,,,
3020200,39267,53756,,,,
3020301,58750,76337,,,,
3020302,50000,56773,,,,
3020303,58750,73545,,,,
3020304,48600,62456,,,,
3020400,51473,62212,,,,
3020500,59963,76171,,,,
3020600,50366,72725,,,,
3020700,68199,80569,,,,
3020801,54880,67155,,,,Households_Estimate_Median_income_dollars_
3020804,55712,64980,,,,
3020902,81136,82110,,,,
3020903,72978,79608,,,,
3021001,63232,70928,,,,Households_Estimate_Mean_income_dollars_
3021002,60494,76243,,,,
3021100,62206,67833,,,,
3021200,80967,89904,,,,
3021300,36985,53832,,,,
3021400,75694,83342,,,,
3021501,47292,67444,,,,
3021502,33939,58304,,,,
3021503,51667,66375,,,,
3021504,61641,84717,,,,
3021505,74228,90029,,,,
3021601,92663,109420,,,,
3021602,64018,89562,,,,
3021700,91875,127636,,,,
3021800,101146,156300,,,,
3021900,91250,121979,,,,
3022000,75000,92448,,,,
3022101,87565,88390,,,,
3022102,62566,78964,,,,
3022200,68309,91902,,,,
3022301,72321,81912,,,,
3022302,47846,71396,,,,
3022400,69707,80399,,,,
3022700,71250,85219,,,,
3022801,124946,166052,,,,
3022802,52368,79324,,,,
3022901,75233,100798,,,,
3022902,108173,147078,,,,
3023000,70130,77138,,,,
3023100,151080,216645,,,,
3023200,60341,77616,,,,
3023300,53113,64454,,,,
3023400,49569,69532,,,,
3023501,71522,127210,,,,
3023502,110185,180944,,,,
3023600,235556,359057,,,,
3023700,111167,171024,,,,
3023801,128542,180251,,,,
3023802,89013,125052,,,,
3023901,125229,145642,,,,
3023902,186042,262915,,,,
3023903,101306,164724,,,,
3024003,90441,127776,,,,
3024004,46937,63819,,,,
3024005,56554,100116,,,,
3024006,133281,171747,,,,
3024100,75141,81986,,,,
3024200,84925,94220,,,,
3024300,55295,72933,,,,
3024400,36692,54815,,,,
3024500,78654,86752,,,,
3024600,52907,72568,,,,
3024700,69273,80113,,,,
3024801,59292,80718,,,,
3024802,46911,59087,,,,
3024901,70234,78093,,,,
3024902,73264,89077,,,,
3024903,50345,60629,,,,
3025100,55125,63451,,,,
3025201,52372,66107,,,,
3025205,73924,83329,,,,
3025301,72083,87115,,,,
3025302,52344,63526,,,,
3025401,61094,72099,,,,
3025403,56273,69291,,,,
3025601,68561,85204,,,,
3025603,80196,96473,,,,
3025605,61375,85236,,,,
3025701,73190,97392,,,,
3025702,67739,88275,,,,
3025801,73893,85961,,,,
3025802,94000,103765,,,,
3025803,58322,72508,,,,
3025805,72188,106661,,,,
3025903,86431,115707,,,,
3025905,103947,128934,,,,
3025906,80266,98015,,,,
3025907,83033,107899,,,,
3026005,92008,112126,,,,
3026006,71154,92402,,,,
3026007,69384,130261,,,,
3026013,115200,151245,,,,
3026014,123000,135595,,,,
3026015,113409,145448,,,,
3026016,108227,145620,,,,
3026018,142202,192865,,,,
3026019,72357,87072,,,,
3026020,69972,104652,,,,
3026021,138088,197045,,,,
3026022,162917,201937,,,,
3026101,100724,145547,,,,
3026103,91698,113846,,,,
3026104,69667,89602,,,,
3026201,108603,137074,,,,
3026202,106250,145443,,,,
3026205,103250,129459,,,,
3026206,97292,131296,,,,
3026207,68000,97139,,,,
3026208,93017,116760,,,,
3026301,100417,197170,,,,
3026302,109194,154278,,,,
3026402,55518,72549,,,,
3026403,62679,85515,,,,
3026404,119387,170467,,,,
3026505,95225,120051,,,,
3026507,72143,100937,,,,
3026508,96905,137101,,,,
3026509,127422,143622,,,,
3026510,72990,100911,,,,
3026511,59592,79116,,,,
3026512,68472,115617,,,,
3026514,65047,78254,,,,
3026605,104762,138561,,,,
3026606,113384,144305,,,,
3026609,82450,102590,,,,
3026610,106107,136172,,,,
3026611,73338,93399,,,,
3026612,109345,133618,,,,
3026613,137702,179821,,,,
3026702,52569,71160,,,,
3026706,94152,119505,,,,
3026707,92039,99944,,,,
3026708,74867,99404,,,,
3026710,83697,93284,,,,
3026711,71523,81169,,,,
3026712,79519,85332,,,,
3026713,89464,102952,,,,
3026714,101686,128746,,,,
3026715,138317,150966,,,,
3026716,153468,177388,,,,
3026807,57277,72496,,,,
3026809,39529,49519,,,,
3026810,39194,53366,,,,
3026811,73232,76075,,,,
3026812,82088,113884,,,,
3026814,68417,72669,,,,
3026815,77451,83091,,,,
3026816,68823,74124,,,,
3026818,56714,63083,,,,
3026819,31282,42498,,,,
3026820,107446,123575,,,,
3026822,79734,97938,,,,
3026823,103861,115164,,,,
3026903,67308,79453,,,,
3026906,92527,99004,,,,
3026907,108469,118201,,,,
3026908,91141,100232,,,,
3026909,120231,125228,,,,
3026910,87966,106811,,,,
3027001,107571,151476,,,,
3027002,95541,141481,,,,
3027101,126629,199166,,,,
3027102,102708,125029,,,,
3027201,142986,258928,,,,
3027202,87500,117523,,,,
3027203,75725,136570,,,,
3027300,72965,141537,,,,
3027400,136815,218321,,,,
3027501,79421,151058,,,,
3027503,124306,168594,,,,
3027504,131705,198393,,,,
3027601,75035,103036,,,,
3027602,85288,119673,,,,
3027700,130700,175505,,,,
3100200,36639,48891,,,,
3100400,31293,44908,,,,
3100500,45547,56479,,,,
3100700,49033,65312,,,,
3100800,39598,47157,,,,
3100900,44526,50954,,,,
3101200,75821,89048,,,,
3101300,40658,53817,,,,
3101600,24792,44305,,,,
3101800,48661,54115,,,,
3101900,51179,71001,,,,
3102000,54960,61759,,,,
3102100,39777,46946,,,,
3102300,20950,43764,,,,
3102500,49000,67844,,,,
3102600,60000,66733,,,,
3102800,31827,42462,,,,
3102900,35833,48960,,,,
3103000,61442,94611,,,,
3103100,34563,58370,,,,
3103400,22365,44691,,,,
3103600,92500,127915,,,,
3103700,36000,63476,,,,
3103900,23018,33786,,,,
3104000,39514,55102,,,,
3104100,40486,57740,,,,
3104400,59500,72407,,,,
3104800,20126,29643,,,,
3104900,21557,34636,,,,
3105100,105000,142476,,,,
3105201,56483,82266,,,,
3105204,22271,51157,,,,
3105400,46008,80800,,,,
3105500,78412,153534,,,,
3105600,40842,66027,,,,
3105700,22250,33827,,,,
3106000,17551,29178,,,,
3106200,29426,51415,,,,
3106400,28750,58505,,,,
3106500,116058,206780,,,,
3106600,96645,151178,,,,
3106700,55875,72127,,,,
3106900,35387,46414,,,,
3107000,37776,54792,,,,
3107400,46917,58592,,,,
3107500,65694,81660,,,,
3107600,74622,93998,,,,
3108000,78210,109655,,,,
3108600,47917,58212,,,,
3108700,65511,68244,,,,
3108800,45156,55524,,,,
3108900,79116,85830,,,,
3109000,86786,102303,,,,
3109100,70758,114763,,,,
3109200,53238,70381,,,,
3109300,60287,81958,,,,
3109400,46417,66350,,,,
3109700,67716,82835,,,,
3109800,103226,138797,,,,
3109900,79475,106742,,,,
3110000,62109,73882,,,,
3110100,63229,73111,,,,
3110200,83197,93856,,,,
3110400,57232,66265,,,,
3110500,76031,97444,,,,
3110800,84566,108575,,,,
3110900,86196,93403,,,,
3111100,79122,91460,,,,
3111200,133464,153451,,,,
3111300,130363,150758,,,,
3111400,136188,168111,,,,
3111500,100489,131711,,,,
3111600,115962,141505,,,,
3122500,69531,80149,,,,
3122600,95788,101831,,,,
3125500,48406,61720,,,,
3125600,67868,89033,,,,
3125700,36164,48783,,,,
3125800,50954,59985,,,,
3125900,43355,51192,,,,
3126000,18995,35351,,,,
3126100,73900,119375,,,,
3126200,104832,140922,,,,
3980000,17083,19647,,,,
