Track_id,Total_Estimate_Population_3_years_and_over_enrolled_in_school,Percent_in_public_school_Estimate_Population_3_years_and_over_enrolled_in_school,Percent_in_private_school_Estimate_Population_3_years_and_over_enrolled_in_school,Total_Estimate_Kindergarten_to_12th_grade,Percent_Estimate_Kindergarten_to_12th_grade,In_public_school_Estimate_Kindergarten_to_12th_grade,Percent_in_public_school_Estimate_Kindergarten_to_12th_grade,In_private_school_Estimate_Kindergarten_to_12th_grade,Percent_in_private_school_Estimate_Kindergarten_to_12th_grade,Total_Estimate_College_undergraduate,Percent_Estimate_College_undergraduate,In_public_school_Estimate_College_undergraduate,Percent_in_public_school_Estimate_College_undergraduate,In_private_school_Estimate_College_undergraduate,,,
27053000101,939,85.9,14.1,557,59.3,533,95.7,24,4.3,175,18.6,126,72,49,,,
27053000102,1378,93.8,6.2,993,72.1,954,96.1,39,3.9,260,18.9,231,88.8,29,,,
27053000300,619,86.6,13.4,425,68.7,376,88.5,49,11.5,116,18.7,116,100,0,,,
27053000601,1072,75.3,24.7,494,46.1,399,80.8,95,19.2,219,20.4,179,81.7,40,,,
27053000603,427,50.8,49.2,223,52.2,120,53.8,103,46.2,88,20.6,40,45.5,48,,,
27053001100,435,79.5,20.5,268,61.6,243,90.7,25,9.3,113,26,76,67.3,37,,,Total_Estimate_Population_3_years_and_over_enrolled_in_school
27053001700,518,84.7,15.3,282,54.4,271,96.1,11,3.9,142,27.4,116,81.7,26,,,
27053002200,488,97.7,2.3,383,78.5,383,100,0,0,56,11.5,52,92.9,4,,,
27053002400,436,80.5,19.5,151,34.6,121,80.1,30,19.9,164,37.6,133,81.1,31,,,
27053002700,788,92,8,520,66,499,96,21,4,128,16.2,113,88.3,15,,,Percent_Estimate_Kindergarten_to_12th_grade
27053003200,553,89.9,10.1,436,78.8,416,95.4,20,4.6,94,17,68,72.3,26,,,
27053003300,948,88.6,11.4,746,78.7,667,89.4,79,10.6,163,17.2,139,85.3,24,,,
27053003800,3543,89.1,10.9,20,0.6,20,100,0,0,2629,74.2,2388,90.8,241,,,
27053005901,434,77,23,168,38.7,141,83.9,27,16.1,198,45.6,135,68.2,63,,,
27053005902,1035,89.5,10.5,760,73.4,718,94.5,42,5.5,143,13.8,95,66.4,48,,,
27053006800,789,83,17,173,21.9,152,87.9,21,12.1,356,45.1,298,83.7,58,,,Percent_Estimate_College_undergraduate
27053007700,827,85.5,14.5,337,40.7,277,82.2,60,17.8,180,21.8,144,80,36,,,
27053007801,770,87.4,12.6,558,72.5,531,95.2,27,4.8,163,21.2,104,63.8,59,,,
27053008100,513,74.7,25.3,107,20.9,99,92.5,8,7.5,173,33.7,132,76.3,41,,,
27053008200,1206,89.8,10.2,879,72.9,808,91.9,71,8.1,245,20.3,234,95.5,11,,,
27053008300,765,95,5,475,62.1,475,100,0,0,149,19.5,128,85.9,21,,,
27053008400,793,91.6,8.4,591,74.5,547,92.6,44,7.4,125,15.8,119,95.2,6,,,
27053008500,1795,84.5,15.5,1379,76.8,1203,87.2,176,12.8,280,15.6,218,77.9,62,,,
27053009500,800,93.3,6.8,452,56.5,444,98.2,8,1.8,180,22.5,168,93.3,12,,,
27053009600,824,72.2,27.8,520,63.1,477,91.7,43,8.3,115,14,68,59.1,47,,,
27053010600,818,68.5,31.5,588,71.9,425,72.3,163,27.7,102,12.5,102,100,0,,,
27053010700,770,56.1,43.9,579,75.2,347,59.9,232,40.1,24,3.1,24,100,0,,,
27053011000,757,73.1,26.9,480,63.4,396,82.5,84,17.5,89,11.8,56,62.9,33,,,
27053011703,914,77.2,22.8,582,63.7,548,94.2,34,5.8,121,13.2,54,44.6,67,,,
27053011704,763,82.2,17.8,570,74.7,498,87.4,72,12.6,92,12.1,74,80.4,18,,,
27053011800,754,79.6,20.4,495,65.6,464,93.7,31,6.3,123,16.3,88,71.5,35,,,
27053011998,711,66.2,33.8,398,56,337,84.7,61,15.3,143,20.1,75,52.4,68,,,
27053012001,1079,69.8,30.2,724,67.1,621,85.8,103,14.2,193,17.9,100,51.8,93,,,
27053012003,1483,81.7,18.3,1083,73,896,82.7,187,17.3,255,17.2,240,94.1,15,,,
27053012101,711,81.9,18.1,482,67.8,455,94.4,27,5.6,168,23.6,91,54.2,77,,,
27053012102,343,62.1,37.9,221,64.4,175,79.2,46,20.8,84,24.5,38,45.2,46,,,
27053020101,735,79.7,20.3,524,71.3,477,91,47,9,78,10.6,66,84.6,12,,,
27053020102,604,78.8,21.2,307,50.8,252,82.1,55,17.9,93,15.4,81,87.1,12,,,
27053020200,2294,98,2,1623,70.7,1623,100,0,0,454,19.8,440,96.9,14,,,
27053020301,732,96.3,3.7,504,68.9,504,100,0,0,145,19.8,129,89,16,,,
27053020302,819,86.6,13.4,576,70.3,554,96.2,22,3.8,177,21.6,112,63.3,65,,,
27053020303,1021,93.4,6.6,729,71.4,714,97.9,15,2.1,262,25.7,210,80.2,52,,,
27053020304,750,92.7,7.3,591,78.8,564,95.4,27,4.6,108,14.4,108,100,0,,,
27053020400,1541,87.4,12.6,1092,70.9,1062,97.3,30,2.7,350,22.7,272,77.7,78,,,
27053020500,801,85.8,14.2,546,68.2,485,88.8,61,11.2,127,15.9,107,84.3,20,,,
27053020600,656,94.4,5.6,496,75.6,479,96.6,17,3.4,106,16.2,92,86.8,14,,,
27053020700,918,87.7,12.3,528,57.5,500,94.7,28,5.3,252,27.5,244,96.8,8,,,
27053020801,455,89,11,350,76.9,310,88.6,40,11.4,65,14.3,56,86.2,9,,,
27053020804,746,92.8,7.2,477,63.9,439,92,38,8,197,26.4,184,93.4,13,,,
27053020902,432,76.4,23.6,346,80.1,279,80.6,67,19.4,67,15.5,47,70.1,20,,,
27053020903,433,81.3,18.7,301,69.5,254,84.4,47,15.6,87,20.1,77,88.5,10,,,
27053021001,1613,90.3,9.7,1029,63.8,992,96.4,37,3.6,459,28.5,420,91.5,39,,,
27053021002,381,76.6,23.4,295,77.4,237,80.3,58,19.7,48,12.6,33,68.8,15,,,
27053021100,431,80.5,19.5,313,72.6,279,89.1,34,10.9,56,13,38,67.9,18,,,
27053021200,904,70.1,29.9,644,71.2,471,73.1,173,26.9,143,15.8,111,77.6,32,,,
27053021300,928,88.7,11.3,609,65.6,581,95.4,28,4.6,240,25.9,207,86.3,33,,,
27053021400,875,83.1,16.9,612,69.9,542,88.6,70,11.4,145,16.6,132,91,13,,,
27053021501,830,85.1,14.9,534,64.3,502,94,32,6,192,23.1,150,78.1,42,,,
27053021502,893,93.6,6.4,676,75.7,652,96.4,24,3.6,123,13.8,101,82.1,22,,,
27053021503,1030,86.5,13.5,707,68.6,637,90.1,70,9.9,210,20.4,194,92.4,16,,,
27053021504,827,79.7,20.3,603,72.9,497,82.4,106,17.6,112,13.5,70,62.5,42,,,
27053021505,1022,74,26,647,63.3,544,84.1,103,15.9,226,22.1,149,65.9,77,,,
27053021601,741,88.4,11.6,444,59.9,414,93.2,30,6.8,115,15.5,110,95.7,5,,,
27053021602,1522,85.2,14.8,1250,82.1,1117,89.4,133,10.6,148,9.7,129,87.2,19,,,
27053021700,804,85.6,14.4,565,70.3,487,86.2,78,13.8,99,12.3,80,80.8,19,,,
27053021800,443,63.7,36.3,289,65.2,225,77.9,64,22.1,24,5.4,16,66.7,8,,,
27053021900,693,76.5,23.5,429,61.9,376,87.6,53,12.4,168,24.2,127,75.6,41,,,
27053022000,215,74.4,25.6,88,40.9,74,84.1,14,15.9,50,23.3,35,70,15,,,
27053022101,559,89.3,10.7,353,63.1,341,96.6,12,3.4,104,18.6,77,74,27,,,
27053022102,520,89.6,10.4,402,77.3,378,94,24,6,81,15.6,69,85.2,12,,,
27053022200,980,74.3,25.7,403,41.1,324,80.4,79,19.6,382,39,270,70.7,112,,,
27053022301,356,75.3,24.7,236,66.3,216,91.5,20,8.5,52,14.6,52,100,0,,,
27053022302,860,90.6,9.4,519,60.3,518,99.8,1,0.2,218,25.3,195,89.4,23,,,
27053022400,765,90.2,9.8,555,72.5,545,98.2,10,1.8,88,11.5,88,100,0,,,
27053022700,1024,83.6,16.4,711,69.4,616,86.6,95,13.4,108,10.5,86,79.6,22,,,
27053022801,521,62,38,352,67.6,243,69,109,31,51,9.8,41,80.4,10,,,
27053022802,677,76.5,23.5,292,43.1,233,79.8,59,20.2,235,34.7,208,88.5,27,,,
27053022901,1009,64,36,636,63,436,68.6,200,31.4,162,16.1,112,69.1,50,,,
27053022902,381,82.2,17.8,299,78.5,260,87,39,13,38,10,33,86.8,5,,,
27053023000,1258,78.5,21.5,586,46.6,576,98.3,10,1.7,347,27.6,266,76.7,81,,,
27053023100,578,72.1,27.9,479,82.9,379,79.1,100,20.9,0,0,0,-,0,,,
27053023200,931,76.8,23.2,563,60.5,551,97.9,12,2.1,268,28.8,141,52.6,127,,,
27053023300,1316,84,16,874,66.4,839,96,35,4,305,23.2,223,73.1,82,,,
27053023400,1751,95.5,4.5,1293,73.8,1293,100,0,0,310,17.7,268,86.5,42,,,
27053023501,881,82.3,17.7,629,71.4,558,88.7,71,11.3,100,11.4,86,86,14,,,
27053023502,1319,73.9,26.1,929,70.4,752,80.9,177,19.1,113,8.6,113,100,0,,,
27053023600,1207,65.8,34.2,975,80.8,704,72.2,271,27.8,68,5.6,63,92.6,5,,,
27053023700,1217,87.7,12.3,1038,85.3,955,92,83,8,23,1.9,15,65.2,8,,,
27053023801,1597,71.8,28.2,1175,73.6,922,78.5,253,21.5,163,10.2,125,76.7,38,,,
27053023802,859,91.4,8.6,635,73.9,623,98.1,12,1.9,103,12,85,82.5,18,,,
27053023901,1128,86.6,13.4,851,75.4,809,95.1,42,4.9,108,9.6,85,78.7,23,,,
27053023902,671,76.9,23.1,539,80.3,438,81.3,101,18.7,73,10.9,47,64.4,26,,,
27053023903,662,76,24,480,72.5,430,89.6,50,10.4,64,9.7,54,84.4,10,,,
27053024003,1024,67.5,32.5,713,69.6,552,77.4,161,22.6,124,12.1,66,53.2,58,,,
27053024004,445,76.9,23.1,235,52.8,204,86.8,31,13.2,76,17.1,58,76.3,18,,,
27053024005,191,60.7,39.3,77,40.3,77,100,0,0,29,15.2,29,100,0,,,
27053024006,593,85,15,481,81.1,443,92.1,38,7.9,53,8.9,30,56.6,23,,,
27053024100,765,77.5,22.5,464,60.7,419,90.3,45,9.7,181,23.7,131,72.4,50,,,
27053024200,694,84.4,15.6,408,58.8,364,89.2,44,10.8,186,26.8,142,76.3,44,,,
27053024300,1044,86.6,13.4,666,63.8,633,95,33,5,170,16.3,106,62.4,64,,,
27053024400,503,84.1,15.9,280,55.7,236,84.3,44,15.7,158,31.4,138,87.3,20,,,
27053024500,400,81.3,18.8,254,63.5,235,92.5,19,7.5,102,25.5,65,63.7,37,,,
27053024600,1089,84.5,15.5,864,79.3,750,86.8,114,13.2,163,15,134,82.2,29,,,
27053024700,728,88.2,11.8,420,57.7,367,87.4,53,12.6,157,21.6,148,94.3,9,,,
